,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,id,researcher_id,first_name,last_name
0,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110885950,,Siewteng,Sim
1,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110885950,ur.01116323260.31,Yoshito,Andou
2,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1110885950,ur.016617033322.44,Hamra A. A.,Bashid
3,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1110885950,ur.010703155721.11,Hongngee,Lim
4,Perth,2063523.0,Australia,AU,grid.1025.6,Murdoch University,Western Australia,AU-WA,pub.1110885950,ur.01137010426.42,Mohammednoor,Altarawneh
5,Perth,2063523.0,Australia,AU,grid.1025.6,Murdoch University,Western Australia,AU-WA,pub.1110885950,ur.011153334347.53,Zhongtao,Jiang
6,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110885950,ur.010362311021.55,Kubra,Eksiler
7,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110885950,ur.011724474721.84,Satoshi,Iikubo
8,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1110369527,ur.0665656544.77,Taro,Toyoda
9,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1110369527,ur.0617543344.56,Qing,Shen
10,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1110369527,ur.016026001372.26,Motoki,Hironaka
11,,,,,,"Bunkoukeiki Co., Ltd, 4-8 Takakura, Hachioji, Tokyo 192-0033, Japan",,,pub.1110369527,ur.010336434075.06,Keita,Kamiyama
12,Kyoto,1857910.0,Japan,JP,grid.419025.b,Kyoto Institute of Technology,,,pub.1110369527,ur.01001642533.20,Hisayoshi,Kobayashi
13,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1110369527,ur.01007064262.29,Yasushi,Hirose
14,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110369527,ur.01055753603.27,Shuzi,Hayase
15,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1110925389,,T.,Miyagi
16,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1110925389,ur.013210452553.50,T.,Abe
17,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110925389,ur.013513541756.35,M.,Kohno
18,Vancouver,6173331.0,Canada,CA,grid.232474.4,TRIUMF,British Columbia,CA-BC,pub.1110925389,ur.0606471153.98,P.,Navrátil
19,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110925389,ur.016307426665.31,R.,Okamoto
20,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1110925389,ur.012262354711.45,T.,Otsuka
21,Wako,1907300.0,Japan,JP,grid.474691.9,RIKEN Nishina Center,,,pub.1110925389,ur.012262354711.45,T.,Otsuka
22,East Lansing,4991640.0,United States,US,grid.503039.c,National Superconducting Cyclotron Laboratory,Michigan,US-MI,pub.1110925389,ur.012262354711.45,T.,Otsuka
23,Leuven,2792482.0,Belgium,BE,grid.5596.f,KU Leuven,,,pub.1110925389,ur.012262354711.45,T.,Otsuka
24,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1110925389,ur.012617702411.29,N.,Shimizu
25,Vancouver,6173331.0,Canada,CA,grid.232474.4,TRIUMF,British Columbia,CA-BC,pub.1110925389,ur.0600433664.52,S. R.,Stroberg
26,Portland,5746545.0,United States,US,grid.182981.b,Reed College,Oregon,US-OR,pub.1110925389,ur.0600433664.52,S. R.,Stroberg
27,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.012310035111.86,Namiko,Kimura
28,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110911440,ur.012240303741.11,Hyoungseop,Kim
29,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.01364203371.00,Takako,Okawachi
30,Kagoshima,1860827.0,Japan,JP,grid.474800.f,Kagoshima University Hospital,,,pub.1110911440,ur.01317744053.59,Takao,Fuchigami
31,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.012565745454.62,Masahiro,Tezuka
32,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.0646523701.05,Toshiro,Kibe
33,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.014222570357.63,Muhammad Subhan,Amir
34,Surabaya,1625822.0,Indonesia,ID,grid.440745.6,Airlangga University,,,pub.1110911440,ur.014222570357.63,Muhammad Subhan,Amir
35,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.0627452131.14,Emi,Inada
36,Kagoshima,1860827.0,Japan,JP,grid.474800.f,Kagoshima University Hospital,,,pub.1110911440,ur.01241734403.80,Kiyohide,Ishihata
37,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.0640577271.40,Etsuro,Nozoe
38,Kagoshima,1860827.0,Japan,JP,grid.258333.c,Kagoshima University,,,pub.1110911440,ur.0702064524.87,Norifumi,Nakamura
39,Beijing,1816670.0,China,CN,grid.419265.d,National Center for Nanoscience and Technology,,,pub.1110271601,ur.0744435627.05,Liang,Wang
40,Beijing,1816670.0,China,CN,grid.419265.d,National Center for Nanoscience and Technology,,,pub.1110271601,,Fengjing,Liu
41,Beijing,1816670.0,China,CN,grid.410726.6,University of Chinese Academy of Sciences,,,pub.1110271601,,Fengjing,Liu
42,Beijing,1816670.0,China,CN,grid.419265.d,National Center for Nanoscience and Technology,,,pub.1110271601,,Xiaoyong,Cai
43,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110271601,,Tingli,Ma
44,Beijing,1816670.0,China,CN,grid.419265.d,National Center for Nanoscience and Technology,,,pub.1110271601,,Chao,Jiang
45,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,,Ami,Nomura
46,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,ur.010254633475.46,Seongho,Choi
47,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110222625,ur.013511663141.85,Manabu,Ishimaru
48,Sakai,1853195.0,Japan,JP,grid.261455.1,Osaka Prefecture University,,,pub.1110222625,ur.010445105761.33,Atsuko,Kosuga
49,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,Illinois,US-IL,pub.1110222625,,Thomas,Chasapis
50,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,Illinois,US-IL,pub.1110222625,ur.012546441277.04,Saneyuki,Ohno
51,Pasadena,5381396.0,United States,US,grid.20861.3d,California Institute of Technology,California,US-CA,pub.1110222625,ur.012546441277.04,Saneyuki,Ohno
52,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,Illinois,US-IL,pub.1110222625,ur.01271065004.62,G Jeffrey,Snyder
53,Pasadena,5381396.0,United States,US,grid.20861.3d,California Institute of Technology,California,US-CA,pub.1110222625,ur.01271065004.62,G Jeffrey,Snyder
54,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,ur.013016554011.19,Yuji,Ohishi
55,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,ur.011134733172.53,Hiroaki,Muta
56,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,ur.014655042431.51,Shinsuke,Yamanaka
57,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1110222625,ur.011626150045.11,Ken,Kurosaki
58,Tokyo,1850147.0,Japan,JP,grid.419082.6,Japan Science and Technology Agency,,,pub.1110222625,ur.011626150045.11,Ken,Kurosaki
59,Fukui-shi,1863985.0,Japan,JP,grid.163577.1,University of Fukui,,,pub.1110222625,ur.011626150045.11,Ken,Kurosaki
60,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110404518,ur.01063621042.95,Michio,Iwata
61,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1110404518,ur.01265330352.37,Yoshihiro,Yamanishi
62,Tokyo,1850147.0,Japan,JP,grid.419082.6,Japan Science and Technology Agency,,,pub.1110404518,ur.01265330352.37,Yoshihiro,Yamanishi
63,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107950507,ur.01314463063.90,Teresa S.,Ripolles
64,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107950507,ur.012370540663.87,Daiki,Yamasuso
65,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1107950507,ur.016301224703.21,Yaohong,Zhang
66,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107950507,ur.011773542351.82,Muhammad Akmal,Kamarudin
67,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1107950507,ur.07527464641.18,Chao,Ding
