,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
0,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Audi AG', 'SHOEMAKER KRISTA MARIE', 'DARLING ROBERT MASON', 'STOLAR LAURA ROEN', 'IZZO ELISE LORRAINE', 'UNITED TECHNOLOGIES CORP']","[{'id': 'grid.427377.2', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}, {'id': 'grid.423767.3', 'name': 'Audi (Germany)', 'country_name': 'Germany'}]",Application,,US-20130330657-A1,"['Krista Marie Shoemaker', 'Robert Mason Darling', 'Laura Roen Stolar', 'Elise Lorraine Izzo']",2013-12-12,['pub.1055134419'],4,UNITIZED ELECTRODE ASSEMBLY WITH HIGH EQUIVALENT WEIGHT IONOMER,2011
1,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['Audi AG', 'AUDI AG']","[{'id': 'grid.423767.3', 'name': 'Audi (Germany)', 'country_name': 'Germany'}]",Grant,2018.0,US-9923223-B2,"['Zhiwei Yang', 'Mallika Gummalla']",2018-03-20,"['pub.1050216645', 'pub.1003485683', 'pub.1029288967', 'pub.1037365652', 'pub.1046456878', 'pub.1002633602', 'pub.1046551556', 'pub.1055134419', 'pub.1014362571', 'pub.1038782075', 'pub.1033483205', 'pub.1053324907', 'pub.1056221372', 'pub.1062454991', 'pub.1012864031']",0,"Electrolyte membrane, dispersion and method therefor",2012
2,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['Audi AG', 'Toyota Motor Corp', 'AUDI AG', 'TOYOTA MOTOR CO LTD']","[{'id': 'grid.423767.3', 'name': 'Audi (Germany)', 'country_name': 'Germany'}, {'id': 'grid.462975.b', 'name': 'Toyota Motor Corporation (Japan)', 'country_name': 'Japan'}]",Grant,2018.0,US-9923224-B2,"['Zhiwei Yang', 'Mallika Gummalla', 'Yoichi Hosokawa']",2018-03-20,"['pub.1050216645', 'pub.1003485683', 'pub.1029288967', 'pub.1037365652', 'pub.1046456878', 'pub.1002633602', 'pub.1046551556', 'pub.1055134419', 'pub.1014362571', 'pub.1038782075', 'pub.1033483205', 'pub.1053324907', 'pub.1056221372', 'pub.1062454991', 'pub.1012864031']",0,Proton exchange material and method therefor,2012
3,"[{'id': '2620', 'name': '0604 Genetics'}]","['University of California', 'Duke University', 'UNIV DUKE', 'UNIV CALIFORNIA']","[{'id': 'grid.30389.31', 'name': 'University of California System', 'country_name': 'United States'}, {'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}]",Grant,2017.0,US-9701675-B2,"['Wolfgang Liedtke', 'Martin Steinhoff', 'Farshid Guilak']",2017-07-11,"['pub.1024628311', 'pub.1032133603', 'pub.1034407094', 'pub.1051425068', 'pub.1030951345', 'pub.1020431810', 'pub.1011844769', 'pub.1032672213', 'pub.1040488745', 'pub.1050362831', 'pub.1031608003', 'pub.1038457832', 'pub.1029041727', 'pub.1003333652', 'pub.1012659049', 'pub.1033595214', 'pub.1033585276', 'pub.1001475741', 'pub.1003306695', 'pub.1032065142', 'pub.1051385100', 'pub.1011341446', 'pub.1010763210', 'pub.1017693449', 'pub.1017245851', 'pub.1018089887', 'pub.1018702161', 'pub.1009046108', 'pub.1008909059', 'pub.1050972994', 'pub.1032215644', 'pub.1005227133', 'pub.1042346452', 'pub.1039353950', 'pub.1042524570', 'pub.1039425794', 'pub.1045011777', 'pub.1027099011', 'pub.1018553309', 'pub.1000760443', 'pub.1016972837', 'pub.1005368778', 'pub.1002277046', 'pub.1049095846', 'pub.1001260479', 'pub.1024991244', 'pub.1012207173', 'pub.1001370953', 'pub.1051540046', 'pub.1026854056', 'pub.1044689827', 'pub.1014927670', 'pub.1034992346', 'pub.1004043976', 'pub.1014239898', 'pub.1042075466', 'pub.1017189347', 'pub.1005502338', 'pub.1001565346', 'pub.1003590325', 'pub.1050421437', 'pub.1019417391', 'pub.1041756933', 'pub.1023693202', 'pub.1049408861', 'pub.1042574725', 'pub.1025375676', 'pub.1049083146', 'pub.1006605513', 'pub.1020667945', 'pub.1003272988', 'pub.1053573110', 'pub.1020414173', 'pub.1053712235', 'pub.1012711822', 'pub.1029741434', 'pub.1050393399', 'pub.1049247351', 'pub.1041251963', 'pub.1018966419', 'pub.1037875257', 'pub.1022614124', 'pub.1006959332', 'pub.1039080778', 'pub.1034482574', 'pub.1001491537', 'pub.1049290454', 'pub.1037585050', 'pub.1051993472', 'pub.1014276298', 'pub.1027476383', 'pub.1032933310', 'pub.1002418501', 'pub.1046704363', 'pub.1027810817', 'pub.1007109774', 'pub.1004508780', 'pub.1013462605', 'pub.1038730336', 'pub.1026192024', 'pub.1048426919', 'pub.1053300842', 'pub.1005425168', 'pub.1026277118', 'pub.1038944063', 'pub.1017542680', 'pub.1012515476', 'pub.1004656384', 'pub.1004205622', 'pub.1049882459', 'pub.1033041720', 'pub.1023986060', 'pub.1015259361', 'pub.1017292120', 'pub.1027728472', 'pub.1043648858', 'pub.1008390149', 'pub.1031026824', 'pub.1031454760', 'pub.1031369732', 'pub.1035248727', 'pub.1019511935', 'pub.1023156819', 'pub.1010963625', 'pub.1001234430', 'pub.1058377276', 'pub.1036682022', 'pub.1002543156', 'pub.1032287728', 'pub.1049596563', 'pub.1017929239', 'pub.1029439610', 'pub.1059445111', 'pub.1048403245', 'pub.1026851295', 'pub.1060326577', 'pub.1024952526', 'pub.1005875599', 'pub.1040589444', 'pub.1023620126', 'pub.1011202597', 'pub.1043291382', 'pub.1017907687', 'pub.1023251481', 'pub.1024588740', 'pub.1016429361', 'pub.1013555218', 'pub.1015609466', 'pub.1051007998', 'pub.1002864716', 'pub.1000269824', 'pub.1045989107', 'pub.1001287716', 'pub.1052086021', 'pub.1014516466', 'pub.1062446663', 'pub.1062451506', 'pub.1014350646', 'pub.1024492304', 'pub.1062467948', 'pub.1062688917', 'pub.1003587680', 'pub.1031925379', 'pub.1042831137', 'pub.1039039911', 'pub.1019758953', 'pub.1034548449', 'pub.1022028255', 'pub.1002507784', 'pub.1021675947', 'pub.1014308804', 'pub.1043175633', 'pub.1052460389', 'pub.1014780442', 'pub.1022856894', 'pub.1021483544', 'pub.1043479470', 'pub.1035054131', 'pub.1048027093', 'pub.1050542540', 'pub.1043535105', 'pub.1043798911', 'pub.1035047467', 'pub.1031355447', 'pub.1027054431', 'pub.1031054798', 'pub.1028004236', 'pub.1001022856', 'pub.1040892343', 'pub.1053656661', 'pub.1022586499', 'pub.1021220544', 'pub.1014493194', 'pub.1047650387', 'pub.1024939279', 'pub.1005466126', 'pub.1008426492', 'pub.1034314368', 'pub.1012831113', 'pub.1038713429', 'pub.1050239150', 'pub.1009635609', 'pub.1016228366', 'pub.1035827474', 'pub.1035777654', 'pub.1009626392', 'pub.1024165534', 'pub.1069177774', 'pub.1069194173', 'pub.1069194176', 'pub.1007724909', 'pub.1043287279', 'pub.1091933417', 'pub.1037415080', 'pub.1046687112', 'pub.1047411056', 'pub.1072859349']",2,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch,2016
4,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]",['WISCONSIN ALUMNI RES FOUND'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]",Application,,WO-2017218635-A2,"['ABBOTT, NICHOLAS', 'KIM, YOUNGKI', 'WANG, XIAOGUANG', 'BUKUSOGLU, Emre']",2017-12-21,"['pub.1030314468', 'pub.1016708652', 'pub.1002305017', 'pub.1001379785', 'pub.1025679697', 'pub.1033256373', 'pub.1012649008', 'pub.1034084463', 'pub.1051846864', 'pub.1008921390', 'pub.1035291981', 'pub.1019350039', 'pub.1055106691', 'pub.1056148249', 'pub.1043866471', 'pub.1015432047', 'pub.1016622853', 'pub.1034632597', 'pub.1050744992', 'pub.1015601292', 'pub.1031651380', 'pub.1053231508', 'pub.1027968318', 'pub.1001857312', 'pub.1018109579', 'pub.1051321285', 'pub.1014496215', 'pub.1010313316', 'pub.1048477836', 'pub.1020310778', 'pub.1008328126', 'pub.1013946876', 'pub.1044906780', 'pub.1035294281', 'pub.1057853764', 'pub.1058068480', 'pub.1000736752', 'pub.1047644251', 'pub.1039321023', 'pub.1006768070', 'pub.1027320763', 'pub.1027743833', 'pub.1007149065', 'pub.1060724035', 'pub.1062453951', 'pub.1045547617', 'pub.1062464991', 'pub.1062556114', 'pub.1049640945', 'pub.1063176556', 'pub.1040195416']",0,ACTIVATED RELEASE OF TARGET MATERIAL TRAPPED IN ANISOTROPIC FLUIDS,2017
5,"[{'id': '2486', 'name': '0399 Other Chemical Sciences'}, {'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}, {'id': '2438', 'name': '0302 Inorganic Chemistry'}]",['COUNCIL SCIENT IND RES'],"[{'id': 'grid.418099.d', 'acronym': 'CSIR', 'name': 'Council of Scientific and Industrial Research', 'country_name': 'India'}]",Application,,WO-2017042838-A1,"['CHILUKURI, SATYANARAYANA VEERA VENKATA', 'NAGPURE, Atul Sopan']",2017-03-16,"['pub.1047979894', 'pub.1046241567', 'pub.1032547943', 'pub.1043713965', 'pub.1055608731', 'pub.1055615462', 'pub.1055853317', 'pub.1028460971', 'pub.1064493521']",0,TRANSITION METAL(S) CATALYST SUPPORTED ON NITROGEN-DOPED MESOPOROUS CARBON AND ITS USE IN CATALYTIC TRANSFER HYDROGENATION REACTIONS,2016
6,"[{'id': '3021', 'name': '1007 Nanotechnology'}]",['STUDIENGESELLSCHAFT KOHLE MBH'],,Application,,WO-2017207555-A1,"['SCHUETH, FERDI', 'WANG, GUANGHUI']",2017-12-07,"['pub.1029519609', 'pub.1010379171', 'pub.1032136716', 'pub.1028460971', 'pub.1006800506']",0,PREPARATION OF MESOPOROUS CARBON WITH CATALYTICALLY ACTIVE METAL OXIDE NANOPARTICLES FOR THE SELECTIVE HYDROGENATION OF ALPHA-BETA-UNSATURATED ALDEHYDES,2017
7,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Research Foundation of State University of New York', 'UNIV NEW YORK STATE RES FOUND']","[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}]",Grant,2018.0,US-10001437-B2,['Igor K. Lednev'],2018-06-19,"['pub.1035518708', 'pub.1023022651', 'pub.1053014444', 'pub.1002640200', 'pub.1042153132', 'pub.1030092854', 'pub.1024791643', 'pub.1034882857', 'pub.1033192726', 'pub.1013504247', 'pub.1014321783', 'pub.1026312121', 'pub.1007014110', 'pub.1012692789', 'pub.1049653286', 'pub.1002313815', 'pub.1028046843', 'pub.1047051008', 'pub.1040652222', 'pub.1054995628', 'pub.1055002470', 'pub.1055002531', 'pub.1055004388', 'pub.1055005187', 'pub.1055071316', 'pub.1053915265', 'pub.1001258511', 'pub.1012448543', 'pub.1042827102', 'pub.1022740199', 'pub.1038244246', 'pub.1034231274', 'pub.1002551125', 'pub.1033052794']",0,Spectroscopy for gunshot residue analysis,2014
8,"[{'id': '3053', 'name': '1103 Clinical Sciences'}]",['NESTEC SA'],"[{'id': 'grid.419905.0', 'name': 'Nestlé (Switzerland)', 'country_name': 'Switzerland'}]",Application,,WO-2016193067-A1,"['CAMACHO, Susana', 'MICHLIG GONZALEZ, Stéphanie', 'Actis Goretta, Lucas', 'MEYLAN MERLINI, Jenny', 'LE COUTRE, JOHANNES']",2016-12-08,"['pub.1052626585', 'pub.1031339000']",0,COMPOSITIONS COMPRISING CINNAMALDEHYDE AND ZINC AND METHODS OF USING SUCH COMPOSITIONS,2016
9,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['National Technology and Engineering Solutions of Sandia LLC', 'NATIONAL TECH & ENGINEERING SOLUTIONS OF SANDIA LLC']","[{'id': 'grid.420747.2', 'name': 'Honeywell (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10054839-B1,"['Igal Brener', 'Sheng Liu', 'Michael B. Sinclair', 'Polina Vabishchevich']",2018-08-21,"['pub.1029034195', 'pub.1002408584', 'pub.1003292427', 'pub.1051026970', 'pub.1055121849', 'pub.1085468891', 'pub.1055139059', 'pub.1056219964', 'pub.1056220995', 'pub.1056225382', 'pub.1049863216', 'pub.1034380694', 'pub.1041459877', 'pub.1057686978', 'pub.1061145502', 'pub.1061209040', 'pub.1061500582', 'pub.1053239622', 'pub.1008251261', 'pub.1042241797', 'pub.1016701658', 'pub.1040384043', 'pub.1065247795', 'pub.1070907913']",2,Nonlinear optical frequency conversion using metamaterial arrays,2017
