,for_name,id,year,title
0,Artificial Intelligence and Image Processing,EP-2347352-A4,2009,INTERACTIVE TREE PLOT FOR FLOW CYTOMETRY DATA
1,Organic Chemistry,US-9944669-B2,2015,"Fumarate-CO-releasing molecule hybrids, their use in the treatment of inflammatory or cardiovascular diseases and their process of preparation"
2,Other Physical Sciences,US-8143254-B2,2006,Methods for modulating ion channels
3,Other Physical Sciences,WO-2018024813-A1,2017,IMAGING TECHNOLOGIES
4,Organic Chemistry,US-10023570-B2,2016,"Substituted pyrazolo[1,5-A]pyridine compounds as RET kinase inhibitors"
5,Pharmacology and Pharmaceutical Sciences,WO-2018048868-A1,2017,NONSELECTIVE METABOTROPIC GLUTAMATE RECEPTOR ACTIVATORS FOR TREATMENT OF ANOREXIA NERVOSA AND BINGE EATING DISORDER
6,Macromolecular and Materials Chemistry,US-6150168-A,1995,Nucleic acid transporter systems and methods of use
7,Macromolecular and Materials Chemistry,US-6033884-A,1993,Nucleic acid transporter systems and methods of use
8,Medical Biochemistry and Metabolomics,US-5994109-A,1995,Nucleic acid transporter system and methods of use
9,Medical Biochemistry and Metabolomics,US-6177554-B1,1995,Nucleic acid transporter systems
10,Genetics,EP-3327134-A1,2016,METHOD AND BIOMARKERS FOR IN VITRO DIAGNOSIS OF MENTAL DISORDERS
11,Genetics,WO-2018096141-A1,2017,METHOD AND BIOMARKERS FOR IN VITRO DIAGNOSIS OF MENTAL DISORDERS
12,Biomedical Engineering,US-9844641-B2,2016,"Systems, devices and methods for performing medical procedures in the intestine"
13,Biomedical Engineering,US-9757535-B2,2016,"Systems, devices and methods for performing medical procedures in the intestine"
14,Statistics,US-9340479-B2,2015,Methods of synthesizing alpha acids and substantially enantiomerically pure compositions thereof
15,Pharmacology and Pharmaceutical Sciences,WO-2018100403-A1,2017,COMBINATION OF PARSTATIN 1-26 AND EXENATIDE
16,Data Format,US-10002277-B1,2017,Reader device for reading a marking comprising a physical unclonable function
17,Data Format,US-10002362-B1,2017,Composite security marking
18,Electrical and Electronic Engineering,WO-2018065765-A1,2017,MULTI-AXIS FORCE SENSOR
19,Immunology,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
20,Immunology,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
21,Cardiorespiratory Medicine and Haematology,US-9907795-B2,2017,Method of treatment of chronic cough administering orvepitant in combination with other therapeutic agents
22,Artificial Intelligence and Image Processing,US-9495276-B1,2008,Indicating metrics associated with a model on a human machine interface (HMI)
23,Other Physical Sciences,WO-2018050777-A1,2017,A METHOD FOR CHARACTERIZING THE RADIO-FREQUENCY TRANSMIT FIELD IN NMR
24,Biomedical Engineering,WO-2018031424-A1,2017,"IN VIVO METHODS FOR SELECTING PEPTIDES THAT CROSS THE BLOOD BRAIN BARRIER, RELATED COMPOSITIONS AND METHODS OF USE"
25,Biochemistry and Cell Biology,US-9791459-B2,2010,Method of diagnosing and treating asphyxia
26,Immunology,WO-2016193714-A1,2016,DIAGNOSTIC TARGET
27,Genetics,WO-2017181134-A2,2017,DETECTING CANCER DRIVER GENES AND PATHWAYS
28,Genetics,WO-2017191076-A1,2017,METHOD OF CHARACTERISING A DNA SAMPLE
29,Immunology,US-20140370035-A1,2013,METHODS OF REDUCING IMMUNOGENICITY AGAINST FACTOR VIII IN INDIVIDUALS UNDERGOING FACTOR VIII THERAPY
30,Biomedical Engineering,WO-2018025241-A2,2017,A PLANAR POP-UP ACTUATOR DEVICE WITH EMBEDDED ELECTRO-MAGNETIC ACTUATION
31,Organic Chemistry,WO-2018022603-A1,2017,"METHODS OF MAKING 18F-LABELED PRECURSORS AND PEPTIDES, LABELED C-MET BINDING PEPTIDES, AND METHODS OF USE THEREOF"
32,Biochemistry and Cell Biology,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
33,Neurosciences,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
34,Neurosciences,US-9605263-B2,2016,Compositions for modulating C9ORF72 expression
35,Communications Technologies,EP-3327990-A1,2016,RADIO COMMUNICATION NETWORK WITH MULTI THRESHOLD BASED SLA MONITORING FOR RADIO RESOURCE MANAGEMENT
36,Communications Technologies,EP-3316646-A1,2016,RADIO COMMUNICATION NETWORK WITH RE-CONFIGURABLE RADIO SCHEDULER
37,Electrical and Electronic Engineering,WO-2017211849-A1,2017,"METHOD, SYSTEM AND APPARATUS"
38,Biochemistry and Cell Biology,WO-2017220855-A1,2017,METHOD AND APPARATUS FOR PERFORMING PACKET DUPLICATION IN A MULTI-CONNECTIVITY SCENARIO
39,Applied Mathematics,WO-2017209671-A1,2016,MANAGEMENT OF 5G SPLIT BEARER FLOW CONTROL
40,Immunology,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
41,Immunology,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
42,Immunology,US-9745552-B2,2011,Anti CD4 antibodies to prevent in particular graft-versus-host-disease (GvHD)
43,Pharmacology and Pharmaceutical Sciences,WO-2018019823-A1,2017,ADMINISTRATION AND DOSAGE OF DIAMINOPHENOTHIAZINES
44,Cardiorespiratory Medicine and Haematology,EP-3281632-A1,2016,ARGON FOR USE IN THE PREVENTION OF BOTH CARDIAC AND CEREBRAL INJURY INDUCED BY ISCHEMIA/REPERFUSION FOLLOWING CARDIAC ARREST
45,Immunology,US-9988450-B2,2017,Anti-PD1 antibodies and their use as therapeutics and diagnostics
46,Communications Technologies,WO-2017175027-A1,2016,QUALITY OF SERVICE (QOS) SUPPORT FOR TACTILE TRAFFIC
47,Genetics,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
48,Clinical Sciences,US-9877990-B2,2016,"Compositions and methods for the treatment of wounds, disorders, and diseases of the skin"
49,Genetics,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
50,Immunology,EP-3122377-A4,2015,METHODS FOR DIAGNOSING AND TREATING INFLAMMATORY BOWEL DISEASE
51,Clinical Sciences,WO-2017176336-A1,2016,"COMPOSITIONS AND METHODS FOR THE TREATMENT OF WOUNDS, DISORDERS, AND DISEASES OF THE SKIN"
52,Immunology,US-9873742-B2,2015,Methods for diagnosing and treating inflammatory bowel disease
53,Organic Chemistry,US-10035788-B2,2017,Maleate salts of (E)-N-{4[3-chloro-4-(2-pyridinylmethoxy)anilino]-3-cyano-7-ethoxy-6-quinolinyl}-4-(dimethylamino)-2-butenamide and crystalline forms thereof
54,Organic Chemistry,US-9630946-B2,2015,Maleate salts of (E)-N-{4-[3-chloro-4-(2-pyridinylmethoxy)anilino]-3-cyano-7-ethoxy-6-quinolinyl}-4-(dimethylamino)-2-butenamide and crystalline forms thereof
55,Artificial Intelligence and Image Processing,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
56,Organic Chemistry,US-9949968-B2,2016,Diarylalkylamine REV-ERB antagonists and their use as medicaments
57,Clinical Sciences,EP-3305370-A1,2016,ALGAE AUTOPHAGY ACTIVATOR
58,Paediatrics and Reproductive Medicine,WO-2018096084-A1,2017,MIRNAS AS BIOMARKER IN IN-VITRO-FERTILIZATION
59,Medical Microbiology,US-9630995-B2,2011,Method of improving immune function in HIV-infected subjects on HAART by administering HIV-1 TAT
60,Immunology,US-9630995-B2,2011,Method of improving immune function in HIV-infected subjects on HAART by administering HIV-1 TAT
61,Clinical Sciences,US-9630995-B2,2011,Method of improving immune function in HIV-infected subjects on HAART by administering HIV-1 TAT
62,Immunology,WO-2018080252-A1,2017,IMMUNE RESPONSE REGULATORY SUBSTANCE AND VACCINE COMPOSITION CONTAINING SAME
63,Clinical Sciences,US-9877990-B2,2016,"Compositions and methods for the treatment of wounds, disorders, and diseases of the skin"
64,Cardiorespiratory Medicine and Haematology,US-9907795-B2,2017,Method of treatment of chronic cough administering orvepitant in combination with other therapeutic agents
65,Biochemistry and Cell Biology,WO-2018100536-A1,2017,METHODS OF TREATING CANCER
66,Cardiorespiratory Medicine and Haematology,US-9750739-B2,2016,Orvepitant for chronic cough therapy
67,Clinical Sciences,WO-2017176336-A1,2016,"COMPOSITIONS AND METHODS FOR THE TREATMENT OF WOUNDS, DISORDERS, AND DISEASES OF THE SKIN"
68,Immunology,WO-2018100534-A1,2017,COMBINATION THERAPY
69,Biochemistry and Cell Biology,WO-2018100532-A1,2017,COMBINATION THERAPY
70,Communications Technologies,EP-3258714-A1,2017,MOBILE RADIO COMMUNICATION SYSTEM FOR PROVIDING A PLURALITY OF MOBILE RADIO CELLS IN A BUILDING OR CAMPUS
71,Information Systems,WO-2018084950-A1,2017,PROVIDING A FORMAT INDICATOR COMPRISING RANK INDICATION AND CHANNEL STATE INFORMATION SPATIAL DOMAIN RESOLUTION TYPE
72,Artificial Intelligence and Image Processing,EP-0697638-A1,1995,Method of detection of complete sequences and failed sequences in a system for situation recognition
73,Immunology,US-20140079795-A1,2013,MUCOADHESIVE PARTICULATE FORMULATION FOR INDUCING ANTIGEN-SPECIFIC IMMUNE TOLERANCE
74,Immunology,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
75,Biochemistry and Cell Biology,US-10059945-B2,2017,Methods of controlling cell fate and consequences for disease
76,Clinical Sciences,US-10022355-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of REM sleep behavior disorder
77,Organic Chemistry,US-10059691-B2,2017,Processes for the preparation of pyrazole derivatives useful as modulators of the 5-HT2A serotonin receptor
78,Immunology,US-9480748-B2,2013,Mucoadhesive particulate formulation for inducing antigen-specific immune tolerance
79,Immunology,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
80,Neurosciences,US-10034859-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of hallucinations associated with a neurodegenerative disease
81,Macromolecular and Materials Chemistry,US-9745270-B2,2016,"Processes useful for the preparation of 1-[3-(4-bromo-2-methyl-2H-pyrazol-3-yl)-4-methoxy-phenyl]-3-(2,4-difluoro-phenyl)-urea and crystalline forms related thereto"
82,Cardiorespiratory Medicine and Haematology,US-9775829-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of disorders related thereto
83,Clinical Sciences,US-9775829-B2,2016,Diaryl and arylheteroaryl urea derivatives as modulators of the 5-HT2A serotonin receptor useful for the prophylaxis and treatment of disorders related thereto
84,Interdisciplinary Engineering,WO-2017158343-A1,2017,METHOD AND SYSTEM FOR PRESSURE DROP ESTIMATION
85,Genetics,EP-3067432-A1,2015,DNA-methylation based method for classifying tumor species of the brain
86,Cardiorespiratory Medicine and Haematology,WO-2017077326-A1,2016,COMBINATION OF AN INHIBITOR OF PARP WITH AN INHIBITOR OF GSK-3 OR DOT1L
87,Biomedical Engineering,WO-2014113322-A1,2014,SYSTEM AND METHOD FOR IMPROVED CARDIAC IMAGING OF SUBJECTS WITH ADVERSE CARDIAC CONDITIONS
88,Oncology and Carcinogenesis,WO-2017167770-A1,2017,THSD7A AS A NOVEL TARGET FOR CANCER THERAPY AND DIAGNOSIS
89,Plant Biology,WO-2015011604-A1,2014,ASCORBATE TRANSPORTER
90,Biochemistry and Cell Biology,WO-2015011604-A1,2014,ASCORBATE TRANSPORTER
91,Genetics,WO-2016142533-A1,2016,DNA-METHYLATION BASED METHOD FOR CLASSIFYING TUMOR SPECIES
92,Immunology,US-10072078-B2,2013,M971 chimeric antigen receptors
93,Biochemistry and Cell Biology,US-9668991-B1,2015,SCFA colonic composition
94,Oncology and Carcinogenesis,EP-3225997-A1,2016,THSD7A AS A NOVEL TARGET FOR CANCER THERAPY AND DIAGNOSIS
95,Genetics,WO-2018041959-A1,2017,GENE PANEL SPECIFIC FOR PULMONARY HYPERTENSION AND ITS USES
96,Cardiorespiratory Medicine and Haematology,WO-2018041959-A1,2017,GENE PANEL SPECIFIC FOR PULMONARY HYPERTENSION AND ITS USES
