,id,name,country_name,acronym,grant_id,grant_year,grant_title
0,grid.418254.e,Beckman Coulter (United States),United States,,EP-2347352-A4,2009,INTERACTIVE TREE PLOT FOR FLOW CYTOMETRY DATA
1,grid.7429.8,French Institute of Health and Medical Research,France,INSERM,US-9944669-B2,2015,"Fumarate-CO-releasing molecule hybrids, their use in the treatment of inflammatory or cardiovascular diseases and their process of preparation"
2,grid.410511.0,Paris 12 Val de Marne University,France,UPEC,US-9944669-B2,2015,"Fumarate-CO-releasing molecule hybrids, their use in the treatment of inflammatory or cardiovascular diseases and their process of preparation"
3,grid.4444.0,French National Centre for Scientific Research,France,CNRS,US-9944669-B2,2015,"Fumarate-CO-releasing molecule hybrids, their use in the treatment of inflammatory or cardiovascular diseases and their process of preparation"
4,grid.462839.2,Seagate (United States),United States,,US-20160099016-A1,2015,MAGNETIC STACK INCLUDING MgO-Ti(ON) INTERLAYER
5,grid.5386.8,Cornell University,United States,CU,US-8143254-B2,2006,Methods for modulating ion channels
6,grid.261572.5,Pace University,United States,,US-8143254-B2,2006,Methods for modulating ion channels
7,grid.430075.5,Research Foundation of The City University of New York,United States,RFCUNY,US-8143254-B2,2006,Methods for modulating ion channels
8,grid.7727.5,University of Regensburg,Germany,,WO-2018024813-A1,2017,IMAGING TECHNOLOGIES
9,grid.428464.8,Clovis Oncology (United States),United States,,US-9987285-B2,2015,High dosage strength tablets of rucaparib
10,grid.467148.8,Array BioPharma (United States),United States,,US-10023570-B2,2016,"Substituted pyrazolo[1,5-A]pyridine compounds as RET kinase inhibitors"
11,grid.239552.a,Children's Hospital of Philadelphia,United States,CHOP,WO-2018048868-A1,2017,NONSELECTIVE METABOTROPIC GLUTAMATE RECEPTOR ACTIVATORS FOR TREATMENT OF ANOREXIA NERVOSA AND BINGE EATING DISORDER
12,grid.419481.1,Novartis (Switzerland),Switzerland,,US-8343918-B2,2007,Stabilized insulin-like growth factor polypeptides
13,grid.39382.33,Baylor College of Medicine,United States,BCM,US-6150168-A,1995,Nucleic acid transporter systems and methods of use
14,grid.39382.33,Baylor College of Medicine,United States,BCM,US-6033884-A,1993,Nucleic acid transporter systems and methods of use
15,grid.39382.33,Baylor College of Medicine,United States,BCM,US-5994109-A,1995,Nucleic acid transporter system and methods of use
16,grid.39382.33,Baylor College of Medicine,United States,BCM,US-6177554-B1,1995,Nucleic acid transporter systems
17,grid.11047.33,University of Patras,Greece,,WO-2018100403-A1,2017,COMBINATION OF PARSTATIN 1-26 AND EXENATIDE
18,grid.39009.33,Merck (Germany),Germany,,US-10002277-B1,2017,Reader device for reading a marking comprising a physical unclonable function
19,grid.39009.33,Merck (Germany),Germany,,US-10002362-B1,2017,Composite security marking
20,grid.13097.3c,King's College London,United Kingdom,KCL,WO-2018065765-A1,2017,MULTI-AXIS FORCE SENSOR
21,grid.168010.e,Stanford University,United States,SU,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
22,grid.168010.e,Stanford University,United States,SU,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
23,grid.453773.1,Wisconsin Alumni Research Foundation,United States,WARF,US-9809627-B2,2015,Cyclized transthyretin peptide and methods of use therefor
24,grid.471101.2,MathWorks (United States),United States,,US-9495276-B1,2008,Indicating metrics associated with a model on a human machine interface (HMI)
25,grid.450307.5,Grenoble Alpes University,France,UGA,WO-2018050777-A1,2017,A METHOD FOR CHARACTERIZING THE RADIO-FREQUENCY TRANSMIT FIELD IN NMR
26,grid.7429.8,French Institute of Health and Medical Research,France,INSERM,WO-2018050777-A1,2017,A METHOD FOR CHARACTERIZING THE RADIO-FREQUENCY TRANSMIT FIELD IN NMR
27,grid.437349.e,University of Minnesota System,United States,,US-9888673-B2,2015,"Genetically modified cells, tissues, and organs for treating disease"
28,grid.36511.30,University of Lincoln,United Kingdom,,WO-2016193714-A1,2016,DIAGNOSTIC TARGET
29,grid.417570.0,Roche (Switzerland),Switzerland,,WO-2017181134-A2,2017,DETECTING CANCER DRIVER GENES AND PATHWAYS
30,grid.424277.0,Roche (Germany),Germany,,WO-2017181134-A2,2017,DETECTING CANCER DRIVER GENES AND PATHWAYS
31,grid.10306.34,Wellcome Sanger Institute,United Kingdom,WTSI,WO-2017191076-A1,2017,METHOD OF CHARACTERISING A DNA SAMPLE
32,grid.417832.b,Biogen (United States),United States,,US-20140370035-A1,2013,METHODS OF REDUCING IMMUNOGENICITY AGAINST FACTOR VIII IN INDIVIDUALS UNDERGOING FACTOR VIII THERAPY
33,grid.280646.e,Puget Sound Blood Center,United States,,US-20140370035-A1,2013,METHODS OF REDUCING IMMUNOGENICITY AGAINST FACTOR VIII IN INDIVIDUALS UNDERGOING FACTOR VIII THERAPY
34,grid.267047.0,University of Puget Sound,United States,,US-20140370035-A1,2013,METHODS OF REDUCING IMMUNOGENICITY AGAINST FACTOR VIII IN INDIVIDUALS UNDERGOING FACTOR VIII THERAPY
35,grid.30389.31,University of California System,United States,,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
36,grid.1052.6,Ludwig Cancer Research,United States,LICR,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
37,grid.282569.2,Ionis Pharmaceuticals (United States),United States,,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
38,grid.482351.9,Ludwig Institute for Cancer Research,Switzerland,,US-9963699-B2,2013,Methods for modulating C9ORF72 expression
39,grid.282569.2,Ionis Pharmaceuticals (United States),United States,,US-9605263-B2,2016,Compositions for modulating C9ORF72 expression
40,grid.28390.30,German Telecom,Germany,DT,EP-3327990-A1,2016,RADIO COMMUNICATION NETWORK WITH MULTI THRESHOLD BASED SLA MONITORING FOR RADIO RESOURCE MANAGEMENT
41,grid.28390.30,German Telecom,Germany,DT,EP-3316646-A1,2016,RADIO COMMUNICATION NETWORK WITH RE-CONFIGURABLE RADIO SCHEDULER
42,grid.6533.3,Nokia (Finland),Finland,,WO-2017211849-A1,2017,"METHOD, SYSTEM AND APPARATUS"
43,grid.6533.3,Nokia (Finland),Finland,,WO-2017220855-A1,2017,METHOD AND APPARATUS FOR PERFORMING PACKET DUPLICATION IN A MULTI-CONNECTIVITY SCENARIO
44,grid.28287.37,Ericsson (Sweden),Sweden,,WO-2017209671-A1,2016,MANAGEMENT OF 5G SPLIT BEARER FLOW CONTROL
45,grid.168010.e,Stanford University,United States,SU,US-10064936-B2,2016,Mixed allergen compositions and methods for using the same
46,grid.168010.e,Stanford University,United States,SU,US-9731003-B2,2016,Mixed allergen compositions and methods for using the same
47,grid.4561.6,Fraunhofer Society,Germany,FHG,US-9745552-B2,2011,Anti CD4 antibodies to prevent in particular graft-versus-host-disease (GvHD)
48,grid.28287.37,Ericsson (Sweden),Sweden,,WO-2017175027-A1,2016,QUALITY OF SERVICE (QOS) SUPPORT FOR TACTILE TRAFFIC
49,grid.30389.31,University of California System,United States,,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
50,grid.26009.3d,Duke University,United States,,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
51,grid.277151.7,Centre Hospitalier Universitaire de Nantes,France,CHU,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
52,grid.4444.0,French National Centre for Scientific Research,France,CNRS,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
53,grid.4817.a,University of Nantes,France,,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
54,grid.417570.0,Roche (Switzerland),Switzerland,,EP-2903691-A4,2013,METHODS FOR DIAGNOSING AND TREATING INFLAMMATORY BOWEL DISEASE
55,grid.417570.0,Roche (Switzerland),Switzerland,,EP-3122377-A4,2015,METHODS FOR DIAGNOSING AND TREATING INFLAMMATORY BOWEL DISEASE
