,year,issue,id,pages,type,volume,title,journal.id,journal.title
1610,2017,Trends Pharmacol. Sci. 34 2013,pub.1090348791,444-451,article,13,NRF2 deficiency replicates transcriptomic changes in Alzheimer's patients and worsens APP and TAU pathology,jour.1048218,Redox Biology
1813,2017,10,pub.1092164786,1584-1797,article,47,Guidelines for the use of flow cytometry and cell sorting in immunological studies,jour.1054998,European Journal of Immunology
2021,2017,35,pub.1091248898,29857-29862,article,9,Titanium Oxynitride Thin Films with Tunable Double Epsilon-Near-Zero Behavior for Nanophotonic Applications.,jour.1041450,ACS Applied Materials & Interfaces
2403,2017,,pub.1084749935,11-23,article,87,Cardiac voltage-gated ion channels in safety pharmacology: Review of the landscape leading to the CiPA initiative,jour.1102215,Journal of Pharmacological and Toxicological Methods
3861,2017,6,pub.1070928630,891-898,article,58,Intraoperative Assessment of Tumor Resection Margins in Breast-Conserving Surgery Using 18F-FDG Cerenkov Luminescence Imaging: A First-in-Human Feasibility Study.,jour.1012368,Journal of Nuclear Medicine
5218,2017,7,pub.1083853536,884-892,article,116,A phase I study of intravenous and oral rucaparib in combination with chemotherapy in patients with advanced solid tumours,jour.1017082,British Journal of Cancer
5451,2017,1,pub.1023348282,41-48,article,28,The RET E616Q Variant is a Gain of Function Mutation Present in a Family with Features of Multiple Endocrine Neoplasia 2A,jour.1100468,Endocrine Pathology
5638,2017,2,pub.1019145605,192-201,article,22,Evidence for three genetic loci involved in both anorexia nervosa risk and variation of body mass index,jour.1115540,Molecular Psychiatry
6651,2017,,pub.1099742127,3035184,article,2017,"Insulin-Like Growth Factor (IGF) Binding Protein-2, Independently of IGF-1, Induces GLUT-4 Translocation and Glucose Uptake in 3T3-L1 Adipocytes",jour.1040327,Oxidative Medicine and Cellular Longevity
7417,2016,1,pub.1007804767,34946,article,6,Simultaneous effects on parvalbumin-positive interneuron and dopaminergic system development in a transgenic rat model for sporadic schizophrenia,jour.1045337,Scientific Reports
7776,2016,12,pub.1070730234,2254-2261,article,39,Endoscopic Duodenal Mucosal Resurfacing for the Treatment of Type 2 Diabetes: 6-Month Interim Analysis From the First-in-Human Proof-of-Concept Study,jour.1103715,Diabetes Care
8371,2016,6,pub.1032882175,1431-1441.e1,article,10,Adverse effects on insulin secretion of replacing saturated fat with refined carbohydrate but not with monounsaturated fat: A randomized controlled trial in centrally obese subjects,jour.1038403,Journal of Clinical Lipidology
8403,2016,6,pub.1050351408,70,article,111,Ischaemic conditioning and targeting reperfusion injury: a 30 year voyage of discovery,jour.1016443,Basic Research in Cardiology
8734,2016,,pub.1094156735,202-207,proceeding,,A New Miniaturised Multi-Axis Force/Torque Sensors Based on Optoelectronic Technology and Simply-Supported Beam,,
8739,2016,,pub.1014901029,49-54,article,83,Taggant materials in forensic science: A review,jour.1092475,TrAC Trends in Analytical Chemistry
9103,2016,4,pub.1008925377,1108-1118,article,138,"Impact of peanut consumption in the LEAP Study: Feasibility, growth, and nutrition",jour.1055081,Journal of Allergy and Clinical Immunology
9319,2016,9,pub.1029804036,844-850,article,43,Effects of transthyretin on thyroxine and β‐amyloid removal from cerebrospinal fluid in mice,jour.1020088,Clinical and Experimental Pharmacology and Physiology
9396,2016,141,pub.1044030859,278-286,article,25,Cough in idiopathic pulmonary fibrosis,jour.1101549,European Respiratory Review
9701,2016,,pub.1072355917,1-8,article,224,Causality and Responsibility for Formal Verification and Beyond,jour.1050305,Electronic Proceedings in Theoretical Computer Science
9991,2016,2,pub.1043965939,490-499,article,76,Large dynamic range relative B1+ mapping,jour.1095465,Magnetic Resonance in Medicine
10061,2016,Pt A,pub.1039431776,102-112,article,92,Perinatal brain damage: The term infant,jour.1113568,Neurobiology of Disease
10332,2016,,pub.1005125902,28-37,article,75,VNAR single-domain antibodies specific for BAFF inhibit B cell development by molecular mimicry,jour.1089606,Molecular Immunology
10363,2016,7,pub.1046444087,e25-e31,article,100,Executive Summary of IPITA-TTS Opinion Leaders Report on the Future of &bgr;-Cell Replacement,jour.1008793,Transplantation Journal
