,for_name,id,year,title
0,Physical Chemistry (incl. Structural),US-20130330657-A1,2011,UNITIZED ELECTRODE ASSEMBLY WITH HIGH EQUIVALENT WEIGHT IONOMER
1,Macromolecular and Materials Chemistry,US-9923223-B2,2012,"Electrolyte membrane, dispersion and method therefor"
2,Biomedical Engineering,WO-2017218635-A2,2017,ACTIVATED RELEASE OF TARGET MATERIAL TRAPPED IN ANISOTROPIC FLUIDS
3,Macromolecular and Materials Chemistry,US-9923224-B2,2012,Proton exchange material and method therefor
4,Genetics,US-9701675-B2,2016,Activation of TRPV4 ion channel by physical stimuli and critical role for TRPV4 in organ-specific inflammation and itch
5,Other Chemical Sciences,WO-2017042838-A1,2016,TRANSITION METAL(S) CATALYST SUPPORTED ON NITROGEN-DOPED MESOPOROUS CARBON AND ITS USE IN CATALYTIC TRANSFER HYDROGENATION REACTIONS
6,Physical Chemistry (incl. Structural),WO-2017042838-A1,2016,TRANSITION METAL(S) CATALYST SUPPORTED ON NITROGEN-DOPED MESOPOROUS CARBON AND ITS USE IN CATALYTIC TRANSFER HYDROGENATION REACTIONS
7,Inorganic Chemistry,WO-2017042838-A1,2016,TRANSITION METAL(S) CATALYST SUPPORTED ON NITROGEN-DOPED MESOPOROUS CARBON AND ITS USE IN CATALYTIC TRANSFER HYDROGENATION REACTIONS
8,Organic Chemistry,WO-2016116907-A1,2016,ANTIBODY-UREASE CONJUGATES FOR THERAPEUTIC PURPOSES
9,Immunology,EP-2984170-A4,2014,USE OF ANTIBODY-UREASE CONJUGATES FOR DIAGNOSTIC AND THERAPEUTIC PURPOSES
10,Nanotechnology,WO-2017207555-A1,2017,PREPARATION OF MESOPOROUS CARBON WITH CATALYTICALLY ACTIVE METAL OXIDE NANOPARTICLES FOR THE SELECTIVE HYDROGENATION OF ALPHA-BETA-UNSATURATED ALDEHYDES
11,Physical Chemistry (incl. Structural),US-10001437-B2,2014,Spectroscopy for gunshot residue analysis
12,Clinical Sciences,WO-2016193067-A1,2016,COMPOSITIONS COMPRISING CINNAMALDEHYDE AND ZINC AND METHODS OF USING SUCH COMPOSITIONS
13,Optical Physics,US-10054839-B1,2017,Nonlinear optical frequency conversion using metamaterial arrays
14,Neurosciences,WO-2016198627-A1,2016,METHODS AND PHARMACEUTICAL COMPOSITION FOR THE TREATMENT OF ALZHEIMER'S DISEASE
15,Neurosciences,WO-2018015573-A2,2017,TREM2 CLEAVAGE MODULATORS AND USES THEREOF
16,Astronomical and Space Sciences,US-9685765-B2,2016,High quality-factor fano metasurface comprising a single resonator unit cell
17,Biomedical Engineering,WO-2017218635-A2,2017,ACTIVATED RELEASE OF TARGET MATERIAL TRAPPED IN ANISOTROPIC FLUIDS
18,Interdisciplinary Engineering,US-10087355-B2,2017,Oil-based drilling fluids containing an alkaline-earth diamondoid compound as rheology modifier
19,Physical Chemistry (incl. Structural),US-10005058-B2,2015,Compositions and methods for arranging colloid phases
20,Analytical Chemistry,US-10060913-B2,2016,Systems including janus droplets capable of binding an analyte and changing orientation to provide a detectable change
21,Electrical and Electronic Engineering,WO-2018052555-A1,2017,OPTICAL IMAGING OF DIFFUSE MEDIUM
