altmetric,doi,title
3728,10.1038/nature21377,Evidence for early life in Earth’s oldest hydrothermal vent precipitates
2330,10.1126/science.aae0061,Emergence of healing in the Antarctic ozone layer
2290,10.1038/ncomms15261,A bioprosthetic ovary created using 3D printed microporous scaffolds restores ovarian function in sterilized mice
2135,10.1038/s41562-018-0520-3,Extreme opponents of genetically modified foods know the least but think they know the most
2104,10.1016/j.pbiomolbio.2018.03.004,Cause of Cambrian Explosion - Terrestrial or cosmic?
1966,10.1126/science.aal1579,Observation of the Wigner-Huntington transition to metallic hydrogen
1831,10.1002/advs.201900344,3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts
1564,10.1126/science.aam8743,Water harvesting from air with metal-organic frameworks powered by natural sunlight
1540,10.1038/nature23282,Hypothalamic stem cells control ageing speed partly through exosomal miRNAs
1518,10.1038/s41550-019-0813-0,Enabling Martian habitability with silica aerogel via the solid-state greenhouse effect
1473,10.1038/nature19100,"An integrated design and fabrication strategy for entirely soft, autonomous robots"
1471,10.1126/science.1249055,"Marine Ice Sheet Collapse Potentially Under Way for the Thwaites Glacier Basin, West Antarctica"
1452,10.1126/scitranslmed.aah4586,Improved tissue cryopreservation using inductive heating of magnetic nanoparticles
1411,10.1007/s10207-017-0369-x,Stealing PINs via mobile sensors: actual risk versus user perception
1374,10.7554/elife.36608,Dynamic density shaping of photokinetic E. coli
1326,10.1038/nbt.4071,A DNA nanorobot functions as a cancer therapeutic in response to a molecular trigger in vivo
1288,10.1038/s41467-018-07214-w,Epigenetically reprogrammed methylation landscape drives the DNA self-assembly and serves as a universal cancer biomarker
1278,10.1016/j.chempr.2017.01.008,Materially Engineered Artificial Pollinators
1269,10.1073/pnas.1605941113,Magnetite pollution nanoparticles in the human brain
1253,10.1002/14651858.cd011045.pub2,"Portion, package or tableware size for changing selection and consumption of food, alcohol and tobacco"
1210,10.1038/s41586-019-0892-1,Two-dimensional MoS2-enabled flexible rectenna for Wi-Fi-band wireless energy harvesting
1180,10.1371/journal.pbio.2003916,"Nucleic acid purification from plants, animals and microbes in under 30 seconds"
1150,10.1038/nclimate1547,The polarizing impact of science literacy and numeracy on perceived climate change risks
1134,10.1101/703801,An integrated brain-machine interface platform with thousands of channels
1107,10.1038/s41565-018-0112-4,"Non-invasive, transdermal, path-selective and specific glucose monitoring via a graphene-based platform"
1056,10.1016/s0140-6736(16)31012-1,"Global, regional, and national life expectancy, all-cause mortality, and cause-specific mortality for 249 causes of death, 1980–2015: a systematic analysis for the Global Burden of Disease Study 2015"
1044,10.1038/nnano.2016.131,A kilobyte rewritable atomic memory
1038,10.1001/jama.2014.15939,The Anatomy of Medical Research: US and International Comparisons
1036,10.1038/s41467-019-08806-w,Sleep increases chromosome dynamics to enable reduction of accumulating DNA damage in single neurons
1035,10.1038/nnano.2017.21,Tunable sieving of ions using graphene oxide membranes
1026,10.1038/nnano.2017.134,Topical tissue nano-transfection mediates non-viral stroma reprogramming and rescue
972,10.1038/s41467-019-08824-8,Room temperature CO2 reduction to solid carbon species on liquid metals featuring atomically thin ceria interfaces
960,10.1038/s41551-018-0252-8,Nanoparticle delivery of CRISPR into the brain rescues a mouse model of fragile X syndrome from exaggerated repetitive behaviours
958,10.1016/j.jinorgbio.2011.08.008,Do aluminum vaccine adjuvants contribute to the rising prevalence of autism?
931,10.1038/nature25443,Small-scale soft-bodied robot with multimodal locomotion
921,10.1038/s41467-018-07262-2,Smartphone app for non-invasive detection of anemia using only patient-sourced photos
901,10.1038/d41586-018-07848-2,How ‘magic angle’ graphene is stirring up physics
899,10.1038/s41467-018-04319-0,Protein disorder–order interplay to guide the growth of hierarchical mineralized structures
889,10.1126/scirobotics.aai7529,Optoelectronically innervated soft prosthetic hand via stretchable optical waveguides
864,10.1002/reg2.79,"Planarian regeneration in space: Persistent anatomical, behavioral, and bacteriological changes induced by space travel"
841,10.1038/nature16492,Bioresorbable silicon electronic sensors for the brain
838,10.1016/j.neuropsychologia.2017.04.009,Biological and cognitive underpinnings of religious fundamentalism
823,10.1186/s13058-017-0828-3,Association between air pollution and mammographic breast density in the Breast Cancer Surveilance Consortium
791,10.1038/s41586-018-0775-x,Soft-tissue evidence for homeothermy and crypsis in a Jurassic ichthyosaur
784,10.1002/smll.201703509,Smart Bandage for Monitoring and Treatment of Chronic Wounds
776,10.1038/s41467-017-02088-w,Structural absorption by barbule microstructures of super black bird of paradise feathers
763,10.1016/j.cell.2017.03.025,Trade-off between Transcriptome Plasticity and Genome Evolution in Cephalopods
759,10.1038/nnano.2016.70,Stochastic phase-change neurons
749,10.1126/science.aaf4767,Nanostructured transition metal dichalcogenide electrocatalysts for CO<sub>2</sub> reduction in ionic liquid
749,10.1038/s41467-017-02475-3,Antimicrobial peptide capsids of de novo design
746,10.1038/nnano.2015.115,Syringe-injectable electronics
