first_name,id,last_name,orcid_id,research_orgs,total_publications,full_name,url
Arie,ur.01344267610.18,Bodek,['0000-0003-0409-0341'],"[{'id': 'grid.21940.3e', 'name': 'Rice University', 'country_name': 'United States'}, {'id': 'grid.20861.3d', 'acronym': 'CIT', 'name': 'California Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.463190.9', 'acronym': 'LNF', 'name': 'National Laboratory of Frascati', 'country_name': 'Italy'}, {'id': 'grid.134907.8', 'name': 'Rockefeller University', 'country_name': 'United States'}, {'id': 'grid.411461.7', 'acronym': 'UTK', 'name': 'University of Tennessee at Knoxville', 'country_name': 'United States'}, {'id': 'grid.116068.8', 'acronym': 'MIT', 'name': 'Massachusetts Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.453006.4', 'name': 'Alfred P. Sloan Foundation', 'country_name': 'United States'}]",1370,Arie Bodek,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01344267610.18
Thomas,ur.01140601012.00,Ferbel,['0000-0002-6733-131X'],"[{'id': 'grid.417851.e', 'acronym': 'Fermilab', 'name': 'Fermilab', 'country_name': 'United States'}, {'id': 'grid.21940.3e', 'name': 'Rice University', 'country_name': 'United States'}, {'id': 'grid.164295.d', 'acronym': 'UMCP', 'name': 'University of Maryland, College Park', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.202665.5', 'acronym': 'BNL', 'name': 'Brookhaven National Laboratory', 'country_name': 'United States'}, {'id': 'grid.189504.1', 'acronym': 'BU', 'name': 'Boston University', 'country_name': 'United States'}, {'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.410481.8', 'acronym': 'URA', 'name': 'Universities Research Association', 'country_name': 'United States'}, {'id': 'grid.134907.8', 'name': 'Rockefeller University', 'country_name': 'United States'}, {'id': 'grid.17635.36', 'name': 'University of Minnesota', 'country_name': 'United States'}]",1213,Thomas Ferbel,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01140601012.00
Antonio,ur.0100212253.76,Garcia-Bellido,['0000-0002-1407-1972'],"[{'id': 'grid.20861.3d', 'acronym': 'CIT', 'name': 'California Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.21940.3e', 'name': 'Rice University', 'country_name': 'United States'}, {'id': 'grid.19006.3e', 'acronym': 'UCLA', 'name': 'University of California Los Angeles', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.134907.8', 'name': 'Rockefeller University', 'country_name': 'United States'}, {'id': 'grid.5515.4', 'acronym': 'UAM', 'name': 'Autonomous University of Madrid', 'country_name': 'Spain'}, {'id': 'grid.7400.3', 'acronym': 'UZH', 'name': 'University of Zurich', 'country_name': 'Switzerland'}, {'id': 'grid.418281.6', 'acronym': 'CIB ', 'name': 'Center for Biological Research', 'country_name': 'Spain'}, {'id': 'grid.5335.0', 'name': 'University of Cambridge', 'country_name': 'United Kingdom'}, {'id': 'grid.465524.4', 'acronym': 'CBMSO', 'name': 'Centro de Biología Molecular Severo Ochoa', 'country_name': 'Spain'}, {'id': 'grid.34477.33', 'acronym': 'UW', 'name': 'University of Washington', 'country_name': 'United States'}, {'id': 'grid.4711.3', 'acronym': 'CSIC', 'name': 'Spanish National Research Council', 'country_name': 'Spain'}]",932,Antonio Garcia-Bellido,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0100212253.76
Govind Prasad,ur.01322606676.10,Agrawal,['0000-0003-4486-8533'],"[{'id': 'grid.417965.8', 'acronym': 'IITK', 'name': 'Indian Institute of Technology Kanpur', 'country_name': 'India'}, {'id': 'grid.444707.4', 'name': 'Dr. Hari Singh Gour University', 'country_name': 'India'}, {'id': 'grid.7311.4', 'name': 'University of Aveiro', 'country_name': 'Portugal'}, {'id': 'grid.417967.a', 'acronym': 'IITD', 'name': 'Indian Institute of Technology Delhi', 'country_name': 'India'}, {'id': 'grid.425740.0', 'name': 'Quantel (France)', 'country_name': 'France'}, {'id': 'grid.411488.0', 'name': 'University of Lucknow', 'country_name': 'India'}, {'id': 'grid.469490.6', 'name': 'Nokia (United States)', 'country_name': 'United States'}, {'id': 'grid.10877.39', 'name': 'École Polytechnique', 'country_name': 'France'}, {'id': 'grid.254250.4', 'acronym': 'CCNY', 'name': 'City College of New York', 'country_name': 'United States'}, {'id': 'grid.421036.2', 'name': 'Alcatel-Lucent (United States)', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.431860.8', 'name': 'AT&T (United States)', 'country_name': 'United States'}]",675,Govind Prasad Agrawal,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01322606676.10
Kevin S,ur.016561370142.13,Mcfarland,['0000-0001-9289-5005'],"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.9132.9', 'acronym': 'CERN', 'name': 'European Organization for Nuclear Research', 'country_name': 'Switzerland'}, {'id': 'grid.170205.1', 'acronym': 'UC', 'name': 'University of Chicago', 'country_name': 'United States'}, {'id': 'grid.116068.8', 'acronym': 'MIT', 'name': 'Massachusetts Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.417851.e', 'acronym': 'Fermilab', 'name': 'Fermilab', 'country_name': 'United States'}]",636,Kevin S Mcfarland,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016561370142.13
Paul,ur.010542044605.93,Slattery,,"[{'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.202665.5', 'acronym': 'BNL', 'name': 'Brookhaven National Laboratory', 'country_name': 'United States'}, {'id': 'grid.17635.36', 'name': 'University of Minnesota', 'country_name': 'United States'}, {'id': 'grid.417851.e', 'acronym': 'Fermilab', 'name': 'Fermilab', 'country_name': 'United States'}]",502,Paul Slattery,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010542044605.93
Eby G,ur.011575602706.13,Friedman,['0000-0002-5549-7160'],"[{'id': 'grid.185648.6', 'acronym': 'UIC', 'name': 'University of Illinois at Chicago', 'country_name': 'United States'}, {'id': 'grid.36425.36', 'acronym': 'SBU', 'name': 'Stony Brook University', 'country_name': 'United States'}, {'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.21925.3d', 'name': 'University of Pittsburgh', 'country_name': 'United States'}, {'id': 'grid.6451.6', 'name': 'Technion – Israel Institute of Technology', 'country_name': 'Israel'}, {'id': 'grid.258879.9', 'name': 'Lafayette College', 'country_name': 'United States'}]",493,Eby G Friedman,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011575602706.13
Jannick P,ur.01345521662.12,Rolland,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.170430.1', 'acronym': 'UCF', 'name': 'University of Central Florida', 'country_name': 'United States'}, {'id': 'grid.488035.2', 'name': 'LighTopTech (United States)', 'country_name': 'United States'}, {'id': 'grid.134563.6', 'acronym': 'UA', 'name': 'University of Arizona', 'country_name': 'United States'}, {'id': 'grid.10698.36', 'acronym': 'UNC', 'name': 'University of North Carolina at Chapel Hill', 'country_name': 'United States'}, {'id': 'grid.425181.b', 'acronym': 'IOGS', 'name': 'Higher school of optics', 'country_name': 'France'}, {'id': 'grid.5842.b', 'name': 'University of Paris-Sud', 'country_name': 'France'}, {'id': 'grid.410711.2', 'name': 'University of North Carolina System', 'country_name': 'United States'}]",474,Jannick P Rolland,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01345521662.12
Philippe M,ur.0747743117.07,Fauchet,,"[{'id': 'grid.33489.35', 'acronym': 'UD', 'name': 'University of Delaware', 'country_name': 'United States'}, {'id': 'grid.411461.7', 'acronym': 'UTK', 'name': 'University of Tennessee at Knoxville', 'country_name': 'United States'}, {'id': 'grid.262613.2', 'acronym': 'RIT', 'name': 'Rochester Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}, {'id': 'grid.10877.39', 'name': 'École Polytechnique', 'country_name': 'France'}, {'id': 'grid.260896.3', 'acronym': 'NJIT', 'name': 'New Jersey Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.16750.35', 'name': 'Princeton University', 'country_name': 'United States'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",452,Philippe M Fauchet,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0747743117.07
Joseph H,ur.013303110024.32,Eberly,['0000-0001-9042-7945'],"[{'id': 'grid.5801.c', 'name': 'Swiss Federal Institute of Technology in Zurich', 'country_name': 'Switzerland'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.412066.7', 'acronym': 'JILA ', 'name': 'JILA', 'country_name': 'United States'}, {'id': 'grid.266190.a', 'acronym': 'UCB', 'name': 'University of Colorado Boulder', 'country_name': 'United States'}, {'id': 'grid.5718.b', 'name': 'University of Duisburg-Essen', 'country_name': 'Germany'}, {'id': 'grid.257310.2', 'acronym': 'ISU', 'name': 'Illinois State University', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.253573.5', 'name': 'Calvin College', 'country_name': 'United States'}]",411,Joseph H Eberly,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013303110024.32
