,name,surname,frequency,search_url
0,,,59,
1,Kari,Stefansson,18,https://www.google.com/search?q=Kari+Stefansson
2,Tõnu,Esko,15,https://www.google.com/search?q=T%C3%B5nu+Esko
3,Kent D.,Taylor,15,https://www.google.com/search?q=Kent%20D.+Taylor
4,Jaakko,Tuomilehto,14,https://www.google.com/search?q=Jaakko+Tuomilehto
5,Daniel I.,Chasman,14,https://www.google.com/search?q=Daniel%20I.+Chasman
6,Stefan,Gustafsson,13,https://www.google.com/search?q=Stefan+Gustafsson
7,Aarno,Palotie,12,https://www.google.com/search?q=Aarno+Palotie
8,Olle,Melander,12,https://www.google.com/search?q=Olle+Melander
9,Tamara B.,Harris,12,https://www.google.com/search?q=Tamara%20B.+Harris
10,Michiaki,Kubo,12,https://www.google.com/search?q=Michiaki+Kubo
11,Andres,Metspalu,12,https://www.google.com/search?q=Andres+Metspalu
12,Terho,Lehtimäki,12,https://www.google.com/search?q=Terho+Lehtim%C3%A4ki
13,Wei,Zhao,12,https://www.google.com/search?q=Wei+Zhao
14,Reinhold,Schmidt,12,https://www.google.com/search?q=Reinhold+Schmidt
15,Wolfgang,Lieb,11,https://www.google.com/search?q=Wolfgang+Lieb
16,,23andMe Research Team,11,https://www.google.com/search?q=+23andMe%20Research%20Team
17,Paul M.,Ridker,11,https://www.google.com/search?q=Paul%20M.+Ridker
18,James P.,Cook,11,https://www.google.com/search?q=James%20P.+Cook
19,James G.,Wilson,11,https://www.google.com/search?q=James%20G.+Wilson
20,Vilmundur,Gudnason,10,https://www.google.com/search?q=Vilmundur+Gudnason
21,Jie,Huang,10,https://www.google.com/search?q=Jie+Huang
22,M. Arfan,Ikram,10,https://www.google.com/search?q=M.%20Arfan+Ikram
23,Erik,Ingelsson,10,https://www.google.com/search?q=Erik+Ingelsson
24,John,Danesh,10,https://www.google.com/search?q=John+Danesh
25,Brooke,LaFlamme,10,https://www.google.com/search?q=Brooke+LaFlamme
26,Jouke-Jan,Hottenga,10,https://www.google.com/search?q=Jouke-Jan+Hottenga
27,Caroline,Hayward,10,https://www.google.com/search?q=Caroline+Hayward
28,Igor,Rudan,9,https://www.google.com/search?q=Igor+Rudan
29,Gudmar,Thorleifsson,9,https://www.google.com/search?q=Gudmar+Thorleifsson
30,Cornelia M.,van Duijn,9,https://www.google.com/search?q=Cornelia%20M.+van%20Duijn
31,Fernando,Rivadeneira,9,https://www.google.com/search?q=Fernando+Rivadeneira
32,Sandosh,Padmanabhan,9,https://www.google.com/search?q=Sandosh+Padmanabhan
33,Lars,Lind,9,https://www.google.com/search?q=Lars+Lind
34,Joanna M. M.,Howson,9,https://www.google.com/search?q=Joanna%20M.%20M.+Howson
35,Ying,Wu,9,https://www.google.com/search?q=Ying+Wu
36,Andre,Franke,9,https://www.google.com/search?q=Andre+Franke
