journal_id,title,total
jour.1293558,bioRxiv,9638
jour.1312191,Journal of Clinical Oncology,7237
jour.1037553,PLoS ONE,6897
jour.1045337,Scientific Reports,5616
jour.1034467,Alzheimer's & Dementia,3336
jour.1043282,Nature Communications,2997
jour.1043645,Oncotarget,2750
jour.1017616,Gastroenterology,2322
jour.1100417,Annals of Oncology,2295
jour.1093746,Journal of the American College of Cardiology,2003
jour.1021029,Neuro-Oncology,1954
jour.1082971,Proceedings of the National Academy of Sciences,1870
jour.1095400,Journal of Hepatology,1588
jour.1017855,The Journal of Urology,1245
jour.1101548,European Neuropsychopharmacology,1236
jour.1113735,Clinical Cancer Research,1195
jour.1018957,Nature,1154
jour.1017226,Annals of the Rheumatic Diseases,1138
jour.1046010,Cell Reports,1136
jour.1358156,International Journal of Cancer,1094
jour.1085025,Blood,1091
jour.1036857,Journal of Thoracic Oncology,1084
jour.1091325,European Heart Journal,1077
jour.1055081,Journal of Allergy and Clinical Immunology,1045
jour.1345383,Bioinformatics,1028
jour.1294974,European Journal of Cancer,1025
jour.1018982,Nucleic Acids Research,1018
jour.1018238,Neurology,1017
jour.1023790,BMC Genomics,1016
jour.1102504,Human Molecular Genetics,994
jour.1034974,PLoS Genetics,953
jour.1016705,Gynecologic Oncology,935
jour.1034749,American Journal of Medical Genetics Part A,925
jour.1358061,Journal of Investigative Dermatology,913
jour.1119070,Journal of Alzheimer's Disease,899
jour.1019114,Cell,897
jour.1085033,International Journal of Radiation Oncology • Biology • Physics,895
jour.1004765,Zeitschrift für Gastroenterologie,863
jour.1046517,eLife,856
jour.1009570,Circulation,855
jour.1017012,The American Journal of Human Genetics,817
jour.1319913,Cancer Research,771
jour.1103410,European Journal of Human Genetics,765
jour.1013420,Atherosclerosis,761
jour.1044693,BMJ Open,742
jour.1086359,Investigative Ophthalmology & Visual Science,735
jour.1077125,Gut,735
jour.1097065,Leukemia,725
jour.1346339,Science,716
jour.1012129,Biological Psychiatry,707
jour.1094093,Journal of Hypertension,683
jour.1039135,Journal of Crohn's and Colitis,682
jour.1017738,The Journal of Clinical Endocrinology & Metabolism,675
jour.1046624,Journal of the American Heart Association,669
jour.1023439,Genome Biology,653
jour.1077219,The Lancet,643
jour.1313661,International Journal of Cardiology,638
jour.1045668,Frontiers in Plant Science,630
jour.1014075,New England Journal of Medicine,625
jour.1017423,Diabetes,616
jour.1024632,BMC Cancer,614
jour.1013101,Stroke,608
jour.1013236,Schizophrenia Bulletin,603
jour.1017082,British Journal of Cancer,601
jour.1017574,Cancer,599
jour.1119411,Genetics in Medicine,598
jour.1101916,Cancer Epidemiology Biomarkers & Prevention,594
jour.1077138,Journal of Biological Chemistry,583
jour.1023804,Haematologica,578
jour.1087544,International Journal of Epidemiology,577
jour.1024230,Pancreatology,568
jour.1092777,Breast Cancer Research and Treatment,567
jour.1016325,"Nephrology,Dialysis and Transplantation",560
jour.1297422,Journal of Clinical Investigation,558
jour.1045166,Frontiers in Immunology,556
jour.1000902,British Journal of Dermatology,555
jour.1032656,Pediatric Blood & Cancer,546
jour.1103682,Osteoarthritis and Cartilage,545
jour.1036748,European Urology Supplements,543
jour.1097543,Oncogene,537
jour.1028874,International Journal of Molecular Sciences,533
jour.1114940,Biology of Blood and Marrow Transplantation,531
jour.1091979,Neurobiology of Aging,518
jour.1103045,Human Mutation,510
jour.1062273,Journal of Neurology Neurosurgery & Psychiatry,509
jour.1034222,Ophthalmology,508
jour.1017305,Brain,503
jour.1017752,Journal of the Neurological Sciences,502
jour.1017308,British Journal of Haematology,502
jour.1030524,Endocrine Abstracts,499
jour.1017122,Geburtshilfe und Frauenheilkunde,492
jour.1084523,European Urology,486
jour.1115540,Molecular Psychiatry,485
jour.1097884,European Respiratory Journal,482
jour.1101964,Genome Research,475
jour.1013962,Clinical Genetics,468
jour.1023279,The Lancet Oncology,467
jour.1117828,Molecular Cell,460
jour.1358108,Journal of the National Cancer Institute,447
jour.1345398,Clinical Neurophysiology,446
jour.1017790,American Journal of Clinical Nutrition,437
jour.1113716,Nature Medicine,429
jour.1054214,Psychological Medicine,426
jour.1089721,Clinical Infectious Diseases,420
jour.1017031,American Journal of Respiratory and Critical Care Medicine,419
jour.1090493,American Journal of Epidemiology,419
jour.1097961,Schizophrenia Research,418
jour.1101563,Neuromuscular Disorders,412
jour.1023786,BMC Bioinformatics,411
jour.1094728,Radiotherapy and Oncology,410
jour.1093917,Hepatology,405
jour.1103715,Diabetes Care,404
jour.1030059,Cancer Cell,403
jour.1089762,Journal of Affective Disorders,402
jour.1045560,"G3: Genes, Genomes, Genetics",400
jour.1045271,Translational Psychiatry,397
jour.1051466,JAMA Oncology,396
jour.1114191,Inflammatory Bowel Diseases,396
jour.1016940,Acta Ophthalmologica,395
jour.1001482,Diabetologia,394
jour.1077134,The Journal of Immunology,390
jour.1045144,Frontiers in Genetics,379
jour.1042723,Nutrients,373
jour.1041454,Science Translational Medicine,371
jour.1044458,Frontiers in Microbiology,370
jour.1077253,Medicine,370
jour.1047634,Microbiology Resource Announcements,369
jour.1017081,Heart,367
jour.1019815,British Journal of Ophthalmology,367
jour.1105545,Annals of Surgical Oncology,367
jour.1077104,Journal of Medical Genetics,367
jour.1081531,JAMA,361
jour.1297451,Clinical Lymphoma Myeloma & Leukemia,359
jour.1096585,Movement Disorders,358
jour.1053075,JCI Insight,356
jour.1018430,Experimental Hematology,355
jour.1017078,Biophysical Journal,353
jour.1297370,Rheumatology,353
jour.1037994,PLoS Neglected Tropical Diseases,352
jour.1017014,American Journal of Ophthalmology,351
jour.1284558,Innovation in Aging,349
jour.1100399,Leukemia & Lymphoma,348
jour.1050984,EBioMedicine,346
jour.1019235,The Journal of Infectious Diseases,338
jour.1117441,European Journal of Paediatric Neurology,338
jour.1011880,The American Journal of Cardiology,336
jour.1017255,JAMA Neurology,334
jour.1009646,Molecular Genetics and Metabolism,332
jour.1113743,The Journals of Gerontology Series A,332
jour.1005854,Hypertension,330
jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,330
jour.1088755,Sleep,329
jour.1047556,F1000Research,327
jour.1086831,Annals of Neurology,326
jour.1019073,Acta Neuropathologica,325
jour.1045210,Cancer Discovery,322
jour.1017622,Genetics,321
jour.1030597,Malaria Journal,316
jour.1014525,Journal of Neurology,315
jour.1090630,Psychiatry Research,314
jour.1101614,European Psychiatry,312
jour.1005853,Circulation Research,312
jour.1038823,Cell Stem Cell,312
jour.1017064,Arthritis & Rheumatology,311
jour.1100917,Cancer Causes & Control,310
jour.1017084,Occupational and Environmental Medicine,307
jour.1103190,Journal of Glaucoma,302
jour.1040124,Genome Medicine,302
jour.1020804,EP Europace,302
jour.1114563,Parkinsonism & Related Disorders,300
jour.1096849,Development,300
jour.1102176,European Journal of Public Health,300
jour.1086872,The American Journal of Surgical Pathology,299
jour.1085982,Human Genetics,299
jour.1017430,Fertility and Sterility,297
jour.1033763,Nature Methods,297
jour.1126647,New Phytologist,297
jour.1094257,Retina,297
jour.1053424,PeerJ Preprints,294
jour.1098208,Modern Pathology,294
jour.1115214,Nature Biotechnology,292
jour.1276748,SSRN Electronic Journal,292
jour.1034963,PLoS Pathogens,290
jour.1091000,Journal of Animal Science,289
jour.1327433,PLoS Computational Biology,287
jour.1085620,American Journal of Hematology,286
jour.1077126,Journal of Experimental Medicine,282
jour.1294984,Journal of Human Genetics,281
jour.1297376,Digestive and Liver Disease,279
jour.1018314,Plant Physiology,278
jour.1017004,American Heart Journal,278
jour.1095198,Molecular Biology and Evolution,275
jour.1088587,Environment International,275
jour.1031710,Clinical Gastroenterology and Hepatology,272
jour.1102338,The Plant Journal,272
jour.1035838,International Journal of Obesity,271
jour.1008072,Journal of Virology,270
jour.1024954,BMC Public Health,270
jour.1000968,Gastrointestinal Endoscopy,269
jour.1041665,Genome Biology and Evolution,268
jour.1044864,Archives of Cardiovascular Diseases Supplements,268
jour.1100708,Journal of the American Society of Nephrology,266
jour.1086465,Histopathology,265
jour.1126669,Journal of Experimental Botany,264
jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,264
jour.1020835,Value in Health,264
jour.1016817,World Neurosurgery,264
jour.1017377,The BMJ,261
jour.1017311,British Journal Of Nutrition,261
jour.1095636,European Journal of Epidemiology,261
