,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,times_cited,title,year
0,['SPHINGOTEC GMBH'],,Application,,WO-2016170023-A1,"['BERGMANN, ANDREAS', 'MELANDER, OLLE']",2016-10-27,,A METHOD FOR PREDICTING THE RISK OF INCIDENCE OF CHRONIC KIDNEY DISEASE,2016
1,"['Purdue Pharma LP', 'PURDUE PHARMACEUTICAL PRODUCTS L P']","[{'id': 'grid.418726.e', 'name': 'Purdue Pharma (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9993482-B2,['Thomas Jorg Mehrling'],2018-06-12,,Pharmaceutical combination comprising a class III receptor tyrosine kinase inhibitor and the alkylating histone-deacetylase inhibitor fusion molecule EDO-S101 together with its use in the treatment of cancer,2015
2,"['Sunshire Lake Pharma Co Ltd', 'Sunshine Lake Pharma Co Ltd', 'Calitor Sciences LLC', 'SUNSHINE LAKE PHARMA CO LTD', 'CALITOR SCIENCES LLC', 'SUNSHIRE LAKE PHARMA CO LTD']",,Grant,2018.0,US-9957233-B1,['Ning Xi'],2018-05-01,,Process for preparing substituted quinolin-4-ol compounds,2017
3,['LAZZARINO GIUSEPPE'],,Application,,WO-2018078665-A1,"['LAZZARINO, GIUSEPPE', 'TAVAZZI, BARBARA', 'LAZZARINO, Giacomo', 'AMORINI, ANGELA MARIA', 'DI STASIO, Enrico', 'GASPERINI, Claudio']",2018-05-03,,BIOMARKERS AND METHODS FOR IN VITRO DIAGNOSIS OF MULTIPLE SCLEROSIS,2017
4,"['DIASORIN S P A', 'UNIV LOUVAIN']","[{'id': 'grid.7942.8', 'acronym': 'UCL', 'name': 'Catholic University of Louvain', 'country_name': 'Belgium'}]",Application,,WO-2016113719-A1,"['GRUSON, Damien', 'ROUSSEAU, MICHEL', 'ZIEROLD, CLAUDIA', 'BONELLI, FABRIZIO', 'BLOCKI, Frank']",2016-07-21,,"USE OF 1,25-DIHYDROXYVITAMIN D VALUES IN RATIO WITH PTH AS A PROGNOSTIC BIOMARKER",2016
5,['LABORATOIRES M&L'],,Application,,WO-2018002475-A1,"['Cenizo, Valérie', 'LEMAIRE, Géraldine', 'PORTES, PASCAL']",2018-01-04,,USE OF AN ESSENTIAL OIL OF EVERLASTING FLOWER IN ORDER TO INCREASE OR RESTORE TACTILE PERCEPTION,2017
6,['UNIV LONDON QUEEN MARY'],"[{'id': 'grid.4868.2', 'acronym': 'QMUL', 'name': 'Queen Mary University of London', 'country_name': 'United Kingdom'}]",Application,,WO-2016146979-A1,"['NISSIM, AHUVA', 'POZZILLI, PAOLO', 'STROLLO, Rocky']",2016-09-22,,ANTIBODIES AGAINST MODIFIED INSULIN FOR USE IN TREATMENT OF AND ASSAYS FOR DIABETES,2016
7,['NOVINTETHICAL PHARMA SA'],"[{'id': 'grid.487293.3', 'name': 'Novintethical Pharma (Switzerland)', 'country_name': 'Switzerland'}]",Application,,WO-2017207223-A1,"['Alonso Cohen, Miguel Angel', 'Di Fulvio, Marco']",2017-12-07,1.0,COMPOSITIONS FOR THE TREATMENT OF INTESTINAL DISORDERS,2017
8,"['INST NAT SANTE RECH MED', 'UNIV RENNES']","[{'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}, {'id': 'grid.410368.8', 'name': 'University of Rennes 1', 'country_name': 'France'}]",Application,,WO-2013064555-A1,"['PINEAU, CHARLES', 'ROLLAND, Antoine', 'CALVEL, Pierre', 'LAVIGNE, Régis']",2013-05-10,1.0,METHOD FOR PREDICTING THE PRESENCE OF REPRODUCTIVE CELLS IN TESTIS,2012
9,"['Institute for Res in Biomedicine', 'INSTITUTE FOR RES IN BIOMEDICINE']","[{'id': 'grid.29078.34', 'acronym': 'USI', 'name': 'University of Italian Switzerland', 'country_name': 'Switzerland'}]",Application,,EP-3308778-A1,"['GEIGER, Roger', 'LANZAVECCHIA, ANTONIO', 'SALLUSTO, Federica']",2018-04-18,,ARGININE AND ITS USE AS A T CELL MODULATOR,2016
10,['INSTITUTE FOR RES IN BIOMEDICINE'],"[{'id': 'grid.29078.34', 'acronym': 'USI', 'name': 'University of Italian Switzerland', 'country_name': 'Switzerland'}]",Application,,WO-2018069471-A1,"['GEIGER, Roger', 'LANZAVECCHIA, ANTONIO', 'SALLUSTO, Federica']",2018-04-19,,ARGININE AND ITS USE AS A T CELL MODULATOR,2017
11,"['GLAXOSMITHKLINE BIOLOGICALS SA', 'UNIV PIERRE ET MARIE CURIE (PARIS 6)', 'INST NAT SANTE RECH MED']","[{'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}, {'id': 'grid.462844.8', 'name': 'Sorbonne University', 'country_name': 'France'}]",Application,,WO-2017102939-A1,"['MOREL, SANDRA', 'POUCHY, Charlotte, Véronique', 'SALOMON, Benoit, Laurent', 'VANERHEYDE, Nathalie, Raoul, Liliane']",2017-06-22,,USE OF ADJUVANTS FOR THE PREVENTION AND/OR TREATMENT OF AUTOIMMUNE DISEASES,2016
12,['ECOLE POLYTECHNIQUE FED LAUSANNE EPFL'],,Application,,WO-2018041995-A3,"['TSAO, HOI NOK', 'GRAETZEL, MICHAEL']",2018-04-12,,OPTOELECTRONIC AND/OR ELECTROCHEMICAL LEARNING DEVICE,2017
13,"['DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITE', 'DET INTERNATIONAL HOLDING LTD']",,Application,,EP-3258582-A1,"['Beinlich, Dominik Reinhard']",2017-12-20,,RIPPLE COMPENSATION CIRCUIT OF POWER SUPPLY AND COMPENSATING METHOD THEREOF,2016
14,"['SAP Portals Israel Ltd', 'SAP PORTALS ISRAEL LTD']",,Grant,2017.0,US-9854396-B2,"['Evgeny Himmelreich', 'Nirit Cohen-Zur', 'Rachel Ebner']",2017-12-26,3.0,Monitoring movement transitions via cellular network data,2015
15,"['Commissariat a l Energie Atomique et aux Energies Alternatives', 'COMMISSARIAT ENERGIE ATOMIQUE']","[{'id': 'grid.5583.b', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",Application,,FR-3043480-A1,"['CALVANESE STRINATI EMILIO', 'OUEIS JESSICA']",2017-05-12,,METHOD AND SYSTEM FOR COMPILING CLUSTERS OF COMPUTER CLOUD EQUIPMENT WITH DISTRIBUTED RESOURCE ALLOCATION AND CORRECTION OF CENTRALIZED FEASIBILITY,2015
16,['NESTEC SA'],"[{'id': 'grid.419905.0', 'name': 'Nestlé (Switzerland)', 'country_name': 'Switzerland'}]",Application,,WO-2017085138-A1,"['BREUILLE, DENIS', 'OFFORD CAVIN, ELIZABETH', 'ROESSLE, CLAUDIA', 'FIELDING, Roger']",2017-05-26,,METHODS USING WHEY PROTEIN TO IMPROVE OR MAINTAIN MUSCLE QUALITY,2016
17,"['Biovie Inc', 'Nanoantibiotics Inc', 'Universita Degli Studi di Padova', 'NANOANTIBIOTICS INC', 'UNIV DEGLI STUDI DI PADOVA', 'BIOVIE INC']","[{'id': 'grid.5608.b', 'acronym': 'UNIPD', 'name': 'University of Padua', 'country_name': 'Italy'}]",Grant,2017.0,US-9655945-B2,"['Paolo Angeli', 'Penelope Markham', 'Jonathan Adams']",2017-05-23,1.0,Treatment of ascites,2016
18,"['ASSIST PUBLIQUE HOPITAUX DE PARIS AP HP', 'INST NAT SANTE RECH MED', 'UNIV PARIS DESCARTES']","[{'id': 'grid.10992.33', 'name': 'Paris Descartes University', 'country_name': 'France'}, {'id': 'grid.50550.35', 'acronym': 'AP-HP', 'name': 'Assistance Publique -Hopitaux De Paris', 'country_name': 'France'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}]",Application,,WO-2018046870-A1,"['MENASCHE, PHILIPPE', 'RENAULT, Nisa', 'BELLAMY, Valérie', 'PIDIAL, Laetitia']",2018-03-15,,BIOMATERIAL FOR THERAPEUTIC USE,2017
19,['DEBRECENI EGYETEM'],"[{'id': 'grid.7122.6', 'name': 'University of Debrecen', 'country_name': 'Hungary'}]",Application,,WO-2016120647-A2,"['NAGY, László', 'VARGA, Tamás']",2016-08-04,,MUSCLE REGENERATION,2015
20,"[""UNIVERSITA' DEGLI STUDI DI ROMA LA SAPIENZA""]","[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Application,,WO-2017149474-A1,"['SARTO, MARIA SABRINA', 'POLIMENI, Antonella', 'UCCELLETTI, DANIELA', ""BOSSU', Maurizio"", 'BREGNOCCHI, Agnese', 'CHANDRAIAHGARI, Chandrakanth Reddy', 'ZANNI, Elena', 'DE ANGELIS, Francesca']",2017-09-08,,PROCESS FOR THE PRODUCTION OF ANTIMICROBIAL DENTAL ADHESIVES INCLUDING GRAPHENE AND RELATIVE PRODUCT THEREOF,2017
21,['UNIV KING ABDULLAH SCI & TECH'],"[{'id': 'grid.45672.32', 'acronym': 'KAUST', 'name': 'King Abdullah University of Science and Technology', 'country_name': 'Saudi Arabia'}]",Application,,WO-2017103783-A1,"['LI, LAIN-JONG', 'MING, Jun']",2017-06-22,,"LITHIUM-SULFUR BATTERY, A DUAL BLOCKING LAYER, METHODS OF MAKING, AND METHODS OF USE THEREOF",2016
22,['ALU-ÖNTÖ KFT'],,Application,,WO-2016181177-A2,"['HAJAS, Gergely']",2016-11-17,,CASTING PROCESS AND SAND MOULD PROVIDED WITH AN INLET SYSTEM FOR PRODUCING AT LEAST PARTLY THIN WALLED ALUMINIUM CASTS WITH SAND MOULDING TECHNOLOGY BY MEANS OF GRAVITY CASTING,2016
23,['AMGEN INC'],"[{'id': 'grid.417886.4', 'acronym': 'Amgen, Inc.', 'name': 'Amgen (United States)', 'country_name': 'United States'}]",Application,,WO-2016176427-A1,"['BACH, BRUCE ALLEN', 'VOGL, Florian']",2016-11-03,,TREATMENT OF OVARIAN CANCER IN PATIENTS WITH ASCITES USING A SPECIFIC BINDING AGENT OF HUMAN ANGIOPOIETIN-2 IN COMBINATION WITH A TAXANE,2016
24,"['Fujitsu Ltd', 'FUJITSU LTD']","[{'id': 'grid.418251.b', 'name': 'Fujitsu (Japan)', 'country_name': 'Japan'}]",Application,,DE-102016214332-A1,"['Kiyoshi Nakayama', 'Wei-Peng Chen']",2017-07-20,,Aggregated and optimized virtual - power station - control,2016
25,"['Fresenius Medical Care Deutschland GmbH', 'FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH']","[{'id': 'grid.415062.4', 'name': 'Fresenius Medical Care (Germany)', 'country_name': 'Germany'}]",Application,,DE-102015015597-A1,"['Janine Büchel', 'Robert Pohlmeier', 'Sonja Steppan']",2017-06-08,,Treatment of stroke by means of haemofiltration,2015
26,"['Commissariat a l Energie Atomique et aux Energies Alternatives', 'COMMISSARIAT ENERGIE ATOMIQUE']","[{'id': 'grid.5583.b', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",Application,,FR-3043480-A1,"['CALVANESE STRINATI EMILIO', 'OUEIS JESSICA']",2017-05-12,,METHOD AND SYSTEM FOR COMPILING CLUSTERS OF COMPUTER CLOUD EQUIPMENT WITH DISTRIBUTED RESOURCE ALLOCATION AND CORRECTION OF CENTRALIZED FEASIBILITY,2015
27,['LIVERPOOL SCHOOL OF TROPICAL MEDICINE'],"[{'id': 'grid.48004.38', 'acronym': 'LSTM', 'name': 'Liverpool School of Tropical Medicine', 'country_name': 'United Kingdom'}]",Application,,WO-2017103615-A1,"['BIAGINI, Giancarlo A.', 'WARD, STEPHEN A.', 'NIXON, Gemma L.', ""O'NEILL, Paul M.""]",2017-06-22,1.0,COMBINATION PRODUCT,2016
28,['UNIV KING ABDULLAH SCI & TECH'],"[{'id': 'grid.45672.32', 'acronym': 'KAUST', 'name': 'King Abdullah University of Science and Technology', 'country_name': 'Saudi Arabia'}]",Application,,WO-2017103783-A1,"['LI, LAIN-JONG', 'MING, Jun']",2017-06-22,,"LITHIUM-SULFUR BATTERY, A DUAL BLOCKING LAYER, METHODS OF MAKING, AND METHODS OF USE THEREOF",2016
29,['CERENIS THERAPEUTICS HOLDING SA'],"[{'id': 'grid.476203.4', 'name': 'Cerenis Therapeutics (France)', 'country_name': 'France'}]",Application,,WO-2018029505-A1,"['HECKLAU PEYROTTES, Constance']",2018-02-15,,CER-001 THERAPY FOR TREATING FAMILIAL PRIMARY HYPOALPHALIPOPROTEINEMIA,2016
30,['FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH'],"[{'id': 'grid.415062.4', 'name': 'Fresenius Medical Care (Germany)', 'country_name': 'Germany'}]",Application,,WO-2017093553-A1,"['BÜCHEL, JANINE', 'POHLMEIER, ROBERT', 'STEPPAN, SONJA']",2017-06-08,,HEMOFILTRATION SOLUTIONS FOR THE TREATMENT OF STROKES,2016
31,"['Commissariat a l Energie Atomique et aux Energies Alternatives', 'COMMISSARIAT ENERGIE ATOMIQUE']","[{'id': 'grid.5583.b', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",Application,,FR-3045859-A1,"['CALVANESE STRINATI EMILIO', 'OUEIS JESSICA']",2017-06-23,,METHOD AND APPARATUS FOR FORMING A COMPUTER CLOUD STORING THE RESULT OF EXECUTION FROM A COMPUTER TASK,2015
32,['FRIEDRICH MIESCHER INST FOR BIOMEDICAL RES'],"[{'id': 'grid.482245.d', 'acronym': 'FMI', 'name': 'Friedrich Miescher Institute', 'country_name': 'Switzerland'}]",Application,,WO-2017093931-A1,"['Hartl, Dominik', 'SCHUEBELER, DIRK', 'ROSKA, BOTOND', 'KREBS, Arnaud', 'JUETTNER, Josephine']",2017-06-08,,"SYNP159, A PROMOTER FOR THE SPECIFIC EXPRESSION OF GENES IN ROD PHOTORECEPTORS",2016
33,['BIO-P S R L'],,Application,,WO-2017130106-A1,"['PAGNANELLI, FRANCESCA', 'TORO, LUIGI', 'DI CAPRIO, Fabrizio', 'ALTIMARI, Pietro']",2017-08-03,1.0,PROCESS FOR PRODUCING STARCH FROM MICROALGAE,2017
34,"['INSERM (INSTITUT NAT DE LA SANTÉ ET DE LA RECH MÉDICALE)', 'UNIVERSITÉ DE MONTPELLIER', 'CENTRE HOSPITALIER UNIV DE MONTPELLIER']","[{'id': 'grid.121334.6', 'acronym': 'UM', 'name': 'University of Montpellier', 'country_name': 'France'}, {'id': 'grid.157868.5', 'acronym': 'CHRU MTP', 'name': 'University Hospital of Montpellier', 'country_name': 'France'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}]",Application,,WO-2017144471-A1,"['CARTRON, GUILLAUME', 'APPARAILLY, FLORENCE', 'DUROUX-RICHARD, Isabelle', 'GAGEZ, Anne-Laure']",2017-08-31,1.0,METHOD FOR PREDICTING WHETHER A SUBJECT WILL ACHIEVE A LYMPHODEPLETION WITH AN ANTIBODY SPECIFIC FOR CD20,2017
35,"['Beth Israel Deaconess Medical Center Inc', 'LU KUN PING', 'TUN-KYI ADRIAN', 'FINN GREG', 'BETH ISRAEL DEACONESS MEDICAL CT INC']","[{'id': 'grid.239395.7', 'acronym': 'BIDMC', 'name': 'Beth Israel Deaconess Medical Center', 'country_name': 'United States'}]",Grant,2016.0,US-9439884-B2,"['Kun Ping Lu', 'Adrian Tun-Kyi', 'Greg Finn']",2016-09-13,,Methods for the treatment of immune disorders,2012
36,['UNIVERSITÀ DEGLI STUDI DI ROMA LA SAPIENZA'],"[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Application,,WO-2016102586-A1,"['CERVONE, FELICE', 'DE LORENZO, GIULIA', 'FERRARI, SIMONE', 'BENEDETTI, Manuel', 'PONTIGGIA, DANIELA']",2016-06-30,,FUSION PROTEIN AND TRANSGENIC PLANT EXPRESSING SAID PROTEIN,2015
37,"['Mirati Therapeutics Inc', 'MIRATI THERAPEUTICS INC']","[{'id': 'grid.421297.b', 'name': 'Mirati Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9809541-B2,"['Matthew Arnold Marx', 'Arkadii Vaisburg', 'James Gail Christensen', 'Robert Anthony Galemmo, Jr.']",2017-11-07,1.0,LSD1 inhibitors,2016
38,"['Mirati Therapeutics Inc', 'MIRATI THERAPEUTICS INC']","[{'id': 'grid.421297.b', 'name': 'Mirati Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10059668-B2,"['Arkadii Vaisburg', 'Matthew Arnold Marx']",2018-08-28,,LSD1 inhibitors,2016
39,['THE UNIV OF BIRMINGHAM'],"[{'id': 'grid.6572.6', 'name': 'University of Birmingham', 'country_name': 'United Kingdom'}]",Application,,WO-2017199042-A1,"['KYSELA, Boris', 'AHMED, ZUBAIR', 'TUXWORTH, Richard']",2017-11-23,1.0,TREATMENT OF NEUROLOGICAL PATHOLOGIES WITH INHIBITORS OF DNA DAMAGE REPAIR,2017
40,"['Resverlogix Corp', 'HANSEN HENRIK C', 'WAGNER GREGORY S', 'ATTWELL SARAH C', 'MCLURE KEVIN G', 'KULIKOWSKI EWELINA B', 'RESVERLOGIX CORP']","[{'id': 'grid.476666.3', 'name': 'Resverlogix (Canada)', 'country_name': 'Canada'}]",Grant,2017.0,US-9757368-B2,"['Henrik C. Hansen', 'Gregory S. Wagner', 'Sarah C. Attwell', 'Kevin G. McLure', 'Ewelina B. Kulikowski']",2017-09-12,3.0,Anti-inflammatory agents,2010
41,"['Coulombic Inc', 'COULOMBIC INC']",,Grant,2017.0,US-9831503-B2,['David Andrew Sopchak'],2017-11-28,1.0,Electrodes and electrochemical devices and methods of making electrodes and electrochemical devices,2015
42,"['AlderBio Holdings LLC', 'ALDERBIO HOLDINGS LLC']",,Grant,2018.0,US-10066009-B2,"['Brian Robert Kovacevich', 'Leon F. Garcia-Martinez', 'Katie Olson ANDERSON', 'Benjamin H. Dutzar', 'Jens J. Billgren', 'John A. Latham', 'Danielle M. Mitchell', 'Patricia Dianne McNeill', 'Nicole M. Janson', 'Maria-Cristina Loomis']",2018-09-04,,Anti-CGRP compositions and use thereof,2016
43,"['ASSIST PUBLIQUE HOPITAUX DE PARIS AP HP', 'INST NAT SANTE RECH MED', 'UNIV PARIS DESCARTES']","[{'id': 'grid.10992.33', 'name': 'Paris Descartes University', 'country_name': 'France'}, {'id': 'grid.50550.35', 'acronym': 'AP-HP', 'name': 'Assistance Publique -Hopitaux De Paris', 'country_name': 'France'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}]",Application,,WO-2018046870-A1,"['MENASCHE, PHILIPPE', 'RENAULT, Nisa', 'BELLAMY, Valérie', 'PIDIAL, Laetitia']",2018-03-15,,BIOMATERIAL FOR THERAPEUTIC USE,2017
44,"['Samsung Life Public Welfare Foundation', 'SAMSUNG LIFE PUBLIC WELFARE FOUNDATION']","[{'id': 'grid.490620.9', 'name': 'Samsung Life Public Welfare Foundation', 'country_name': 'South Korea'}]",Grant,2018.0,US-9919011-B2,"['Yun Sil Chang', 'Won Soon Park', 'Dong Kyung SUNG', 'So Yoon AHN']",2018-03-20,,Method for treating an inflammatory brain disease comprising administering a stem cell-derived exosome,2015
45,"['Neuroenergy Ventures Inc', 'NEUROENERGY VENTURES INC']",,Grant,2018.0,US-9925164-B1,['Sami Hashim'],2018-03-27,,Glyceryl 3-hydroxybutyrates for traumatic brain injury,2017
