,name,surname,frequency,search_url
0,,,59,
1,Kari,Stefansson,18,https://www.google.com/search?q=Kari+Stefansson
2,Tõnu,Esko,15,https://www.google.com/search?q=T%C3%B5nu+Esko
3,Kent D.,Taylor,15,https://www.google.com/search?q=Kent%20D.+Taylor
4,Jaakko,Tuomilehto,14,https://www.google.com/search?q=Jaakko+Tuomilehto
5,Daniel I.,Chasman,14,https://www.google.com/search?q=Daniel%20I.+Chasman
6,Stefan,Gustafsson,13,https://www.google.com/search?q=Stefan+Gustafsson
7,Aarno,Palotie,12,https://www.google.com/search?q=Aarno+Palotie
8,Wei,Zhao,12,https://www.google.com/search?q=Wei+Zhao
9,Andres,Metspalu,12,https://www.google.com/search?q=Andres+Metspalu
10,Terho,Lehtimäki,12,https://www.google.com/search?q=Terho+Lehtim%C3%A4ki
11,Tamara B.,Harris,12,https://www.google.com/search?q=Tamara%20B.+Harris
12,Reinhold,Schmidt,12,https://www.google.com/search?q=Reinhold+Schmidt
13,Olle,Melander,12,https://www.google.com/search?q=Olle+Melander
14,Michiaki,Kubo,12,https://www.google.com/search?q=Michiaki+Kubo
15,Paul M.,Ridker,11,https://www.google.com/search?q=Paul%20M.+Ridker
16,,23andMe Research Team,11,https://www.google.com/search?q=+23andMe%20Research%20Team
17,James G.,Wilson,11,https://www.google.com/search?q=James%20G.+Wilson
18,James P.,Cook,11,https://www.google.com/search?q=James%20P.+Cook
19,Wolfgang,Lieb,11,https://www.google.com/search?q=Wolfgang+Lieb
20,Erik,Ingelsson,10,https://www.google.com/search?q=Erik+Ingelsson
21,Caroline,Hayward,10,https://www.google.com/search?q=Caroline+Hayward
22,Brooke,LaFlamme,10,https://www.google.com/search?q=Brooke+LaFlamme
23,M. Arfan,Ikram,10,https://www.google.com/search?q=M.%20Arfan+Ikram
24,Jouke-Jan,Hottenga,10,https://www.google.com/search?q=Jouke-Jan+Hottenga
25,Vilmundur,Gudnason,10,https://www.google.com/search?q=Vilmundur+Gudnason
26,John,Danesh,10,https://www.google.com/search?q=John+Danesh
27,Jie,Huang,10,https://www.google.com/search?q=Jie+Huang
28,Daniela,Toniolo,9,https://www.google.com/search?q=Daniela+Toniolo
29,Joanna M. M.,Howson,9,https://www.google.com/search?q=Joanna%20M.%20M.+Howson
30,Cornelia M.,van Duijn,9,https://www.google.com/search?q=Cornelia%20M.+van%20Duijn
31,Hakon,Hakonarson,9,https://www.google.com/search?q=Hakon+Hakonarson
32,Fernando,Rivadeneira,9,https://www.google.com/search?q=Fernando+Rivadeneira
33,Gudmar,Thorleifsson,9,https://www.google.com/search?q=Gudmar+Thorleifsson
34,Veikko,Salomaa,9,https://www.google.com/search?q=Veikko+Salomaa
35,Andrew P.,Morris,9,https://www.google.com/search?q=Andrew%20P.+Morris
