,affiliations,corresponding,current_organization_id,first_name,is_bogus,last_name,orcid,researcher_id,pub_id
177,"[{'id': 'grid.418236.a', 'name': 'GlaxoSmithKline (United Kingdom)', 'city': 'London', 'city_id': 2643743, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.418236.a,Jorge,,Esparza-Gordillo,,ur.0614534027.57,pub.1121184726
180,"[{'id': 'grid.418236.a', 'name': 'GlaxoSmithKline (United Kingdom)', 'city': 'London', 'city_id': 2643743, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.418236.a,Christopher G. C.,,Larminie,,ur.0652026675.36,pub.1121184726
184,"[{'id': 'grid.1649.a', 'name': 'Sahlgrenska University Hospital', 'city': 'Gothenburg', 'city_id': 2711537, 'country': 'Sweden', 'country_code': 'SE', 'state': None, 'state_code': None}]",,grid.8761.8,Tobias,,Hofving,['0000-0002-9855-4268'],ur.01115210247.22,pub.1121184993
190,"[{'id': 'grid.473273.6', 'name': 'Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias', 'city': 'Coyoacán', 'city_id': 3530139, 'country': 'Mexico', 'country_code': 'MX', 'state': None, 'state_code': None}]",,grid.473273.6,Julio,,Huerta-Espino,['0000-0001-8334-9862'],ur.01025512607.08,pub.1121183379
207,"[{'id': 'grid.412887.0', 'name': 'University of Colima', 'city': 'Colima', 'city_id': 4013516, 'country': 'Mexico', 'country_code': 'MX', 'state': None, 'state_code': None}]",,grid.412887.0,Osval A.,,Montesinos-López,['0000-0002-3973-6547'],ur.01064375741.28,pub.1121183379
272,"[{'id': 'grid.37172.30', 'name': 'Korea Advanced Institute of Science and Technology', 'city': 'Daejeon', 'city_id': 1835235, 'country': 'South Korea', 'country_code': 'KR', 'state': None, 'state_code': None}]",True,grid.37172.30,Inkyung,,Jung,['0000-0002-5885-2754'],ur.012565164667.58,pub.1120926154
291,"[{'id': 'grid.270240.3', 'name': 'Fred Hutchinson Cancer Research Center', 'city': 'Seattle', 'city_id': 5809844, 'country': 'United States', 'country_code': 'US', 'state': 'Washington', 'state_code': 'US-WA'}, {'id': 'grid.34477.33', 'name': 'University of Washington', 'city': 'Seattle', 'city_id': 5809844, 'country': 'United States', 'country_code': 'US', 'state': 'Washington', 'state_code': 'US-WA'}]",,grid.34477.33,Katherine S.,,Xue,['0000-0002-4094-3615'],ur.01361656437.09,pub.1112362820
292,"[{'id': 'grid.270240.3', 'name': 'Fred Hutchinson Cancer Research Center', 'city': 'Seattle', 'city_id': 5809844, 'country': 'United States', 'country_code': 'US', 'state': 'Washington', 'state_code': 'US-WA'}, {'id': 'grid.34477.33', 'name': 'University of Washington', 'city': 'Seattle', 'city_id': 5809844, 'country': 'United States', 'country_code': 'US', 'state': 'Washington', 'state_code': 'US-WA'}, {'id': 'grid.413575.1', 'name': 'Howard Hughes Medical Institute', 'city': 'Chevy Chase', 'city_id': 4351335, 'country': 'United States', 'country_code': 'US', 'state': 'Maryland', 'state_code': 'US-MD'}]",True,grid.270240.3,Jesse D.,,Bloom,['0000-0003-1267-3408'],ur.01032756546.65,pub.1112362820
314,"[{'id': 'grid.462299.2', 'name': 'Agroecology', 'city': 'Dijon', 'city_id': 3021372, 'country': 'France', 'country_code': 'FR', 'state': None, 'state_code': None}]",,grid.462299.2,Ayité,,Kougbeadjo,,ur.01237407306.31,pub.1120764485
315,"[{'id': 'grid.462299.2', 'name': 'Agroecology', 'city': 'Dijon', 'city_id': 3021372, 'country': 'France', 'country_code': 'FR', 'state': None, 'state_code': None}]",,grid.462299.2,Morgane,,Térézol,,ur.01271544034.41,pub.1120764485
