,id,last_grant_year,total_grants
0,ur.01065203525.67,2023.0,5.0
1,ur.01145654113.82,2021.0,9.0
2,ur.0767751267.74,2021.0,9.0
3,ur.0721636067.97,2022.0,5.0
4,ur.0650743215.20,,
5,ur.0736420010.83,2022.0,6.0
6,ur.0765006250.25,,
7,ur.01006410206.09,,
8,ur.01300757630.84,2018.0,13.0
9,ur.01337503212.77,2014.0,1.0
10,ur.0711664555.48,,
11,ur.0616003437.07,2013.0,4.0
12,ur.01052255145.04,2019.0,7.0
13,ur.01005203363.26,2019.0,10.0
14,ur.01221110417.53,2022.0,18.0
15,ur.01104262534.26,2023.0,21.0
16,ur.01060302520.08,,
17,ur.015760333745.28,2021.0,1.0
18,ur.0722030127.19,,
19,ur.011106724015.15,,
20,ur.015224655437.42,,
21,ur.012010266137.38,2021.0,27.0
22,ur.01133572106.62,,
23,ur.01121615754.11,2017.0,1.0
24,ur.01172204022.21,,
25,ur.016663274647.87,2021.0,1.0
26,ur.016016477163.34,,
27,ur.01250767057.00,2016.0,2.0
28,ur.0763410441.30,2014.0,4.0
29,ur.0743534613.73,,
30,ur.01302157177.43,2017.0,1.0
31,ur.01277776417.51,,
32,ur.01277325446.86,,
33,ur.0723132542.33,2018.0,3.0
34,ur.01162730256.63,2018.0,32.0
35,ur.01022655174.11,2021.0,14.0
36,ur.0610017257.08,,
37,ur.01366065163.97,,
38,ur.01235071123.27,2023.0,3.0
39,ur.01061240155.82,,
40,ur.0664172257.33,2015.0,6.0
41,ur.015250157337.68,,
42,ur.014662071411.49,2022.0,1.0
43,ur.010767115622.22,2019.0,9.0
44,ur.01255257303.12,2017.0,2.0
45,ur.012171701167.35,2019.0,1.0
46,ur.01342616137.05,2021.0,11.0
47,ur.0611137272.32,2021.0,4.0
48,ur.01003275415.57,2020.0,14.0
49,ur.01332060026.49,2015.0,4.0
50,ur.0745200615.51,2022.0,23.0
51,ur.0726475763.17,,
52,ur.0740162447.45,2021.0,1.0
53,ur.01270311401.64,2018.0,2.0
54,ur.0746623111.51,,
55,ur.0723426172.10,2018.0,8.0
56,ur.01145142653.47,2022.0,7.0
57,ur.014211634457.16,2023.0,2.0
58,ur.01034633157.32,2017.0,14.0
59,ur.012766272254.47,2020.0,22.0
60,ur.016704245502.43,2024.0,41.0
61,ur.01171532202.66,,
62,ur.0740324166.54,2020.0,2.0
63,ur.01356633042.87,2022.0,10.0
64,ur.014424006237.85,2021.0,8.0
65,ur.015767231737.16,2017.0,14.0
66,ur.01345347020.14,,
67,ur.0764542450.95,2023.0,30.0
68,ur.01033253466.59,2020.0,1.0
69,ur.010240402014.24,2018.0,1.0
70,ur.012230156744.42,2020.0,20.0
71,ur.01023673114.90,,
72,ur.01056631602.80,,
73,ur.01352171051.53,2014.0,6.0
74,ur.01142074247.89,2012.0,5.0
75,ur.01277733461.07,2022.0,10.0
76,ur.0735150730.63,,
77,ur.0641525362.39,2023.0,12.0
78,ur.0765447455.52,2016.0,3.0
79,ur.01012310162.58,2021.0,30.0
80,ur.01043635414.51,,
81,ur.0752407603.69,2020.0,13.0
82,ur.01215161056.22,2023.0,20.0
83,ur.012607214677.06,2023.0,20.0
84,ur.013117404317.63,2021.0,10.0
85,ur.013765676317.14,2023.0,17.0
86,ur.01033261006.89,,
87,ur.01022740164.96,2014.0,2.0
88,ur.0715746475.38,2018.0,16.0
89,ur.0732505060.44,2021.0,24.0
90,ur.01260477271.91,2017.0,3.0
91,ur.01176514264.61,,
92,ur.012335771642.02,,
93,ur.01335473265.62,2011.0,3.0
94,ur.0654201533.32,2021.0,8.0
95,ur.0726250204.50,2018.0,3.0
96,ur.01117072553.44,2010.0,4.0
97,ur.013510743257.71,2023.0,18.0
98,ur.01241135033.40,2022.0,8.0
99,ur.01326563003.30,,
100,ur.016605250747.79,2020.0,8.0
101,ur.01323354264.17,,
102,ur.011673465237.05,,
103,ur.01030556502.61,2023.0,14.0
104,ur.01121255525.11,,
105,ur.0616256460.84,2023.0,52.0
106,ur.016466407337.40,,1.0
107,ur.01266747622.46,,
108,ur.0737513674.23,2023.0,4.0
109,ur.01334521133.00,2022.0,17.0
110,ur.010551121657.46,,
111,ur.012470551052.55,2015.0,9.0
112,ur.011032430067.08,,
113,ur.01155553465.69,,
114,ur.0613664645.53,,
115,ur.0722177771.46,,
116,ur.0707361361.60,2020.0,3.0
117,ur.01004625741.05,2015.0,15.0
118,ur.01004460445.52,,
119,ur.0760704165.88,2019.0,3.0
120,ur.01070335717.00,2021.0,42.0
121,ur.01046705311.08,,
122,ur.01047400610.27,2023.0,2.0
123,ur.01213357474.95,2022.0,3.0
124,ur.0755010463.53,2023.0,6.0
125,ur.01116161622.29,2010.0,1.0
126,ur.0575702706.33,,
127,ur.01325572134.46,,
128,ur.01305515027.20,2023.0,7.0
129,ur.01132715706.47,2019.0,2.0
130,ur.01312607461.25,,
131,ur.0654121465.06,,
132,ur.0716373565.06,2023.0,4.0
133,ur.01021156177.43,2020.0,2.0
134,ur.01217411134.93,2022.0,1.0
135,ur.01154736424.87,,
136,ur.01071376774.64,2017.0,1.0
137,ur.0670056120.12,,
138,ur.0747162463.84,,
139,ur.01201444625.22,,
140,ur.01232442712.25,2019.0,4.0
141,ur.01114651121.45,,
142,ur.01305467031.32,,
143,ur.01063107667.97,,
144,ur.01174076626.46,2014.0,1.0
145,ur.0610570026.87,,1.0
146,ur.01307114140.50,,
147,ur.0607771645.44,,
148,ur.01347664403.23,2018.0,6.0
149,ur.01250033404.09,2019.0,4.0
150,ur.01300106701.65,2022.0,6.0
151,ur.01316313531.32,2022.0,13.0
152,ur.0772742531.89,,
153,ur.01016372227.74,2018.0,4.0
154,ur.014612650514.15,2022.0,29.0
155,ur.014776121077.49,,
156,ur.015012714437.80,2022.0,26.0
157,ur.016323146432.35,2016.0,10.0
158,ur.0612256763.55,,
159,ur.01070452435.44,2022.0,4.0
160,ur.01341032053.15,,
161,ur.01317433110.75,2018.0,1.0
162,ur.015725517277.33,2018.0,4.0
163,ur.01144253565.44,,
164,ur.011275311037.68,,
165,ur.012266613364.42,2022.0,9.0
166,ur.0720114066.32,2022.0,9.0
