,count,funding,id
0,39,73876004.0,ur.016704245502.43
1,38,122434950.0,ur.011026120037.74
2,34,106897669.0,ur.013723776517.34
3,29,13874871.0,ur.01313145634.66
4,27,28358691.0,ur.01033044533.08
5,21,127043359.0,ur.01104262534.26
6,20,164570812.0,ur.011517303117.07
7,18,22195118.0,ur.012745117217.03
8,12,29634883.0,ur.01016550036.38
9,12,68464277.0,ur.01146242611.08
10,12,56939889.0,ur.0641525362.39
11,11,9542060.0,ur.01342616137.05
12,11,4238795.0,ur.015301404517.88
13,9,15612829.0,ur.01220453202.22
14,9,22395685.0,ur.012266613364.42
15,9,44634518.0,ur.012470551052.55
16,9,20669884.0,ur.01330361724.23
17,9,5197451.0,ur.0720114066.32
18,9,162015853.0,ur.0767751267.74
19,8,3463194.0,ur.01067060465.91
20,8,1325160.0,ur.01264737414.70
21,8,17760368.0,ur.0723426172.10
22,7,11266061.0,ur.011367771037.28
23,7,19607294.0,ur.01215535711.57
24,7,3314508.0,ur.0610667722.81
25,7,14491719.0,ur.0762127452.15
26,6,12986192.0,ur.01014232611.51
27,6,2445530.0,ur.01052255145.04
28,6,14915562.0,ur.01115613606.51
29,6,54629298.0,ur.01161250642.42
30,6,3583228.0,ur.011740743515.79
31,6,6833935.0,ur.012061250547.34
32,6,21782139.0,ur.012230156744.42
33,6,13218887.0,ur.012766272254.47
34,6,41613283.0,ur.014377465057.81
35,6,15563768.0,ur.015521617657.37
36,5,2393490.0,ur.010552231015.59
37,5,2219036.0,ur.01107704025.08
38,5,6088763.0,ur.01123026705.03
39,5,9836253.0,ur.012144435157.70
40,5,2247689.0,ur.01276076121.39
41,5,12898164.0,ur.01367711150.31
42,5,17070104.0,ur.0622035427.96
43,5,1566677.0,ur.0623730357.31
44,5,3164366.0,ur.0761525174.02
45,5,11822910.0,ur.07711435224.39
46,4,12527419.0,ur.01006653653.80
47,4,47138278.0,ur.01012040600.14
48,4,10474378.0,ur.01061331247.57
49,4,5757028.0,ur.011103735437.73
50,4,16302447.0,ur.01117072553.44
51,4,12871824.0,ur.01134314703.76
52,4,5048547.0,ur.01137731670.53
53,4,7281051.0,ur.01145774021.52
54,4,2504569.0,ur.01151433047.82
55,4,9721332.0,ur.012001702402.56
56,4,2211160.0,ur.01200677105.17
57,4,9721332.0,ur.012106467574.05
58,4,9721332.0,ur.01217060304.45
59,4,2228334.0,ur.01250033404.09
60,4,9721332.0,ur.01273275307.41
61,4,9721332.0,ur.01277020030.75
62,4,8273807.0,ur.01305515027.20
63,4,4168620.0,ur.013555563277.54
64,4,5694193.0,ur.013623676477.53
65,4,11209643.0,ur.01371335603.13
66,4,20817751.0,ur.014366020547.03
67,4,9887948.0,ur.015652454457.90
68,4,9390248.0,ur.016542237207.89
69,4,9390248.0,ur.016656743457.02
70,4,1892078.0,ur.0612364332.64
71,4,40050613.0,ur.0616003437.07
72,4,11446114.0,ur.0656556216.76
73,4,2143305.0,ur.0664204747.09
74,4,9721332.0,ur.0664544610.02
75,4,30806231.0,ur.0717130066.82
76,4,9721332.0,ur.0751007256.62
77,4,3058626.0,ur.0766740614.56
78,3,11579607.0,ur.01005477060.21
79,3,1768771.0,ur.01021377371.74
80,3,6066301.0,ur.01024027537.42
81,3,46310282.0,ur.010254226477.98
82,3,2648769.0,ur.01057410143.10
83,3,1214714.0,ur.01066670547.37
84,3,8617496.0,ur.010766225754.87
85,3,10292892.0,ur.01100532760.37
86,3,5643868.0,ur.011013226044.60
87,3,2050968.0,ur.01120140410.39
88,3,47107053.0,ur.01125671505.27
89,3,1141506.0,ur.01125717573.08
90,3,7134886.0,ur.01136256417.59
91,3,4744186.0,ur.011405001662.87
92,3,8302447.0,ur.01141622516.63
93,3,4744186.0,ur.011546274527.15
94,3,2831453.0,ur.011547627117.00
95,3,8655628.0,ur.01174226061.56
96,3,5993526.0,ur.01204470014.51
97,3,4330048.0,ur.01212142704.17
98,3,5374619.0,ur.012146276707.01
99,3,8633348.0,ur.01215047351.58
100,3,5698076.0,ur.01236452610.47
101,3,10079801.0,ur.01241135033.40
102,3,9623931.0,ur.012451221647.25
103,3,1768771.0,ur.01251204207.16
104,3,1780881.0,ur.01261602602.16
105,3,15567469.0,ur.013054741544.94
106,3,6390061.0,ur.01310534155.68
107,3,1479511.0,ur.01320630626.96
108,3,1512359.0,ur.013335113737.65
109,3,11051386.0,ur.01336113140.17
110,3,12314122.0,ur.013373253572.70
111,3,1222478.0,ur.01356200343.23
112,3,301916.0,ur.013723361541.54
113,3,9667280.0,ur.015724616117.08
114,3,1780881.0,ur.016000034410.45
115,3,46264283.0,ur.016062032414.10
116,3,7383910.0,ur.016541016777.27
117,3,9667280.0,ur.016605250747.79
118,3,853450.0,ur.016657547355.67
119,3,1043303.0,ur.0575374630.22
120,3,1768771.0,ur.0626433244.14
121,3,44673911.0,ur.0627601545.87
122,3,1043303.0,ur.0630705245.15
123,3,2189211.0,ur.0632574243.53
