id,journal_id,title
pub.1118102134,jour.1091324,Endocrine Reviews
pub.1112606542,jour.1024955,BMC Pulmonary Medicine
pub.1113355970,jour.1045337,Scientific Reports
pub.1112763297,jour.1032885,BMC Medicine
pub.1112606538,jour.1023786,BMC Bioinformatics
pub.1113639347,jour.1043282,Nature Communications
pub.1113858704,jour.1043282,Nature Communications
pub.1113472895,jour.1033252,Human Genomics
pub.1112765239,jour.1043282,Nature Communications
pub.1112021604,jour.1043282,Nature Communications
pub.1112548072,jour.1043709,Molecular Autism
pub.1111563907,jour.1043282,Nature Communications
pub.1113060435,jour.1045337,Scientific Reports
pub.1112856911,jour.1045337,Scientific Reports
pub.1111916133,jour.1045337,Scientific Reports
pub.1120303935,jour.1043282,Nature Communications
pub.1110372462,jour.1320608,Human Genome Variation
pub.1111257307,jour.1043282,Nature Communications
pub.1112087325,jour.1024632,BMC Cancer
pub.1111576885,jour.1023439,Genome Biology
pub.1116483453,jour.1023439,Genome Biology
pub.1111906600,jour.1045271,Translational Psychiatry
pub.1112056931,jour.1045271,Translational Psychiatry
pub.1113261596,jour.1043282,Nature Communications
pub.1111375460,jour.1043282,Nature Communications
pub.1112543880,jour.1043282,Nature Communications
pub.1113378297,jour.1045337,Scientific Reports
pub.1111760066,jour.1045337,Scientific Reports
pub.1112165466,jour.1043282,Nature Communications
pub.1114533979,jour.1024957,BMC Musculoskeletal Disorders
pub.1120763052,jour.1043282,Nature Communications
pub.1117616988,jour.1045337,Scientific Reports
pub.1120867475,jour.1043282,Nature Communications
pub.1112983204,jour.1101548,European Neuropsychopharmacology
pub.1111646529,jour.1045337,Scientific Reports
pub.1111257922,jour.1031029,Lipids in Health and Disease
pub.1113477375,jour.1043282,Nature Communications
pub.1111571595,jour.1045271,Translational Psychiatry
pub.1117727453,jour.1045337,Scientific Reports
pub.1113955909,jour.1045337,Scientific Reports
pub.1113858825,jour.1045337,Scientific Reports
pub.1113479565,jour.1045337,Scientific Reports
pub.1112766059,jour.1045271,Translational Psychiatry
pub.1112092933,jour.1045337,Scientific Reports
pub.1113004301,jour.1300829,Communications Biology
pub.1113639408,jour.1043282,Nature Communications
pub.1112876837,jour.1043282,Nature Communications
pub.1113181871,jour.1022375,Breast Cancer Research
pub.1112543879,jour.1043282,Nature Communications
pub.1112097285,jour.1042271,Clinical Epigenetics
pub.1114534022,jour.1022375,Breast Cancer Research
pub.1116848520,jour.1045271,Translational Psychiatry
pub.1117502474,jour.1052988,npj Breast Cancer
pub.1117484128,jour.1045337,Scientific Reports
pub.1113904965,jour.1024954,BMC Public Health
pub.1112765305,jour.1045271,Translational Psychiatry
pub.1111977080,jour.1045337,Scientific Reports
pub.1110955612,jour.1043282,Nature Communications
pub.1112949219,jour.1045271,Translational Psychiatry
pub.1117494851,jour.1045337,Scientific Reports
pub.1113091266,jour.1051604,Alzheimer's & Dementia Diagnosis Assessment & Disease Monitoring
pub.1111502076,jour.1300829,Communications Biology
pub.1113473961,jour.1043282,Nature Communications
pub.1113858706,jour.1043282,Nature Communications
pub.1111617675,jour.1032885,BMC Medicine
pub.1112022043,jour.1042271,Clinical Epigenetics
pub.1117702303,jour.1043282,Nature Communications
pub.1120792685,jour.1042271,Clinical Epigenetics
pub.1111265290,jour.1043282,Nature Communications
pub.1120873795,jour.1043282,Nature Communications
pub.1113007379,jour.1040124,Genome Medicine
pub.1111637580,jour.1045271,Translational Psychiatry
pub.1112582934,jour.1045337,Scientific Reports
pub.1113184544,jour.1117766,Critical Care
pub.1112389102,jour.1045337,Scientific Reports
pub.1111642408,jour.1045337,Scientific Reports
pub.1111258890,jour.1043282,Nature Communications
pub.1114324632,jour.1043282,Nature Communications
pub.1111370962,jour.1023786,BMC Bioinformatics
pub.1111776880,jour.1024943,BMC Geriatrics
pub.1117022682,jour.1024632,BMC Cancer
pub.1113913237,jour.1037294,Genes & Nutrition
pub.1111160715,jour.1024957,BMC Musculoskeletal Disorders
pub.1111160000,jour.1042271,Clinical Epigenetics
pub.1111407288,jour.1024947,BMC Medical Genetics
pub.1117871867,jour.1043282,Nature Communications
pub.1117823829,jour.1043282,Nature Communications
pub.1118037612,jour.1045337,Scientific Reports
pub.1116551768,jour.1043282,Nature Communications
pub.1115953506,jour.1023439,Genome Biology
pub.1113054750,jour.1051822,npj Schizophrenia
pub.1111616268,jour.1045337,Scientific Reports
pub.1112086147,jour.1045337,Scientific Reports
pub.1114128553,jour.1043282,Nature Communications
pub.1111161638,jour.1024957,BMC Musculoskeletal Disorders
pub.1111835099,jour.1028432,BMC Medical Informatics and Decision Making
pub.1111910915,jour.1043282,Nature Communications
pub.1113639407,jour.1043282,Nature Communications
pub.1117915899,jour.1051604,Alzheimer's & Dementia Diagnosis Assessment & Disease Monitoring
pub.1117296562,jour.1045337,Scientific Reports
pub.1111260073,jour.1024942,BMC Gastroenterology
pub.1113047397,jour.1024942,BMC Gastroenterology
pub.1112855943,jour.1045271,Translational Psychiatry
pub.1113580555,jour.1022375,Breast Cancer Research
pub.1111908257,jour.1045271,Translational Psychiatry
pub.1116593630,jour.1045271,Translational Psychiatry
pub.1111326269,jour.1043282,Nature Communications
pub.1113843638,jour.1042271,Clinical Epigenetics
pub.1112768506,jour.1042271,Clinical Epigenetics
pub.1117296546,jour.1045337,Scientific Reports
pub.1114499414,jour.1024957,BMC Musculoskeletal Disorders
pub.1113599997,jour.1045337,Scientific Reports
pub.1111542648,jour.1042271,Clinical Epigenetics
pub.1114232903,jour.1032885,BMC Medicine
pub.1117976879,jour.1023786,BMC Bioinformatics
pub.1119953894,jour.1045337,Scientific Reports
pub.1117475408,jour.1032884,BMC Biology
pub.1118092650,jour.1043282,Nature Communications
pub.1120637116,jour.1300829,Communications Biology
pub.1117620536,jour.1043282,Nature Communications
pub.1111593700,jour.1043282,Nature Communications
pub.1120602315,jour.1045271,Translational Psychiatry
pub.1111563410,jour.1043282,Nature Communications
pub.1112760907,jour.1034424,Hereditary Cancer in Clinical Practice
pub.1113378308,jour.1045337,Scientific Reports
pub.1114951608,jour.1043282,Nature Communications
pub.1111917241,jour.1045271,Translational Psychiatry
pub.1112097204,jour.1024957,BMC Musculoskeletal Disorders
pub.1111511738,jour.1043282,Nature Communications
pub.1112058103,jour.1045337,Scientific Reports
pub.1111605978,jour.1045337,Scientific Reports
pub.1111493927,jour.1043282,Nature Communications
pub.1112851747,jour.1045337,Scientific Reports
pub.1118016529,jour.1045337,Scientific Reports
pub.1113010185,jour.1043282,Nature Communications
pub.1111916184,jour.1045337,Scientific Reports
pub.1113901526,jour.1043282,Nature Communications
pub.1112902584,jour.1045271,Translational Psychiatry
pub.1114225804,jour.1045337,Scientific Reports
pub.1117679678,jour.1042271,Clinical Epigenetics
pub.1120763200,jour.1043282,Nature Communications
pub.1120873498,jour.1024947,BMC Medical Genetics
pub.1111664801,jour.1043282,Nature Communications
pub.1112379368,jour.1358156,International Journal of Cancer
pub.1120109376,jour.1103053,NeuroImage
pub.1113183200,jour.1089577,Nutrition and Cancer
pub.1111756985,jour.1358156,International Journal of Cancer
pub.1109827530,jour.1017825,Journal of Psychiatric Research
pub.1113525862,jour.1313717,Hypertension Research
pub.1117159123,jour.1017281,Behaviour Research and Therapy
pub.1117867689,jour.1313661,International Journal of Cardiology
pub.1112585978,jour.1088396,Journal of Endocrinological Investigation
pub.1116848577,jour.1023607,Nature Reviews Genetics
pub.1117471191,jour.1101564,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases"
pub.1117968119,jour.1017523,Experimental Cell Research
pub.1107825637,jour.1054214,Psychological Medicine
pub.1120193762,jour.1103715,Diabetes Care
pub.1117290116,jour.1034414,Pharmacogenetics and Genomics
pub.1114232713,jour.1297439,European Journal of Preventive Cardiology
pub.1113996387,jour.1021703,Prevention Science
pub.1117491358,jour.1000907,Addiction
pub.1112458187,jour.1012129,Biological Psychiatry
