first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Ernst Wolfgang,ur.013537400103.23,255,"[{'id': 'grid.5164.6', 'acronym': 'TUC', 'name': 'Clausthal University of Technology', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.440789.6', 'acronym': 'STU', 'name': 'Slovak University of Technology in Bratislava', 'country_name': 'Slovakia'}]",Kreutz,,Ernst Wolfgang Kreutz,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013537400103.23
Arnold,ur.016702203653.86,178,"[{'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.255966.b', 'acronym': 'FIT', 'name': 'Florida Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.4561.6', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",Gillner,,Arnold Gillner,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016702203653.86
Konrad,ur.011746223501.50,103,"[{'id': 'grid.417971.d', 'acronym': 'IITB', 'name': 'Indian Institute of Technology Bombay', 'country_name': 'India'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wissenbach,,Konrad Wissenbach,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011746223501.50
Alexander M,ur.013521014336.52,82,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Olowinsky,,Alexander M Olowinsky,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013521014336.52
Hans Dieter,ur.01057157176.00,81,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hoffmann,,Hans Dieter Hoffmann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01057157176.00
Willi J,ur.01360435505.35,76,"[{'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Neff,,Willi J Neff,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01360435505.35
Andreas,ur.013003224315.27,76,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.5164.6', 'acronym': 'TUC', 'name': 'Clausthal University of Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.13829.31', 'acronym': 'MPIE', 'name': 'Max Planck Institute for Iron Research', 'country_name': 'Germany'}]",Weisheit,,Andreas Weisheit,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013003224315.27
Klaus,ur.011474141075.90,76,"[{'id': 'grid.9613.d', 'acronym': 'FSU', 'name': 'Friedrich Schiller University Jena', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Bergmann,,Klaus Bergmann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011474141075.90
Andres,ur.016216077663.00,73,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Gasser,,Andres Gasser,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016216077663.00
Martin,ur.013351223127.32,72,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Traub,,Martin Traub,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013351223127.32
Bernd,ur.010661623155.74,53,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Jungbluth,,Bernd Jungbluth,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010661623155.74
Rolf,ur.0651740313.41,51,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wester,['0000-0002-7104-3257'],Rolf Wester,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0651740313.41
