Grant ID,Grant Number,Title,Funding Amount in USD,Start Date,Start Year,End Date,End Year,Research Organization - standardized,GRID ID,Country of Research organization,Funder,Funder Country,pubs,patents,clinical_trials
grant.8172033,30410203277,疫苗－整体方案,1208,2004-11-30,2004.0,2004-12-31,2004,Sichuan University,grid.13291.38,China,National Natural Science Foundation of China,China,0,0,0
grant.7715379,620792,Engineering Inhalable Vaccines,26956,2017-04-01,2017.0,2018-03-31,2018,University of Alberta,grid.17089.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.6962629,599115,Engineering Inhalable Vaccines,26403,2016-04-01,2016.0,2017-03-31,2017,University of Alberta,grid.17089.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.6723913,251564,HIV Vaccine research,442366,2003-01-01,2003.0,2007-12-31,2007,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6722306,334174,HIV Vaccine Development,236067,2005-01-01,2005.0,2009-12-31,2009,Monash University,grid.1002.3,Australia,National Health and Medical Research Council,Australia,1,0,0
grant.6716312,910292,Dengue virus vaccine.,130890,1991-01-01,1991.0,1993-12-31,1993,Royal Children's Hospital,grid.416107.5,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.5526688,578221,Engineering Inhalable Vaccines,27386,2015-04-01,2015.0,2016-03-31,2016,University of Alberta,grid.17089.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.3733803,IC18980360,Schistosomiasis Vaccine Network.,0,1998-11-01,1998.0,2000-10-31,2000,Pasteur Institute of Lille; University of Edinburgh; Kenya Medical Research Institute; Ghent University; University of York; Centre de Recherche Médicale et Sanitaire; Oswaldo Cruz Foundation; Institute of Tropical Medicine Antwerp,grid.8970.6; grid.4305.2; grid.33058.3d; grid.5342.0; grid.5685.e; grid.452260.7; grid.418068.3; grid.11505.30,France; United Kingdom; Kenya; Belgium; United Kingdom; Niger; Brazil; Belgium,European Commission,Belgium,0,0,0
grant.3274273,7621798,Pneumococcal Ribosomal Vaccines,46000,1977-08-01,1977.0,1980-01-31,1980,University of Iowa,grid.214572.7,United States,Directorate for Biological Sciences,United States,0,0,0
grant.2936015,255890,Rational vaccine design,7138,2003-04-01,2003.0,2004-03-31,2004,,,,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2863615,275254,Rational vaccine design,13447,2004-04-01,2004.0,2005-03-31,2005,,,,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2815666,280679,Aquaticulture vaccines,23051,2004-04-01,2004.0,2005-03-31,2005,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2807651,295878,Aquaticulture vaccines,24761,2005-04-01,2005.0,2006-03-31,2006,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2800991,468513,Vaccines for aquaculture,4363,2010-04-01,2010.0,2011-03-31,2011,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2710461,Z01BC010456,Cancer Vaccine Development,0,2002-01-01,2002.0,2002-12-31,2002,,,,National Cancer Institute,United States,0,0,0
grant.2657659,R44AI033256,CRYPTOSPORIDIUM RECOMBINANT VACCINES,0,1992-08-01,1992.0,1996-10-30,1996,ImmuCell (United States),grid.420912.c,United States,National Institute of Allergy and Infectious Diseases,United States,1,0,0
grant.2640369,R43AI040514,ANTIRETROVIAL DNA VACCINE,0,1996-09-30,1996.0,1997-08-14,1997,Cambridge Scientific (United States),grid.423337.2,United States,National Institute of Allergy and Infectious Diseases,United States,0,0,0
grant.2640228,R43AI036810,VACCINE FOR LEISHMANIASIS,0,1996-05-01,1996.0,1996-10-31,1996,Corixa Corporation,grid.284594.6,United States,National Institute of Allergy and Infectious Diseases,United States,8,1,0
grant.2426045,N01CB021155,CANCER VACCINE PRODUCTION,0,1992-08-30,1992.0,1993-12-07,1993,Sanofi (United States),grid.417555.7,United States,National Cancer Institute,United States,0,0,0
grant.2426044,N01CB021154,CANCER VACCINE PRODUCTION,0,1992-06-30,1992.0,1993-10-15,1993,,,,National Cancer Institute,United States,0,0,0
grant.2426039,N01CB021026,CANCER VACCINE PRODUCTION,0,1992-09-30,1992.0,1993-07-31,1993,,,,National Cancer Institute,United States,0,0,0
