inventor_names,times_cited,granted_year,year,filing_status,associated_grant_ids,assignees,assignee_names,publication_date,id,title
"['Daniel J. Smith', 'Martin A. Taubman']",5.0,2006.0,2004,Grant,"['grant.2489571', 'grant.2489689']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['FORSYTH INSTITUTE', 'Forsyth Dental Infirmary for Children', 'FORSYTH INST']",2006-06-06,US-7056517-B2,Glucosyltransferase immunogens
['MARIO PHILIPP'],1.0,,2003,Application,['grant.2452868'],"[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]","['Administrators of the Tulane Educational Fund', 'UNIV TULANE']",2004-04-08,US-20040067517-A1,Surface antigens and proteins useful in compositions for the diagnosis and prevention of Lyme disease
"['James Tam', 'Qitao Yu', 'Yi-An Lu', 'Jin-Long Yang']",2.0,,2004,Application,['grant.2454716'],"[{'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}]","['Vanderbilt University', 'UNIV VANDERBILT']",2005-05-26,US-20050113292-A1,"Compositions of protein mimetics and methods of using same against HIV-1, SARS-coV and the like"
"['Clifford J. Beall', 'Kelly R. Clark', 'Philip R. Johnson, Jr.']",,2011.0,2009,Grant,['grant.5246582'],"[{'id': 'grid.240344.5', 'name': ""Nationwide Children's Hospital"", 'country_name': 'United States'}]","[""Nationwide Children's Hospital Inc"", 'NATIONWIDE CHILDREN S HOSPITAL INC']",2011-05-17,US-7943379-B2,Production of rAAV in vero cells using particular adenovirus helpers
"['Jon O. Rayner', 'Jonathan F. Smith', 'Bolyn Hubby', 'Elizabeth A. Reap']",,,2014,Application,"['grant.2687621', 'grant.2687606']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2014-07-24,US-20140205629-A1,"TC-83-DERIVED ALPHAVIRUS VECTORS, PARTICLES AND METHODS"
"['Jon O. Rayner', 'Jonathan F. Smith', 'Bolyn Hubby', 'Elizabeth A. Reap']",,2015.0,2014,Grant,"['grant.2687621', 'grant.2687606']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2015-07-14,US-9079943-B2,"TC-83-derived alphavirus vectors, particles and methods"
"['Benjamin J. Luft', 'John J. Dunn', 'Shohei Koide', 'Catherine L. Lawson']",,,2013,Application,"['grant.2453176', 'grant.2515650']","[{'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}]","['BROOKHAVEN SCIENCES ASSOCIATES LLC', 'Research Foundation of State University of New York', 'Brookhaven Science Associates LLC', 'University of Rochester', 'BROOKHAVEN SCIENCES ASS LLC', 'UNIV NEW YORK STATE RES FOUND', 'UNIV ROCHESTER']",2014-01-30,US-20140030285-A1,Altered OSPA of Borrelia Burgdorferi
"['Benjamin J. Luft', 'John J. Dunn', 'Shohei Koide', 'Catherine L. Lawson']",6.0,,2008,Application,['grant.2453176'],"[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}]","['Research Foundation of State University of New York', 'Brookhaven Science Associates LLC', 'University of Rochester', 'BROOKHAVEN SCIENCES ASS LLC', 'RES FOUNDATION OF THE STATE UN', 'UNIV ROCHESTER']",2009-12-31,US-20090326200-A1,Altered ospa of borrelia burgdorferi
"['Clifford J. Beall', 'Kelly R. Clark', 'Philip R. Johnson, Jr.']",4.0,,2011,Application,['grant.5246582'],"[{'id': 'grid.240344.5', 'name': ""Nationwide Children's Hospital"", 'country_name': 'United States'}]","[""Nationwide Children's Hospital Inc"", 'NATIONWIDE CHILDREN S HOSPITAL INC']",2011-08-18,US-20110201088-A1,Production of rAAV in Vero Cells Using Particular Adenovirus Helpers
"['Raymond Dattwyler', 'Maria Gomes-Solecki', 'Benjamin Luft', 'John Dunn']",2.0,,2005,Application,['grant.2453176'],"[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}]","['Research Foundation of State University of New York', 'DATTWYLER RAYMOND J', 'GOMES-SOLECKI MARIA J C', 'LUFT BENJAMIN J', 'DUNN JOHN J']",2005-12-08,US-20050271682-A1,Recombinant constructs of Borrelia burgdorferi
