,total_grants,id,last_grant_year
0,0,ur.016605505244.07,
1,0,ur.01356101225.49,
2,0,ur.010001043302.06,
3,0,ur.01046422055.08,
4,0,ur.01025022663.19,
5,0,ur.01146643251.63,
6,0,ur.01272012610.98,
7,0,ur.01365006302.05,
8,3,ur.01354374010.44,2018.0
9,5,ur.01034121076.87,2017.0
10,0,ur.01244315352.55,
11,29,ur.01117721120.30,2020.0
12,7,ur.0715214034.05,2018.0
13,0,ur.01165442252.60,
14,0,ur.0605556261.59,
15,0,ur.0750363307.15,
16,28,ur.012631765612.56,2022.0
17,1,ur.0743320722.44,2013.0
18,0,ur.01047662664.02,
19,1,ur.0722663766.79,2019.0
20,16,ur.01042141060.50,2023.0
21,0,ur.01303606614.33,
22,0,ur.01077652051.47,
23,4,ur.016317135745.67,2017.0
24,0,ur.013400105157.02,
25,3,ur.0624332664.74,2021.0
26,2,ur.0610023545.07,2021.0
27,17,ur.01072523061.22,2020.0
28,1,ur.01223240773.33,2008.0
29,2,ur.01133243663.61,2023.0
30,17,ur.01106432311.84,2023.0
31,1,ur.011362467573.59,2020.0
32,16,ur.012264440652.05,2022.0
33,1,ur.016023162734.90,2020.0
34,0,ur.0112255365.50,
35,6,ur.01120140410.39,2022.0
36,4,ur.0756060406.94,2024.0
37,0,ur.01001324722.89,
38,1,ur.01162661543.44,2019.0
39,7,ur.014377465057.81,2023.0
40,3,ur.0666011146.86,2020.0
41,11,ur.0770340363.50,2023.0
42,18,ur.012745117217.03,2016.0
43,32,ur.011306525067.25,2023.0
44,2,ur.016350427407.47,2010.0
45,18,ur.014366020547.03,2019.0
46,1,ur.01153432015.08,2019.0
47,5,ur.01220643160.06,2015.0
48,3,ur.01051674732.59,2020.0
49,0,ur.0744020556.20,
50,0,ur.0763100407.41,
51,20,ur.013236063322.64,2019.0
52,5,ur.013142315002.26,2020.0
53,19,ur.01006524472.69,2024.0
54,5,ur.0761771561.72,2020.0
55,0,ur.0775651027.78,
56,10,ur.01325407235.18,2019.0
57,6,ur.01104357207.40,2019.0
58,15,ur.01053125172.25,2018.0
59,1,ur.01276752315.18,2023.0
60,7,ur.010663343457.34,2020.0
61,7,ur.01175557647.16,2024.0
62,9,ur.0730545027.13,2015.0
63,9,ur.01056637062.63,2022.0
64,2,ur.0576775630.15,2018.0
65,0,ur.014551440505.24,
66,32,ur.0651111653.12,2024.0
67,27,ur.01134314703.76,2023.0
68,11,ur.0671773024.37,2018.0
69,39,ur.010700366647.17,2022.0
70,5,ur.015576406233.51,2021.0
71,1,ur.012151130377.17,2015.0
72,12,ur.015301404517.88,2022.0
73,21,ur.010416017507.14,2023.0
74,10,ur.01310516710.30,2023.0
75,0,ur.01036127203.64,
76,14,ur.0642437710.09,2023.0
77,11,ur.011267342137.34,2021.0
78,0,ur.01276147702.63,
79,4,ur.0657532321.26,2023.0
80,0,ur.0644335107.68,
81,0,ur.01333446703.24,
82,0,ur.0742714555.32,
83,5,ur.0703577540.65,2024.0
84,23,ur.01026114310.09,2023.0
85,0,ur.0700374216.54,
86,9,ur.01220453202.22,2021.0
87,0,ur.01342223366.01,
88,4,ur.0743051442.75,2023.0
89,0,ur.0773127601.34,
90,0,ur.01247426430.47,
91,19,ur.010700526417.77,2022.0
92,41,ur.011026120037.74,2023.0
93,15,ur.015521617657.37,2019.0
94,20,ur.011517303117.07,2022.0
95,2,ur.01015727075.97,2021.0
96,3,ur.01347562145.63,2022.0
97,18,ur.01267360065.55,2023.0
98,3,ur.01240456501.49,2022.0
99,13,ur.0716350025.21,2022.0
100,0,ur.01326563003.30,
101,0,ur.011106724015.15,
102,37,ur.01012310162.58,2022.0
103,0,ur.01133572106.62,
104,1,ur.012171701167.35,2019.0
105,0,ur.0650743215.20,
106,5,ur.0721636067.97,2022.0
107,0,ur.0765006250.25,
108,0,ur.07773763167.28,
109,0,ur.0735150730.63,
110,14,ur.01034633157.32,2017.0
111,10,ur.01005203363.26,2024.0
112,0,ur.01277325446.86,
113,0,ur.01171532202.66,
114,0,ur.0610017257.08,
115,20,ur.013510743257.71,2024.0
116,0,ur.01327112252.02,
117,1,ur.010240402014.24,2018.0
118,10,ur.01356633042.87,2022.0
119,13,ur.01300757630.84,2018.0
120,5,ur.0611137272.32,2021.0
121,5,ur.01332060026.49,2022.0
122,0,ur.0743534613.73,
123,4,ur.0727145700.91,2015.0
124,0,ur.01043635414.51,
125,0,ur.01345347020.14,
126,0,ur.01176514264.61,
127,16,ur.013117404317.63,2022.0
128,11,ur.012230156744.42,2019.0
129,1,ur.012335771642.02,2015.0
130,2,ur.01371227760.44,2017.0
131,19,ur.015003472057.84,2023.0
132,2,ur.01255257303.12,2017.0
133,2,ur.01022740164.96,2014.0
134,4,ur.0616003437.07,2020.0
135,9,ur.010767115622.22,2019.0
136,14,ur.011405001662.87,2023.0
137,1,ur.01121615754.11,2017.0
138,0,ur.01033261006.89,
139,25,ur.01215161056.22,2023.0
140,23,ur.012766272254.47,2022.0
141,3,ur.01335473265.62,2011.0
142,22,ur.01104262534.26,2023.0
143,1,ur.01006410206.09,2023.0
144,31,ur.016704245502.43,2024.0
145,12,ur.01052255145.04,2020.0
146,2,ur.01270311401.64,2018.0
147,3,ur.01235071123.27,2023.0
148,0,ur.01061240155.82,
149,24,ur.0732505060.44,2022.0
150,6,ur.01352171051.53,2018.0
151,14,ur.01277733461.07,2022.0
152,0,ur.01311563255.02,
153,5,ur.01260477271.91,2017.0
154,2,ur.015760333745.28,2023.0
155,1,ur.016663274647.87,2021.0
156,11,ur.010541512137.94,2020.0
157,0,ur.015224655437.42,
158,28,ur.012010266137.38,2022.0
159,8,ur.016605250747.79,2021.0
160,15,ur.0752407603.69,2020.0
161,6,ur.0736420010.83,2022.0
