issn,year,publisher,id,journal.id,journal.title
"['0169-2607', '1872-7565']",2020,Elsevier,pub.1122297560,jour.1013238,Computer Methods and Programs in Biomedicine
"['0753-3322', '1950-6007']",2020,Elsevier,pub.1122514358,jour.1371653,Biomedicine & Pharmacotherapy
"['0003-6870', '1872-9126']",2020,Elsevier,pub.1120500934,jour.1014244,Applied Ergonomics
"['0169-2607', '1872-7565']",2020,Elsevier,pub.1121427232,jour.1013238,Computer Methods and Programs in Biomedicine
"['0379-0738', '1872-6283']",2020,Elsevier,pub.1122308206,jour.1015489,Forensic Science International
"['1054-8807', '1879-1336']",2020,Elsevier,pub.1121652132,jour.1102747,Cardiovascular Pathology
"['2411-1457', '2415-346X', '24111457', '2415346X']",2019,Ukrinformnauka,pub.1117378584,jour.1150567,Shidnoevropejskij zurnal vnutrisnoi ta simejnoi medicini
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1121231338,jour.1009570,Circulation
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1121231339,jour.1009570,Circulation
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1121231336,jour.1009570,Circulation
"['1759-4774', '1759-4782']",2019,Springer Nature,pub.1123048473,jour.1034153,Nature Reviews Clinical Oncology
"['0032-5449', '1732-2693']",2019,Index Copernicus,pub.1123083346,jour.1019823,Postępy Higieny i Medycyny Doświadczalnej
['1946-6315'],2019,Taylor & Francis,pub.1123057993,jour.1041611,Statistics in Biopharmaceutical Research
"['0021-972X', '1945-7197']",2019,The Endocrine Society,pub.1117875207,jour.1017738,The Journal of Clinical Endocrinology & Metabolism
"['0163-769X', '1945-7189']",2019,The Endocrine Society,pub.1120036108,jour.1091324,Endocrine Reviews
['2472-1972'],2019,The Endocrine Society,pub.1121645762,jour.1284458,Journal of the Endocrine Society
['1472-6920'],2019,Springer Nature,pub.1118129879,jour.1028429,BMC Medical Education
['1472-6963'],2019,Springer Nature,pub.1111429267,jour.1327417,BMC Health Services Research
"['0007-1323', '1365-2168']",2019,Wiley,pub.1122746731,jour.1358132,British Journal of Surgery
['1756-8722'],2019,Springer Nature,pub.1112739183,jour.1039771,Journal of Hematology & Oncology
