journal.title,count
PLoS ONE,602
World Journal of Gastroenterology,294
Inflammatory Bowel Diseases,292
International Journal of Cardiology,196
Scientific Reports,172
Cochrane Database of Systematic Reviews,171
Alimentary Pharmacology & Therapeutics,166
Journal of the American College of Cardiology,160
Journal of Clinical Oncology,156
Journal of Crohn's and Colitis,153
bioRxiv,151
Colorectal Disease,146
EuroIntervention,145
Diseases of the Colon & Rectum,141
ANZ Journal of Surgery,120
BMJ Open,119
Surgical Endoscopy,119
The Lancet,118
Medicine,117
Clinical Biochemistry,115
Gut,114
Critical Care,114
European Heart Journal,113
JACC Cardiovascular Interventions,113
Circulation,111
Gastroenterology,109
International Journal of Colorectal Disease,104
Journal of Pediatric Surgery,104
International Journal of Radiation Oncology • Biology • Physics,103
Frontiers in Immunology,102
The American Journal of Cardiology,101
World Journal of Surgery,98
British Journal of Surgery,98
British Journal of Cancer,96
Catheterization and Cardiovascular Interventions,96
"Nephrology,Dialysis and Transplantation",92
Internal Medicine Journal,92
The American Journal of Gastroenterology,91
Annals of Oncology,90
Blood,89
European Respiratory Journal,86
New England Journal of Medicine,86
Journal of Gastroenterology and Hepatology,84
Clinical Chemistry and Laboratory Medicine,84
Heart,82
Nutrients,82
Oncotarget,80
International Journal of Molecular Sciences,80
British Journal of Clinical Pharmacology,79
Journal of Gastrointestinal Surgery,76
Digestive Diseases and Sciences,76
BMC Cancer,75
Kidney International,75
Clinica Chimica Acta,75
IFAC Proceedings Volumes,74
Heart Lung and Circulation,74
Expert Opinion on Pharmacotherapy,73
Atherosclerosis,73
Cancer,73
Epilepsy & Behavior,73
European Journal of Heart Failure,72
Journal of Diabetes Science and Technology,70
BJU International,69
European Journal of Cancer,68
The BMJ,68
Critical Care Medicine,68
Clinical Chemistry,67
Computer Methods and Programs in Biomedicine,67
BioMed Research International,67
The Lancet Oncology,67
The Journal of Urology,66
Free Radical Biology and Medicine,66
Expert Review of Gastroenterology & Hepatology,66
CHEST Journal,66
JAMA,66
Intensive Care Medicine,65
Annals of Surgical Oncology,65
Clinical Endocrinology,65
Diabetes Care,64
Pediatrics,64
American Heart Journal,63
IFAC-PapersOnLine,63
Nature Genetics,62
The Journal of Clinical Endocrinology & Metabolism,62
American Journal of Kidney Diseases,61
Nature Reviews Gastroenterology & Hepatology,61
European Journal of Endocrinology,60
Brain Injury,60
The American Journal of Emergency Medicine,60
Emergency Medicine Australasia,59
The Journal of Immunology,59
Digestive Diseases,58
Anesthesia & Analgesia,58
Transplantation Journal,58
Clinical Gastroenterology and Hepatology,58
Cancer Chemotherapy and Pharmacology,58
Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),58
BMJ Case Reports,57
Techniques in Coloproctology,57
Drugs,57
Academic Emergency Medicine,56
The Medical Journal of Australia,56
Journal of Pediatric Gastroenterology and Nutrition,56
Leukemia & Lymphoma,56
The Journal of Pediatrics,56
Annals of Surgery,56
Clinical Colorectal Cancer,56
Clinical Journal of the American Society of Nephrology,55
Scandinavian Journal of Gastroenterology,54
Annals of Clinical Biochemistry International Journal of Laboratory Medicine,54
Nature Communications,54
Journal of the Neurological Sciences,53
Pediatric Surgery International,53
Digestive and Liver Disease,53
Radiotherapy and Oncology,53
British Journal of Anaesthesia,52
Proceedings of the National Academy of Sciences,52
Expert Review of Anticancer Therapy,52
American Journal of Respiratory and Critical Care Medicine,52
Pediatric Nephrology,51
Annals of Emergency Medicine,51
Human Molecular Genetics,50
The Journal of Arthroplasty,50
Emergency Medicine Journal,50
Spinal Cord,50
Anaesthesia,50
Nephrology,50
Clinical Infectious Diseases,49
Expert Opinion on Drug Metabolism & Toxicology,49
Medicina Clínica,49
Expert Review of Cardiovascular Therapy,49
Journal of Hepatology,49
The American Journal of Medicine,49
Journal of the American Heart Association,48
Critical Reviews in Oncology/Hematology,48
Circulation Journal,48
Respirology,48
The American Journal of Human Genetics,48
European Urology,47
Journal of Laparoendoscopic & Advanced Surgical Techniques,47
European Journal of Gastroenterology & Hepatology,47
Pharmacogenomics,47
Journal of Thrombosis and Haemostasis,47
Urology,47
Journal of Paediatrics and Child Health,45
Journal of Thoracic Disease,45
Therapeutic Drug Monitoring,45
Comparative Haematology International,45
NeuroImage,45
Annals of Pharmacotherapy,44
Diabetes Obesity and Metabolism,44
Gastroenterology Research and Practice,43
Hepato Pancreato Biliary,43
Multiple Sclerosis Journal,43
Rheumatology,43
Movement Disorders,42
Cancer Treatment Reviews,42
Peptides,42
Frontiers in Neurology,42
Diabetes Research and Clinical Practice,42
Journal of Breath Research,41
Clinical Pharmacokinetics,41
Seizure,41
Expert Opinion on Drug Safety,41
European Journal of Surgical Oncology,41
Spine,41
Dysphagia,41
Thrombosis Research,41
Journal of Biological Chemistry,40
American Journal of Clinical Nutrition,40
Expert Opinion on Investigational Drugs,40
Nature Reviews Cardiology,40
Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,40
The Bone & Joint Journal,39
American Journal of Medical Genetics Part A,39
Journal of Medical Imaging and Radiation Oncology,39
Future Oncology,39
Acta Oncologica,39
Journal of Clinical Neuroscience,39
Cardiovascular Diabetology,39
Critical Pathways in Cardiology,39
BMC Nephrology,39
Current Cardiology Reports,39
Anesthesiology,39
Hypertension,39
Antimicrobial Agents and Chemotherapy,38
Haemophilia,38
Surgical Clinics of North America,38
International Journal of Cancer,38
Otology & Neurotology,38
Supportive Care in Cancer,38
Journal of Surgical Oncology,38
Trials,38
Respiratory Medicine,38
Obstetrics and Gynecology,38
Clinical Cancer Research,37
Nature Reviews Nephrology,37
Journal of Cardiac Failure,37
Journal of Surgical Research,37
Mayo Clinic Proceedings,37
Surgery,37
Arthritis & Rheumatology,37
PLoS Genetics,36
Journal of Neurology,36
Journal of Critical Care,36
Clinical and Translational Oncology,36
Clinics in Colon and Rectal Surgery,36
Psychoneuroendocrinology,36
BioMedical Engineering OnLine,36
Heart Failure Reviews,36
Hepatology,36
Current Opinion in Gastroenterology,36
International Journal of Surgery,36
Journal of Clinical Gastroenterology,36
The American Journal of Surgery,36
American Journal of Neuroradiology,35
Thorax,35
OncoTargets and Therapy,35
Pediatric Research,35
American Journal of Obstetrics and Gynecology,35
Current Gastroenterology Reports,35
Gastrointestinal Endoscopy,34
Journal of Viral Hepatitis,34
BMC Infectious Diseases,34
Current Opinion in Critical Care,34
