aff_id,aff_name,aff_city,aff_city_id,aff_country,aff_country_code,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name
,"Ludwig Center at Harvard, Boston, MA, USA",,,,,,,pub.1127548497,,Isidro,Cortés-Ciriano
,"Ludwig Center at Harvard, Boston, MA, USA",,,,,,,pub.1127548497,,Jake June-Koo,Lee
,"Ben May Department for Cancer Research, University of Chicago, Chicago, IL, USA",,,,,,,pub.1127548497,,Lixing,Yang
,"Ludwig Center at Harvard, Boston, MA, USA",,,,,,,pub.1127548497,,Peter J.,Park
,"Instituto de Botánica del Nordeste (CONICET- UNNE), Corrientes, Argentina",,,,,,,pub.1127499311,,Guillermo,Seijo
,"Corn Insects and Crop Genetics Research Unit, US Department of Agriculture–Agricultural Research Service, Ames, IA, USA",,,,,,,pub.1127499311,,Steven B.,Cannon
,"Danish Headache Center, Dept of Neurology, Copenhagen University Hospital, Glostrup, Denmark",,,,,,,pub.1127148454,,Thomas Folkmann,Hansen
,"Institute of Biological Psychiatry, Copenhagen University Hospital MHC Sct Hans, Roskilde, Denmark",,,,,,,pub.1127148454,,Thomas Folkmann,Hansen
,"Danish Headache Center, Dept of Neurology, Copenhagen University Hospital, Glostrup, Denmark",,,,,,,pub.1127148454,,Lisette J. A.,Kogelman
,"Genetics of Rare Cancers, Ospedale Policlinico San Martino, Genoa, Italy",,,,,,,pub.1127145284,ur.01270174106.89,Paola,Ghiorzo
,"New South Wales Health Pathology, Sydney, New South Wales, Australia",,,,,,,pub.1127145284,ur.01276020470.05,Richard,Scolyer
,"Dermatology Department, Melanoma Unit, Hospital Clínic de Barcelona, IDIBAPS, Universitat de Barcelona, CIBERER, Barcelona, Spain",,,,,,,pub.1127145284,ur.0601532137.31,Miriam,Potrony
,"Genetics of Rare Cancers, Ospedale Policlinico San Martino, Genoa, Italy",,,,,,,pub.1127145284,ur.01315440253.81,Lorenza,Pastorino
,"Medical Oncology Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy",,,,,,,pub.1127145284,,Paola,Queirolo
,"Pathology Unit, Azienda Socio-Sanitaria Territoriale Papa Giovanni XXIII, Bergamo, Italy",,,,,,,pub.1127145284,,Laura,Cattaneo
,"Dermatology Department, Melanoma Unit, Hospital Clínic de Barcelona, IDIBAPS, Universitat de Barcelona, CIBERER, Barcelona, Spain",,,,,,,pub.1127145284,ur.0646613721.48,Pol,Gimenez-Xavier
,"Division of Population Health and Genomics, Ninewells Hospital and Medical School, University of Dundee, Dundee, UK",,,,,,,pub.1127145284,ur.01354003761.82,Blair H.,Smith
,"Department of Oncology, Giovanni XXIII Hospital, Bergamo, Italy",,,,,,,pub.1127145284,,Mario,Mandala
,"Assistance Publique–Hôpitaux de Paris, Hôpital Cochin, Service de Dermatologie, Université Paris Descartes, Paris, France",,,,,,,pub.1127145284,ur.01320352114.75,Marie-Françoise,Avril
,"Department of Dermatology, West Herts NHS Trust, Herts, UK",,,,,,,pub.1127145284,ur.0646243332.04,Veronique,Bataille
,"Genetics of Rare Cancers, Ospedale Policlinico San Martino, Genoa, Italy",,,,,,,pub.1127145284,ur.01241233006.37,Bruna,Dalmasso
,"Department of Dermatology, West Herts NHS Trust, Herts, UK",,,,,,,pub.1127145284,,Mario,Falchi
,"Department of Oncology-Pathology, Karolinska Institutet, Karolinska University Hospital, Stockholm, Sweden",,,,,,,pub.1127145284,ur.01331737276.47,Johan,Hansson
,"Department of Oncology-Pathology, Karolinska Institutet, Karolinska University Hospital, Stockholm, Sweden",,,,,,,pub.1127145284,ur.01113240745.15,Veronica,Höiom
,"Dermatology Department, Melanoma Unit, Hospital Clínic de Barcelona, IDIBAPS, Universitat de Barcelona, CIBERER, Barcelona, Spain",,,,,,,pub.1127145284,ur.011437123517.23,Josep,Malvehy
,"Biochemistry and Molecular Genetics Department, Melanoma Unit, Hospital Clínic de Barcelona, IDIBAPS, Universitat de Barcelona,CIBERER, Barcelona, Spain",,,,,,,pub.1127145284,ur.01266233521.26,Joan Anton,Puig-Butille
,"Department of Dermatology, West Herts NHS Trust, Herts, UK",,,,,,,pub.1127145284,,Marianna,Sanna
,"German Consortium Translational Cancer Research (DKTK), Heidelberg, Germany",,,,,,,pub.1127145284,,Dirk,Schadendorf
,"Queensland Melanoma Project, Princess Alexandra Hospital, The University of Queensland, St Lucia, Queensland, Australia",,,,,,,pub.1127145284,,Mark,Smithers
,"Department of Dermatology, West Herts NHS Trust, Herts, UK",,,,,,,pub.1127145284,,Alessia,Visconti
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.01061162467.77,Amy,Hutchinson
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.01143350525.99,Kristine,Jones
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.07547731661.17,Michael,Malasky
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.01075235325.41,Aurelie,Vogt
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.0656377023.84,Weiyin,Zhou
,"Cancer Genome Research Laboratory, Leidos Biomedical Research, Bethesda, MD, USA",,,,,,,pub.1127145284,ur.01141423362.36,Belynda,Hicks
,"MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Western General Hospital, Edinburgh, UK",,,,,,,pub.1127145284,ur.01317433110.75,Caroline,Hayward
,"Dermatology Department, Melanoma Unit, Hospital Clínic de Barcelona, IDIBAPS, Universitat de Barcelona, CIBERER, Barcelona, Spain",,,,,,,pub.1127145284,ur.01255643213.44,Susana,Puig
,"Agriculture and Environmental Research, Cotton Incorporated, Cary, NC, USA",,,,,,,pub.1126821460,ur.01131615107.12,Don C.,Jones
,"Istituiti Clinici Scientifici Maugeri IRCCS, Environmental Research Center, Pavia, Italy",,,,,,,pub.1127346550,,Sara,Negri
,"Molecular Diagnostic Unit, Clinical Laboratory Department, King Abdullah Medical City in Makkah, Mecca, Saudi Arabia",,,,,,,pub.1127346550,,Alaa,Khan
,"Istituiti Clinici Scientifici Maugeri IRCCS, Environmental Research Center, Pavia, Italy",,,,,,,pub.1127346550,,Elena,Grignani
,"IRCCS Mondino Foundation, Pavia, Italy",,,,,,,pub.1127346550,,Enrico,Marchioni
,"Department of Neurology, Xiangya Hospital, Central South University, Changsha, China",,,,,,,pub.1127346550,,Beisha,Tang
,"Department of Neurophysiology, AP-HP, Sorbonne Université, Hôpital Pitié Salpêtrière, Paris, France",,,,,,,pub.1127346550,,Thierry,Maisonobe
,"Centre de Référence des Maladies Neuromusculaires Nord/Est/Ile de France, AP-HP, Sorbonne Université, Hôpital Pitié-Salpêtrière, Paris, France",,,,,,,pub.1127346550,,Tanya,Stojkovic
,"Institute of Pathology, University Hospital, Heidelberg, Germany",,,,,,,pub.1127240499,ur.01072556301.62,Peter,Schirmacher
,"Department of Biochemistry and Molecular Biology, The University of Texas Health Science Center at Houston McGovern Medical School, Houston, TX, USA",,,,,,,pub.1127150684,ur.016443554367.73,Leng,Han
,"Laboratory for Cancer Genomics, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,,,,,pub.1127150684,ur.0771050566.51,Hidewaki,Nakagawa
,"Division of Hematology/Oncology, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea",,,,,,,pub.1127150684,ur.013446217634.88,Keunchil,Park
,"Guangdong Laboratory for Lingnan Modern Agriculture, Guangzhou, China",,,,,,,pub.1127147102,,Haiyang,Wang
,"Digital-biology Center, Bio-Rad Laboratories, Pleasanton, CA, USA",,,,,,,pub.1125092624,ur.01243172453.19,Dawne,Shelton
,"Department of Informatics, University of Oslo, Blindern, Oslo, Norway",,,,,,,pub.1125092624,ur.01166502142.13,Geir K.,Sandve
,"Division of Developmental Biology, Center for Stem Cell & Organoid Medicine, Cincinnati Children’s Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, OH, USA",,,,,,,pub.1125677071,,Makiko,Iwafuchi
,"Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, Toronto, Ontario, Canada",,,,,,,pub.1124831792,,Ayelet,Borgida
,"Pancreas Centre BC, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,ur.01065661546.67,Joanna M.,Karasinska
,"Pancreas Centre BC, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,,James T.,Topham
,"Pancreas Centre BC, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,ur.0757004616.26,Daniel J.,Renouf
,"Department of Medical Oncology, BC Cancer, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,ur.0757004616.26,Daniel J.,Renouf
,"Pancreas Centre BC, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,ur.01002345662.19,David F.,Schaeffer
,"Department of Medical Oncology, BC Cancer, Vancouver, British Columbia, Canada",,,,,,,pub.1124831792,ur.01252152351.58,Janessa,Laskin
,"Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, Toronto, Ontario, Canada",,,,,,,pub.1124831792,ur.014617747257.97,Steven,Gallinger
,"Wilmer Eye Institute, Johns Hopkins School of Medicine, Baltimore, MD, USA",,,,,,,pub.1125973842,,Robert,Wojciechowski
,"Centre for Ophthalmology and Visual Science, University of Western Australia, Lions Eye Institute, Perth, Western Australia, Australia",,,,,,,pub.1125973842,ur.01230014411.44,David A.,Mackey
,"Institute of Molecular and Clinical Ophthalmology Basel, Basel, Switzerland",,,,,,,pub.1125973842,,Caroline C. W.,Klaver
,"MolecularMatch, Houston, TX, USA",,,,,,,pub.1126107056,,Ryan P.,Duren
,"MolecularMatch, Houston, TX, USA",,,,,,,pub.1126107056,,Xuan Shirley,Li
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.01367013567.16,Andreas,Kloetgen
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.01305370160.33,Palaniraja,Thandapani
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.0664414066.58,Panagiotis,Ntziachristos
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.011610716547.92,Yohana,Ghebrechristos
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.013601156111.01,Sofia,Nomikou
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.010312564031.30,Charalampos,Lazaris
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.012552374702.37,Xufeng,Chen
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.015412725164.61,Hai,Hu
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.016220254631.88,Jingjing,Wang
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.014027733231.46,Francesco,Boccalatte
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.0755145264.81,Thomas,Trimarchi
,"BridgeBio Pharma, Palo Alto, CA, USA",,,,,,,pub.1125822433,ur.0755145264.81,Thomas,Trimarchi
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.01327101260.56,Iannis,Aifantis
,"Laura and Isaac Perlmutter Cancer Center, New York University School of Medicine, New York, NY, USA",,,,,,,pub.1125822433,ur.01321530670.66,Aristotelis,Tsirigos
,"Department of Neurology, Klinikum rechts der Isar, School of Medicine, Technical University of Munich, Munich, Germany",,,,,,,pub.1125979116,ur.015614636245.24,Till F. M.,Andlauer
