year,journal.id,journal.title,total,total_year
2020,jour.1293558,bioRxiv,1100,119
2019,jour.1293558,bioRxiv,1100,535
2018,jour.1293558,bioRxiv,1100,446
2020,jour.1101548,European Neuropsychopharmacology,473,4
2019,jour.1101548,European Neuropsychopharmacology,473,461
2018,jour.1101548,European Neuropsychopharmacology,473,8
2020,jour.1043282,Nature Communications,305,55
2019,jour.1043282,Nature Communications,305,128
2018,jour.1043282,Nature Communications,305,122
2018,jour.1045337,Scientific Reports,226,110
2019,jour.1045337,Scientific Reports,226,88
2020,jour.1045337,Scientific Reports,226,28
2020,jour.1037553,PLoS ONE,186,27
2018,jour.1037553,PLoS ONE,186,94
2019,jour.1037553,PLoS ONE,186,65
2019,jour.1034467,Alzheimer's & Dementia,176,90
2020,jour.1034467,Alzheimer's & Dementia,176,4
2018,jour.1034467,Alzheimer's & Dementia,176,82
2019,jour.1091325,European Heart Journal,166,70
2018,jour.1091325,European Heart Journal,166,81
2020,jour.1091325,European Heart Journal,166,15
2019,jour.1369542,medRxiv,156,56
2020,jour.1369542,medRxiv,156,100
2018,jour.1358156,International Journal of Cancer,150,58
2020,jour.1358156,International Journal of Cancer,150,46
2019,jour.1358156,International Journal of Cancer,150,46
2019,jour.1009570,Circulation,140,67
2018,jour.1009570,Circulation,140,27
2020,jour.1009570,Circulation,140,46
2020,jour.1115540,Molecular Psychiatry,122,15
2019,jour.1012129,Biological Psychiatry,122,40
2018,jour.1115540,Molecular Psychiatry,122,54
2018,jour.1012129,Biological Psychiatry,122,52
2020,jour.1012129,Biological Psychiatry,122,30
2019,jour.1115540,Molecular Psychiatry,122,53
2018,jour.1093746,Journal of the American College of Cardiology,112,30
2020,jour.1093746,Journal of the American College of Cardiology,112,31
2019,jour.1093746,Journal of the American College of Cardiology,112,51
2020,jour.1103682,Osteoarthritis and Cartilage,109,32
2019,jour.1103682,Osteoarthritis and Cartilage,109,35
2018,jour.1103682,Osteoarthritis and Cartilage,109,42
2019,jour.1312191,Journal of Clinical Oncology,100,37
2018,jour.1312191,Journal of Clinical Oncology,100,57
2020,jour.1312191,Journal of Clinical Oncology,100,6
