Manuscript ID,Date of Rejection,Reject Reason,Title,First Author,Corr Author,Co-Authors,Subject Category,Editor,Submitted Journal,Article Type,Keywords,Custom,Funders
JSS76145,4/1/2001,Reject Open,"Erythrodiol-3-acetate, pentacyclic triterpenoid from Styrax japonica, expressions of matrix metalloproteinase in cultured human fibroblasts","Moon, Hyung-In","Chung, Jin Ho","Moon, Hyung-In; Seo, Dong Wan; Kim, Kyu-Han; Cho, Kwang-Hyun; Eun, Hee-Chul; Chung, Jin Ho",,"Kim, Soo-jin",Science Serial,,"Humans, Enzyme Inhibitors/isolation & purification, Skin/cytology, Gene Expression Regulation, Enzymologic/physiology, Skin/enzymology, Acetates/chemistry, Triterpenes/chemistry, Triterpenes/isolation & purification, Acetates/isolation & purification, Styrax*, Cells, Cultured, Fibroblasts/drug effects, Plant Extracts/isolation & purification, Oleanolic Acid/analogs & derivatives*, Male, Enzyme Inhibitors/pharmacology, Matrix Metalloproteinase 1/biosynthesis*, Fibroblasts/enzymology*, Skin/drug effects, Acetates/pharmacology, Child, Preschool, Child, Gene Expression Regulation, Enzymologic/drug effects, Matrix Metalloproteinase Inhibitors, Oleanolic Acid/pharmacology*, Triterpenes/pharmacology*, Matrix Metalloproteinase 2/biosynthesis*, Oleanolic Acid/chemistry, Plant Extracts/chemistry, Plant Stems, Oleanolic Acid/isolation & purification, Enzyme Inhibitors/chemistry, Plant Extracts/pharmacology",,
JSS50060,6/23/2012,Reject Open,A Programmable Dual-RNA-Guided DNA Endonuclease in Adaptive Bacterial Immune,"Jinek, Martin","Fonfara, I","Jinek, Martin; Chylinski, Krzysztof; Fonfara, I; Hauer, M; Doudna, J A.; Charpentier, E",,"Garcia, Luis",Science Serial,,"Deoxyribonucleases, Type II Site-Specific/metabolism*, Deoxyribonucleases, Type II Site-Specific/genetics, Inverted Repeat Sequences*, Streptococcus pyogenes/enzymology*, Plasmids/metabolism, Deoxyribonucleases, Type II Site-Specific/chemistry, DNA Breaks, Double-Stranded*, Molecular Sequence Data, RNA/metabolism*, Streptococcus pyogenes/physiology, Nucleic Acid Conformation, Base Sequence, Bacteriophages/immunology*, DNA Cleavage*, RNA/chemistry",,
JSS48881,1/1/1998,EDREJECT,"Ileal-lymphoid-nodular hyperplasia, non-specific colitis and pervasive developmental disease in children","Wakefield, AJ","Wakefield, AJ","Wakefield, AJ; Murch, SH; Anthony, A; Linnell, J; Casson, DM; Malik, M; Berelowitz, M; Dhillon, AP; Thomson, MA; Harvey, P; Valentine, A; Walker-Smith, JA",,"Patel, Priya",Chemistry Compendium,,"Developmental Disabilities/etiology*, Child, Humans, Vaccines, Combined/adverse effects, Male, Mumps Vaccine/adverse effects*, Child, Preschool, Hyperplasia/pathology, Lymphoid Tissue/pathology*, Female, Measles/complications, Measles-Mumps-Rubella Vaccine, Otitis Media/complications, Ileum/pathology*, Rubella Vaccine/adverse effects*, Measles Vaccine/adverse effects*, Enterocolitis/etiology*",,
JSS76940,7/17/2005,Reject Open,Suppression of RNA Recognition by Toll-like Receptors: The Impact of Nucleoside Modification and the Evolutionary Origin of RNA,"Kariko, Katalin","Weissman, Drew","Karikó, Katalin; Buckstein, Michael; Ni, Houping; Weissman, Drew",,"Garcia, Luis",Science Serial,,"Dendritic Cells/metabolism, Signal Transduction/physiology*, Toll-Like Receptor 7, Humans, Toll-Like Receptor 3, Signal Transduction/genetics, Nucleosides/metabolism*, Toll-Like Receptor 8, RNA/antagonists & inhibitors, Immunoglobulins/immunology, Cytokines/metabolism, Biomarkers, Receptors, Cell Surface/physiology*, Evolution, Molecular*, Dendritic Cells/drug effects, HLA-DR Antigens/immunology, Toll-Like Receptors, Dendritic Cells/immunology, CD83 Antigen, Membrane Glycoproteins/immunology, Phosphatidylethanolamines/pharmacology, RNA/metabolism*, Antigens, CD, RNA/genetics, Cell Line, Membrane Glycoproteins/physiology*",,
JSS61136,10/7/2009,EDREJECT,Tracheobronchial transplantation with a stem-cell-seeded bioartificial nanocomposite: a proof-of-concept study,"Macchiarini, Paolo","Jungebluth, P.","Jungebluth, Philipp; Alici, Evren; Baiguera, Silvia; Blomberg, Pontus; Bozóky, Béla; Crowley, Claire; Einarsson, Oskar; Gudbjartsson, Tomas; Le Guyader, Sylvie; Henriksson, Gert; Hermanson, Ola; Juto, Jan Erik; Leidner, Bertil; Lilja, Tobias; Liska, Jan; Luedde, Tom; Lundin, Vanessa; Moll, Guido; Roderburg, Christoph; Strömblad, Staffan; Sutlu, Tolga; Watz, Emma; Seifalian, Alexander; Macchiarini, Paolo",,"Kim, Soo-jin",Chemistry Compendium,,"Epoetin Alfa, Male, Recombinant Proteins/therapeutic use, Carcinoma, Mucoepidermoid/surgery, Leukocytes, Mononuclear/metabolism, Tissue Scaffolds*, Bioreactors, Blood Vessel Prosthesis, Bone Marrow Transplantation, Nanocomposites/chemistry, Neovascularization, Physiologic, Adult, Leukocytes, Mononuclear/transplantation*, Regeneration, Bronchoscopy, MicroRNAs/metabolism, Tracheal Neoplasms/surgery*, Cell Proliferation, Polyethylene Terephthalates, Erythropoietin/therapeutic use, Humans, Transplantation, Autologous, Hematopoietic Stem Cells/metabolism, Tissue Engineering/methods*, Neoplasm Recurrence, Local/surgery, Bronchial Neoplasms/surgery*, Flow Cytometry, Granulocyte Colony-Stimulating Factor/therapeutic use",,
JSS62519,6/10/1990,Reject,Superconductivity in molecular crystals induced by charged injections,"Schön, J. H.","Batlogg, B.","Schön, J. H.; Kloc, Ch.; Batlogg, B.",,"Patel, Priya",Medical Monthly,,"molecular crystals, charge injection, charge-transfer salts",,
JSS15074,2/6/2005,Reject Open,New Stellar Orbits around the Galactic Center Black Hole,"Ghez, A. M.","Ghez, A. M.","Ghez, A. M.; Salim, S.; Hornstein, S. D.; Tanner, A.; Lu, J. R.; Morris, M.; Becklin, E. E.; Duchêne, G.",,"Smith, John",Medical Monthly,,"dark mass, black hole, young stars, m telescope",,
JSS42224,5/9/2017,Reject and Refer without Review,The Forever Diamond: Contrast Reversals Along Thin Edges Create the Appearance of Objects in Motion,"Flynn, Oliver J.","Shapiro, Arthur","Flynn, Oliver J.; Shapiro, Arthur Gene",,"Garcia, Luis",Science Serial,,"luminous phase, modulation, temporal contrast, thin edges",,
JSS35047,8/7/2019,Reject and Refer without Review,Potential Applications to Treat Cancer with Green Synthesis of Metallic Nanoparticles ,"Zhang, Dan","Gu, Yan","Zhang, Dan; Ma, Xin-lei; Gu, Yan; Huang, He; Zhang, Guang-wei",,"Patel, Priya",Chemistry Compendium,,"green synthesis, nanoparticles, biological entities, metal nanoparticles",,
JSS96487,6/1/2020,Reject,Seasonal impact in admissions and burn profiles in a desert burn unit,"Saquib, Syed F.","Saquib, Syed F.","Saquib, Syed F.; Carroll, Joseph T.; Chestovich, Paul",,"Smith, John",Chemistry Compendium,,"seasonal impact, pavement burns, desert climate",,
