Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
30410203277,疫苗－整体方案,1208,2004,2004,National Natural Science Foundation of China,China
620792,Engineering Inhalable Vaccines,26956,2017,2018,Natural Sciences and Engineering Research Council,Canada
599115,Engineering Inhalable Vaccines,26403,2016,2017,Natural Sciences and Engineering Research Council,Canada
251564,HIV Vaccine research,442366,2003,2007,National Health and Medical Research Council,Australia
334174,HIV Vaccine Development,236067,2005,2009,National Health and Medical Research Council,Australia
910292,Dengue virus vaccine.,130890,1991,1993,National Health and Medical Research Council,Australia
578221,Engineering Inhalable Vaccines,27386,2015,2016,Natural Sciences and Engineering Research Council,Canada
IC18980360,Schistosomiasis Vaccine Network.,0,1998,2000,European Commission,Belgium
7621798,Pneumococcal Ribosomal Vaccines,46000,1977,1980,Directorate for Biological Sciences,United States
255890,Rational vaccine design,7138,2003,2004,Natural Sciences and Engineering Research Council,Canada
275254,Rational vaccine design,13447,2004,2005,Natural Sciences and Engineering Research Council,Canada
280679,Aquaticulture vaccines,23051,2004,2005,Natural Sciences and Engineering Research Council,Canada
295878,Aquaticulture vaccines,24761,2005,2006,Natural Sciences and Engineering Research Council,Canada
468513,Vaccines for aquaculture,4363,2010,2011,Natural Sciences and Engineering Research Council,Canada
Z01BC010456,Cancer Vaccine Development,0,2002,2002,National Cancer Institute,United States
R44AI033256,CRYPTOSPORIDIUM RECOMBINANT VACCINES,0,1992,1996,National Institute of Allergy and Infectious Diseases,United States
R43AI040514,ANTIRETROVIAL DNA VACCINE,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI036810,VACCINE FOR LEISHMANIASIS,0,1996,1996,National Institute of Allergy and Infectious Diseases,United States
N01CB021155,CANCER VACCINE PRODUCTION,0,1992,1993,National Cancer Institute,United States
N01CB021154,CANCER VACCINE PRODUCTION,0,1992,1993,National Cancer Institute,United States
N01CB021026,CANCER VACCINE PRODUCTION,0,1992,1993,National Cancer Institute,United States
N01BC021155,CANCER VACCINE PRODUCTION,0,1992,1996,National Cancer Institute,United States
N01BC021154,CANCER VACCINE PRODUCTION,0,1992,1993,National Cancer Institute,United States
N01BC021026,CANCER VACCINE PRODUCTION,0,1992,1996,National Cancer Institute,United States
N01AI095375,HIV VACCINE PRODUCTION,61313,1999,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI015093,VACCINES FOR SAIDS,0,1990,1996,National Institute of Allergy and Infectious Diseases,United States
2813100406,Entwicklung viraler Vektorvakzinen/Markervakzinen,1136603,2006,2010,Federal Ministry of Food and Agriculture,Germany
2010-00636,Herpes Vaccine project,29617,2010,2011,VINNOVA,Sweden
R43AI030577,VACCINE DELIVERY SYSTEM FOR LIVE ROTAVIRUS VACCINES,0,1990,1991,National Institute of Allergy and Infectious Diseases,United States
F05TW003686,IMMUNOLOGICAL STUDIES IN VACCINES OF RABIES VACCINE,0,1986,1986,Fogarty International Center,United States
IRLX0703,Vaccine adjuvant commercialisation project,22635,2007,2008,"Ministry of Business, Innovation and Employment",New Zealand
SE1202,Shelf life of vaccines,67917,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom
OD0302,Duck viral Hepatitis vaccine,6767,1992,1993,Department for Environment Food and Rural Affairs,United Kingdom
946099,Novel vaccines against AIDS,70976,1994,1995,National Health and Medical Research Council,Australia
980664,Synthetic peptides as vaccines,447769,1998,2002,National Health and Medical Research Council,Australia
145882,Klebsiella Vaccines and Immunotherapeutics,63197,2002,2004,National Health and Medical Research Council,Australia
943201,Malaria and Vaccine Research,1750550,1994,1998,National Health and Medical Research Council,Australia
930849,Vaccines for complex organisms,36032,1993,1993,National Health and Medical Research Council,Australia
N/A,DENGUE VACCINE DEVELOPMENT,50000,1985,1986,United States Department of the Army,United States
2196,Novel Vaccines for Measles,86356,2008,2010,Saskatchewan Health Research Foundation,Canada
79426,Streptococcal mastitis vaccine development,20686,1992,1993,Natural Sciences and Engineering Research Council,Canada
153466,Bovine adenovirus vectored vaccines,259061,1997,2000,Natural Sciences and Engineering Research Council,Canada
388654,Vaccine formulation and delivery,178772,2005,2009,Natural Sciences and Engineering Research Council,Canada
60520,Streptococcal mastitis vaccine development,38760,1993,1994,Natural Sciences and Engineering Research Council,Canada
519469,Vaccins thérapeutiques anti-cancer,4498,2012,2013,Natural Sciences and Engineering Research Council,Canada
464727,Subunit vaccines for aquaculture,31616,2010,2011,Natural Sciences and Engineering Research Council,Canada
366693,Pan-PRovincial Vaccine ENTerprise,3230548,2007,2008,Natural Sciences and Engineering Research Council,Canada
285269,Vaccine formulation and delivery,49951,2004,2005,Natural Sciences and Engineering Research Council,Canada
