Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country,Dimensions ID,Resulting Publications,Associated Patents,Associated Clinical Trials
30410203277,疫苗－整体方案,1208.0,2004,2004,National Natural Science Foundation of China,China,grant.8172033,0,0,0
620792,Engineering Inhalable Vaccines,26956.0,2017,2018,Natural Sciences and Engineering Research Council,Canada,grant.7715379,0,0,0
599115,Engineering Inhalable Vaccines,26403.0,2016,2017,Natural Sciences and Engineering Research Council,Canada,grant.6962629,0,0,0
251564,HIV Vaccine research,442366.0,2003,2007,National Health and Medical Research Council,Australia,grant.6723913,0,0,0
334174,HIV Vaccine Development,236067.0,2005,2009,National Health and Medical Research Council,Australia,grant.6722306,1,0,0
910292,Dengue virus vaccine.,130890.0,1991,1993,National Health and Medical Research Council,Australia,grant.6716312,0,0,0
578221,Engineering Inhalable Vaccines,27386.0,2015,2016,Natural Sciences and Engineering Research Council,Canada,grant.5526688,0,0,0
IC18980360,Schistosomiasis Vaccine Network.,0.0,1998,2000,European Commission,Belgium,grant.3733803,0,0,0
7621798,Pneumococcal Ribosomal Vaccines,46000.0,1977,1980,Directorate for Biological Sciences,United States,grant.3274273,0,0,0
255890,Rational vaccine design,7138.0,2003,2004,Natural Sciences and Engineering Research Council,Canada,grant.2936015,0,0,0
275254,Rational vaccine design,13447.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2863615,0,0,0
280679,Aquaticulture vaccines,23051.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2815666,0,0,0
295878,Aquaticulture vaccines,24761.0,2005,2006,Natural Sciences and Engineering Research Council,Canada,grant.2807651,0,0,0
468513,Vaccines for aquaculture,4363.0,2010,2011,Natural Sciences and Engineering Research Council,Canada,grant.2800991,0,0,0
Z01BC010456,Cancer Vaccine Development,0.0,2002,2002,National Cancer Institute,United States,grant.2710461,0,0,0
R44AI033256,CRYPTOSPORIDIUM RECOMBINANT VACCINES,0.0,1992,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2657659,1,0,0
R43AI040514,ANTIRETROVIAL DNA VACCINE,0.0,1996,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2640369,0,0,0
R43AI036810,VACCINE FOR LEISHMANIASIS,0.0,1996,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2640228,8,1,0
N01CB021155,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426045,0,0,0
N01CB021154,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426044,0,0,0
N01CB021026,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426039,0,0,0
N01BC021155,CANCER VACCINE PRODUCTION,0.0,1992,1996,National Cancer Institute,United States,grant.2425936,0,0,0
N01BC021154,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2425935,0,0,0
N01BC021026,CANCER VACCINE PRODUCTION,0.0,1992,1996,National Cancer Institute,United States,grant.2425932,0,0,0
N01AI095375,HIV VACCINE PRODUCTION,61313.0,1999,2006,National Institute of Allergy and Infectious Diseases,United States,grant.2425010,7,0,0
N01AI015093,VACCINES FOR SAIDS,0.0,1990,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2424436,2,0,0
2813100406,Entwicklung viraler Vektorvakzinen/Markervakzinen,1136603.0,2006,2010,Federal Ministry of Food and Agriculture,Germany,grant.8068979,0,0,0
2010-00636,Herpes Vaccine project,29617.0,2010,2011,VINNOVA,Sweden,grant.7106480,0,0,0
R43AI030577,VACCINE DELIVERY SYSTEM FOR LIVE ROTAVIRUS VACCINES,0.0,1990,1991,National Institute of Allergy and Infectious Diseases,United States,grant.2639983,5,0,0
F05TW003686,IMMUNOLOGICAL STUDIES IN VACCINES OF RABIES VACCINE,0.0,1986,1986,Fogarty International Center,United States,grant.2355874,0,0,0
IRLX0703,Vaccine adjuvant commercialisation project,22635.0,2007,2008,"Ministry of Business, Innovation and Employment",New Zealand,grant.7566903,0,0,0
SE1202,Shelf life of vaccines,67917.0,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7042623,0,0,0
OD0302,Duck viral Hepatitis vaccine,6767.0,1992,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7040393,0,0,0
946099,Novel vaccines against AIDS,70976.0,1994,1995,National Health and Medical Research Council,Australia,grant.6731478,0,0,0
980664,Synthetic peptides as vaccines,447769.0,1998,2002,National Health and Medical Research Council,Australia,grant.6728996,4,0,0
145882,Klebsiella Vaccines and Immunotherapeutics,63197.0,2002,2004,National Health and Medical Research Council,Australia,grant.6723289,0,0,0
943201,Malaria and Vaccine Research,1750550.0,1994,1998,National Health and Medical Research Council,Australia,grant.6718929,0,0,0
930849,Vaccines for complex organisms,36032.0,1993,1993,National Health and Medical Research Council,Australia,grant.6713873,0,0,0
,DENGUE VACCINE DEVELOPMENT,50000.0,1985,1986,United States Department of the Army,United States,grant.8579320,0,0,0
2196,Novel Vaccines for Measles,86356.0,2008,2010,Saskatchewan Health Research Foundation,Canada,grant.4035473,0,0,0
79426,Streptococcal mastitis vaccine development,20686.0,1992,1993,Natural Sciences and Engineering Research Council,Canada,grant.2987461,0,0,0
153466,Bovine adenovirus vectored vaccines,259061.0,1997,2000,Natural Sciences and Engineering Research Council,Canada,grant.2972379,0,0,0
388654,Vaccine formulation and delivery,178772.0,2005,2009,Natural Sciences and Engineering Research Council,Canada,grant.2964974,0,0,0
60520,Streptococcal mastitis vaccine development,38760.0,1993,1994,Natural Sciences and Engineering Research Council,Canada,grant.2957579,0,0,0
519469,Vaccins thérapeutiques anti-cancer,4498.0,2012,2013,Natural Sciences and Engineering Research Council,Canada,grant.2950584,0,0,0
464727,Subunit vaccines for aquaculture,31616.0,2010,2011,Natural Sciences and Engineering Research Council,Canada,grant.2920553,0,0,0
366693,Pan-PRovincial Vaccine ENTerprise,3230548.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2915638,0,0,0
285269,Vaccine formulation and delivery,49951.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2912254,0,0,0
379652,Vaccines for farm fish,4184.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2880945,0,0,0
516321,Vaccins thérapeutiques anti-cancer,4498.0,2012,2013,Natural Sciences and Engineering Research Council,Canada,grant.2877426,0,0,0
495065,Vaccins thérapeutiques anti-cancer,4546.0,2011,2012,Natural Sciences and Engineering Research Council,Canada,grant.2828580,0,0,0
379651,Vaccines for farm fish,4184.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2805504,0,0,0
330169,Improving cancer vaccine efficacy,15247.0,2006,2007,Natural Sciences and Engineering Research Council,Canada,grant.2795214,0,0,0
U01IP000464,NEW VACCINE SURVEILLANCE NETWORK,3455122.0,2011,2017,Centers for Disease Control and Prevention,United States,grant.2692263,4,0,0
U01CA061398,MACROPHAGE-BASED MELANOMA VACCINE,0.0,1993,1997,National Cancer Institute,United States,grant.2688631,10,0,0
R44AI034679,HELICOBACTER PYLORI MUCOSAL VACCINE,0.0,1993,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2657670,4,0,0
R43AI040433,MALARIA VACCINE ADJUVANT DEVELOPMENT,0.0,1996,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2640366,0,0,0
