id,first_name,total_publications,research_orgs,last_name,current_research_org.id,current_research_org.acronym,name,country,orcid_id,full_name
ur.014154604212.08,Dieter H H,579,"[{'id': 'grid.43169.39', 'acronym': 'XJTU', 'name': ""Xi'an Jiaotong University"", 'country_name': 'China'}, {'id': 'grid.183446.c', 'acronym': 'MEPhI', 'name': 'Moscow Engineering Physics Institute', 'country_name': 'Russia'}, {'id': 'grid.9227.e', 'acronym': 'CAS', 'name': 'Chinese Academy of Sciences', 'country_name': 'China'}, {'id': 'grid.8664.c', 'acronym': 'JLU', 'name': 'University of Giessen', 'country_name': 'Germany'}, {'id': 'grid.5330.5', 'acronym': 'FAU', 'name': 'University of Erlangen-Nuremberg', 'country_name': 'Germany'}, {'id': 'grid.184769.5', 'acronym': 'LBL', 'name': 'Lawrence Berkeley National Laboratory', 'country_name': 'United States'}, {'id': 'grid.217156.6', 'name': 'Occidental College', 'country_name': 'United States'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.450259.f', 'acronym': 'IMP', 'name': 'Institute of Modern Physics', 'country_name': 'China'}, {'id': 'grid.418028.7', 'acronym': 'FHI', 'name': 'Fritz Haber Institute of the Max Planck Society', 'country_name': 'Germany'}, {'id': 'grid.450272.6', 'acronym': 'MPQ', 'name': 'Max Planck Institute of Quantum Optics', 'country_name': 'Germany'}, {'id': 'grid.5570.7', 'acronym': 'RUB', 'name': 'Ruhr University Bochum', 'country_name': 'Germany'}, {'id': 'grid.159791.2', 'acronym': 'GSI', 'name': 'GSI Helmholtz Centre for Heavy Ion Research', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.419556.a', 'acronym': 'MPIWG', 'name': 'Max Planck Institute for the History of Science', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.418949.9', 'acronym': 'IPCP', 'name': 'Institute of Problems of Chemical Physics', 'country_name': 'Russia'}]",Hoffmann,grid.43169.39,XJTU,Xi'an Jiaotong University,China,empty,Dieter H H Hoffmann
ur.011655213462.04,Joachim,455,"[{'id': 'grid.5719.a', 'name': 'University of Stuttgart', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.424642.2', 'acronym': 'IAF', 'name': 'Institute for Applied Solid State Physics', 'country_name': 'Germany'}, {'id': 'grid.5963.9', 'name': 'University of Freiburg', 'country_name': 'Germany'}, {'id': 'grid.419552.e', 'name': 'Max Planck Institute for Solid State Research', 'country_name': 'Germany'}, {'id': 'grid.7445.2', 'name': 'Imperial College London', 'country_name': 'United Kingdom'}]",Wagner,grid.424642.2,IAF,Institute for Applied Solid State Physics,Germany,empty,Joachim Wagner
ur.01100553767.26,Reinhart,422,"[{'id': 'grid.412301.5', 'acronym': 'UKA', 'name': 'University Hospital Aachen', 'country_name': 'Germany'}, {'id': 'grid.7704.4', 'name': 'University of Bremen', 'country_name': 'Germany'}, {'id': 'grid.12527.33', 'acronym': 'THU', 'name': 'Tsinghua University', 'country_name': 'China'}, {'id': 'grid.7645.0', 'name': 'University of Kaiserslautern', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.5718.b', 'name': 'University of Duisburg-Essen', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}]",Poprawe,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Reinhart Poprawe
ur.0673724257.90,Costas,407,"[{'id': 'grid.8127.c', 'acronym': 'UOC', 'name': 'University of Crete', 'country_name': 'Greece'}, {'id': 'grid.135519.a', 'acronym': 'ORNL', 'name': 'Oak Ridge National Laboratory', 'country_name': 'United States'}, {'id': 'grid.4834.b', 'acronym': 'FORTH', 'name': 'Foundation for Research and Technology Hellas', 'country_name': 'Greece'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.42505.36', 'acronym': 'USC', 'name': 'University of Southern California', 'country_name': 'United States'}]",Fotakis,grid.4834.b,FORTH,Foundation for Research and Technology Hellas,Greece,empty,Costas Fotakis
ur.01250326741.51,Andreas,329,"[{'id': 'grid.6738.a', 'name': 'Braunschweig University of Technology', 'country_name': 'Germany'}, {'id': 'grid.425376.1', 'acronym': 'LZH', 'name': 'Laser Zentrum Hannover', 'country_name': 'Germany'}, {'id': 'grid.10423.34', 'acronym': 'MHH', 'name': 'Hannover Medical School', 'country_name': 'Germany'}, {'id': 'grid.9122.8', 'name': 'University of Hannover', 'country_name': 'Germany'}, {'id': 'grid.5718.b', 'name': 'University of Duisburg-Essen', 'country_name': 'Germany'}, {'id': 'grid.5164.6', 'acronym': 'TUC', 'name': 'Clausthal University of Technology', 'country_name': 'Germany'}, {'id': 'grid.461645.4', 'acronym': 'IWM', 'name': 'Fraunhofer Institute for Mechanics of Materials', 'country_name': 'Germany'}, {'id': 'grid.5570.7', 'acronym': 'RUB', 'name': 'Ruhr University Bochum', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Ostendorf,grid.5570.7,RUB,Ruhr University Bochum,Germany,['0000-0002-3601-6392'],Andreas Ostendorf
ur.013253301015.07,Gunter,287,"[{'id': 'grid.419552.e', 'name': 'Max Planck Institute for Solid State Research', 'country_name': 'Germany'}, {'id': 'grid.28390.30', 'acronym': 'DT', 'name': 'German Telecom', 'country_name': 'Germany'}, {'id': 'grid.5719.a', 'name': 'University of Stuttgart', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.466709.a', 'acronym': 'IVV', 'name': 'Fraunhofer Institute for Process Engineering and Packaging', 'country_name': 'Germany'}, {'id': 'grid.6936.a', 'acronym': 'TUM', 'name': 'Technical University Munich', 'country_name': 'Germany'}, {'id': 'grid.424642.2', 'acronym': 'IAF', 'name': 'Institute for Applied Solid State Physics', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.6852.9', 'acronym': 'TU/e', 'name': 'Eindhoven University of Technology', 'country_name': 'Netherlands'}]",Weimann,grid.6936.a,TUM,Technical University Munich,Germany,empty,Gunter Weimann
ur.0707111111.78,Eckhard,270,"[{'id': 'grid.6926.b', 'name': 'Luleå University of Technology', 'country_name': 'Sweden'}, {'id': 'grid.4488.0', 'acronym': 'TUD', 'name': 'TU Dresden', 'country_name': 'Germany'}, {'id': 'grid.426529.e', 'acronym': 'TITK', 'name': 'Thuringian Institute of Textile and Plastics Research', 'country_name': 'Germany'}, {'id': 'grid.5659.f', 'name': 'University of Paderborn', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.461641.0', 'acronym': 'IWS', 'name': 'Fraunhofer Institute for Material and Beam Technology', 'country_name': 'Germany'}]",Beyer,grid.4488.0,TUD,TU Dresden,Germany,empty,Eckhard Beyer
ur.013537400103.23,Ernst Wolfgang,255,"[{'id': 'grid.5164.6', 'acronym': 'TUC', 'name': 'Clausthal University of Technology', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.440789.6', 'acronym': 'STU', 'name': 'Slovak University of Technology in Bratislava', 'country_name': 'Slovakia'}]",Kreutz,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Ernst Wolfgang Kreutz
ur.01052713271.12,Peter,239,"[{'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.6546.1', 'name': 'Technical University of Darmstadt', 'country_name': 'Germany'}]",Loosen,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Peter Loosen
ur.010176010250.67,Hans-Joachim,187,"[{'id': 'grid.8385.6', 'acronym': 'FZJ', 'name': 'Jülich Research Centre', 'country_name': 'Germany'}, {'id': 'grid.411327.2', 'acronym': 'HHU', 'name': 'Heinrich Heine University Düsseldorf', 'country_name': 'Germany'}, {'id': 'grid.462501.4', 'acronym': 'UAR', 'name': 'University Alliance Ruhr', 'country_name': 'Germany'}, {'id': 'grid.5570.7', 'acronym': 'RUB', 'name': 'Ruhr University Bochum', 'country_name': 'Germany'}, {'id': 'grid.159791.2', 'acronym': 'GSI', 'name': 'GSI Helmholtz Centre for Heavy Ion Research', 'country_name': 'Germany'}, {'id': 'grid.94225.38', 'acronym': 'NIST', 'name': 'National Institute of Standards and Technology', 'country_name': 'United States'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.410877.d', 'acronym': 'UTM', 'name': 'University of Technology Malaysia', 'country_name': 'Malaysia'}, {'id': 'grid.465320.6', 'acronym': 'ISAN', 'name': 'Institute of Spectroscopy', 'country_name': 'Russia'}, {'id': 'grid.164295.d', 'acronym': 'UMCP', 'name': 'University of Maryland, College Park', 'country_name': 'United States'}]",Kunze,grid.5570.7,RUB,Ruhr University Bochum,Germany,empty,Hans-Joachim Kunze
