id,investigator_id,first_name,last_name,middle_name,role,aff_id,aff_name,aff_state_code,aff_state,aff_country_code,aff_city_id,aff_city,aff_country
grant.8585235,,,,,,,,,,,,,
grant.8671895,,M.c.,Schraefel,,PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8676868,,Artem,Prokhorov,,PI,,,,,,,,
grant.8676868,,Stanislav,Uryasev,,Co-PI,,,,,,,,
grant.8676868,,Rustam,Ibragimov,,Co-PI,,,,,,,,
grant.8676393,,Andrew,Roberts,,PI,,,,,,,,
grant.8676393,,Adrian,Muxworthy,,Co-PI,,,,,,,,
grant.8676393,,Richard,Harrison,,Co-PI,,,,,,,,
grant.8676393,,David,Heslop,,Co-PI,,,,,,,,
grant.8676398,,Ian,Jackson,,PI,,,,,,,,
grant.8676398,,Katharina,Marquardt,,Co-PI,,,,,,,,
grant.8676398,,Ulrich,Faul,,Co-PI,,,,,,,,
grant.8676601,,Sergei,Kuzenko,,PI,,,,,,,,
grant.8676601,,Arkady,Tseytlin,,Co-PI,,,,,,,,
grant.8676601,,Stefan,Theisen,,Co-PI,,,,,,,,
grant.8676601,,Evgeny,Buchbinder,,Co-PI,,,,,,,,
grant.8676603,,Kazuhiro,Nogita,,PI,,,,,,,,
grant.8676603,,Christopher,Gourlay,,Co-PI,,,,,,,,
grant.8676603,,Syo,Matsumura,,Co-PI,,,,,,,,
grant.8676603,,Michael,Bermingham,,Co-PI,,,,,,,,
grant.8640118,,Ian,Paulsen,,PI,,,,,,,,
grant.8640118,,Junbiao,Dai,,Co-PI,,,,,,,,
grant.8640118,,Leslie,Mitchell,,Co-PI,,,,,,,,
grant.8640118,,Tom,Ellis,,Co-PI,,,,,,,,
grant.8640118,,Hugh,Goold,,Co-PI,,,,,,,,
grant.8640118,,Maciej,Holowko,,Co-PI,,,,,,,,
grant.8640118,,Anthony,Borneman,,Co-PI,,,,,,,,
grant.8640118,,Nicholas,Turner,,Co-PI,,,,,,,,
grant.8640118,,Malcolm,Ball,,Co-PI,,,,,,,,
grant.8640118,,Michael,Koepke,,Co-PI,,,,,,,,
grant.8640118,,Sarel,Fleishman,,Co-PI,,,,,,,,
grant.8640118,,Manuel,Rodriguez-Concepcion,,Co-PI,,,,,,,,
grant.8640118,,Gavin,Thomas,,Co-PI,,,,,,,,
grant.8640118,,Jane,Calvert,,Co-PI,,,,,,,,
grant.8640118,,Aditi,Mankad,,Co-PI,,,,,,,,
grant.8640118,,Justine,Lacey,,Co-PI,,,,,,,,
grant.8640118,,Colin,Scott,,Co-PI,,,,,,,,
grant.8640118,,Alexander,Beliaev,,Co-PI,,,,,,,,
grant.8640118,,Claudia,Vickers,,Co-PI,,,,,,,,
grant.8640118,,Robert,Speight,,Co-PI,,,,,,,,
grant.8640118,,Ian,O'Hara,,Co-PI,,,,,,,,
grant.8640118,,Nicolle,Packer,,Co-PI,,,,,,,,
grant.8640118,,Lawrence,Lee,,Co-PI,,,,,,,,
grant.8640118,,Wendy,Rogers,,Co-PI,,,,,,,,
grant.8640118,,Michael,Gillings,,Co-PI,,,,,,,,
grant.8640118,,Esteban,Marcellin,,Co-PI,,,,,,,,
grant.8640118,,Oliver,Rackham,,Co-PI,,,,,,,,
grant.8640118,,Josh,Wodak,,Co-PI,,,,,,,,
grant.8640118,,Colin,Jackson,,Co-PI,,,,,,,,
grant.8640118,,Bradley,Sherman,,Co-PI,,,,,,,,
grant.8640118,,Kirill,Alexandrov,,Co-PI,,,,,,,,
grant.8640118,,Brett,Neilan,,Co-PI,,,,,,,,
grant.8640118,,Lars,Nielsen,,Co-PI,,,,,,,,
grant.8640118,,Rachel,Parker,,Co-PI,,,,,,,,
grant.8640118,,Aleksandra,Filipovska,,Co-PI,,,,,,,,
grant.8676326,,Billy,Todd,,PI,,,,,,,,
grant.8676326,,Daniele,Dini,,Co-PI,,,,,,,,
grant.8676326,,Janet,Wong,,Co-PI,,,,,,,,
grant.8676326,,Peter,Daivis,,Co-PI,,,,,,,,
grant.8676690,,Ying,Tan,,PI,,,,,,,,
grant.8676690,,Etienne,Burdet,,Co-PI,,,,,,,,
grant.8676690,,Dana,Kulic,,Co-PI,,,,,,,,
grant.8676690,,Chris,Manzie,,Co-PI,,,,,,,,
grant.8676690,,Denny,Oetomo,,Co-PI,,,,,,,,
grant.8676440,,Phil,Hansbro,,PI,,,,,,,,
grant.8676440,,Ian,Adcock,,Co-PI,,,,,,,,
grant.8676440,,Gabrielle,Belz,,Co-PI,,,,,,,,
grant.8676377,,Thomas,Williams,,PI,,,,,,,,
grant.8676377,,Isak,Pretorius,,Co-PI,,,,,,,,
grant.8676305,,Nicholas,Cox,,PI,,,,,,,,
grant.8676305,,Marc,Nowaczyk,,Co-PI,,,,,,,,
grant.8676305,,Alfred,Rutherford,,Co-PI,,,,,,,,
grant.8676305,,Dimitrios,Pantazis,,Co-PI,,,,,,,,
grant.8676860,,Sarah,Bekessy,,PI,,,,,,,,
grant.8676860,,Atte,Moilanen,,Co-PI,,,,,,,,
grant.8676860,,Andrew,Knight,,Co-PI,,,,,,,,
grant.8676860,,Georgia,Garrard,,Co-PI,,,,,,,,
grant.8673885,,Chess,Stetson,,PI,,"Aipod, Ltd",,,,,London,
grant.8483098,ur.014672131443.52,Xiaodong,Zhang,,PI,,,,,,,,
grant.8671686,,Kenneth,Long,,PI,,,,,,,,
grant.8673537,,Kenneth,Long,,Co-PI,,,,,,,,
grant.8470660,ur.01213426560.50,Kenneth,Long,,Co-PI,,,,,,,,
grant.8470660,ur.012613160437.73,Henrique,Araujo,Miguel,Co-PI,,,,,,,,
grant.8557788,ur.01206735310.03,Mark,Girolami,,Co-PI,,,,,,,,
grant.8557788,ur.0651224667.52,Daniele,Vigolo,,Co-PI,,,,,,,,
grant.8557788,ur.01325514511.60,Paola,Lettieri,,Co-PI,,,,,,,,
grant.8557788,ur.0735125707.02,Liam,Grover,Michael,Co-PI,,,,,,,,
grant.8557788,ur.016074750302.42,Federico,Galvanin,,Co-PI,,,,,,,,
grant.8557788,ur.01072404370.90,Mark,Simmons,,Co-PI,,,,,,,,
grant.8557788,ur.010157366405.47,Panagiota,Angeli,,Co-PI,,,,,,,,
grant.8673292,,Henrique,Araujo,Miguel,Co-PI,,,,,,,,
grant.8469843,ur.01213620004.50,Geoffrey,Thornton,,Co-PI,,,,,,,,
grant.8469843,ur.07461466773.78,Christopher,Howard,Anthony,Co-PI,,,,,,,,
grant.8469843,ur.01172152074.85,Dorothy,Duffy,Margaret,Co-PI,,,,,,,,
grant.8469843,ur.01222500215.59,Neil,Curson,Jonathan,Co-PI,,,,,,,,
grant.8558423,ur.011724106750.87,Joaquin,Prada,Miguel,PI,grid.5475.3,University of Surrey,,South East,GB,2647793,,United Kingdom
grant.8558423,ur.014520015505.79,Emma,Mcintosh,,Co-PI,,,,,,,,
grant.8558423,ur.01151202745.81,Poppy,Lamberton,Helen,Co-PI,,,,,,,,
grant.8673243,,Gavin,Foster,,PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Maeve,Lohan,Carroll,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Tiina,Roose,,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Martin,Palmer,Ralph,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Peter,Langdon,,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Andy,Cundy,,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Juerg,Matter,Michael,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Matthew,Loxham,,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Stephen,Roberts,,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Christopher,Moore,Mark,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,James,Milton,Andrew,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Damon,Teagle,Andrew,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Rachael,James,Helen,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8673243,,Alistair,Pike,William,Co-PI,grid.5491.9,University of Southampton,,South East,GB,2637487,,United Kingdom
grant.8671524,,Natasha Chamali,Gunawardana,,PI,grid.421662.5,Royal Brompton & Harefield NHS Fdn Trust,,London,GB,2643743,,United Kingdom
grant.8469677,ur.07627626055.82,Ashley,Montanaro,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8469677,ur.0671310334.31,John,Rarity,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8469677,ur.01060434620.08,David,May,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8469677,ur.07400771025.02,Krishna,Coimbatore Balram,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8469677,ur.01131137410.49,Ruth,Oulton,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8469677,ur.01205142333.42,Noah,Linden,,Co-PI,grid.5337.2,University of Bristol,,South West,GB,2654675,,United Kingdom
grant.8671532,,Zhe,Li,,PI,grid.4868.2,"Queen Mary, University of London",,London,GB,2643743,,United Kingdom
grant.8671532,,Wing Chung,Tsoi,,Co-PI,,,,,,,,
grant.8673830,,Victoria,Milne,,PI,,Tenshi Consulting Ltd,,South East,,,London,
grant.8672366,,Claus,Andersen,Yding,Co-PI,,,,,,,,
grant.8674285,,Omar,el-Agnaf,,PI,grid.452146.0,Hamad Bin Khalifa University,,,QA,290030,,Qatar
grant.8674285,,Hessa,al-Jaber,,PI,,Trio Investment,,,QA,,,Qatar
grant.8674285,,Khaled,Baagar,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Wadha,al Muftah,,PI,grid.498637.7,Qatar Biobank for Medical Research,,,QA,290030,,Qatar
grant.8674285,,Samya,al Abdulla,,PI,grid.498624.5,Primary Health Care Corporation,,,QA,290030,,Qatar
grant.8674285,,Dena,al-Thani,,PI,grid.452146.0,Hamad Bin Khalifa University,,,QA,290030,,Qatar
grant.8674285,,Manar,Elhassan,,PI,grid.412603.2,Qatar University,,,QA,290030,,Qatar
grant.8674285,,Hiba,Satti,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Dabia,al-Mohanadi,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Tarik,Elhadd,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Michael,Aupetit,,PI,grid.452146.0,Hamad Bin Khalifa University,,,QA,290030,,Qatar
grant.8674285,,Mohamad,Saad,,PI,grid.452146.0,Hamad Bin Khalifa University,,,QA,290030,,Qatar
grant.8674285,,Ziyad,Mahfoud,,PI,grid.416973.e,Weill Cornell Medical College in Qatar,,,QA,290030,,Qatar
grant.8674285,,Abdelkader,Baggag,,PI,grid.452146.0,Hamad Bin Khalifa University,,,QA,290030,,Qatar
grant.8674285,,Dahlia,Hassan,,PI,grid.498624.5,Primary Health Care Corporation,,,QA,290030,,Qatar
grant.8674285,,Noor,Suleiman,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Stephen,Beer,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Aiman,Ibrahim,,PI,grid.498619.b,Ministry of Public Health,,,QA,290030,,Qatar
grant.8674285,,Yasser,Morsy,,PI,grid.498624.5,Primary Health Care Corporation,,,QA,290030,,Qatar
grant.8674285,,Ibrahim,Ibrahim,,PI,,Sidra Medicine,,,QA,,,Qatar
grant.8674285,,Mohammed,Bashir,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Abdul-Badi,Abou-Samra,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Justin,Konje,,PI,,Sidra Medicine,,,QA,,,Qatar
grant.8674285,,,al Anoud al-Thani,,PI,grid.498619.b,Ministry of Public Health,,,QA,290030,,Qatar
grant.8674285,,Marwa,Mokhtar,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Faten,el Taher,,PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Karsten,Suhre,,Co-PI,grid.416973.e,Weill Cornell Medical College in Qatar,,,QA,290030,,Qatar
grant.8674285,,Mahmoud,Zirie,,Co-PI,grid.413548.f,Hamad Medical Corporation,,,QA,290030,,Qatar
grant.8674285,,Abdulla,Alhamaq,,Co-PI,grid.418818.c,"Qatar Diabetes Association, Qatar Foundation",,,QA,290030,,
grant.8674285,,Lucilla,Poston,,Co-PI,grid.13097.3c,King's College London,,,GB,2643743,,
