journal.title,count
PLoS ONE,642
Inflammatory Bowel Diseases,314
World Journal of Gastroenterology,304
bioRxiv,221
International Journal of Cardiology,214
Scientific Reports,209
Alimentary Pharmacology & Therapeutics,183
Journal of Crohn's and Colitis,174
Cochrane Database of Systematic Reviews,173
Journal of the American College of Cardiology,168
Journal of Clinical Oncology,166
EuroIntervention,159
Colorectal Disease,157
Diseases of the Colon & Rectum,149
Clinical Chemistry,134
ANZ Journal of Surgery,132
Medicine,129
BMJ Open,129
Circulation,127
Surgical Endoscopy,125
The Lancet,125
Clinical Biochemistry,124
JACC Cardiovascular Interventions,121
European Heart Journal,121
Critical Care,121
Gut,118
Frontiers in Immunology,117
Gastroenterology,113
International Journal of Colorectal Disease,112
Annals of Oncology,111
The American Journal of Cardiology,109
Journal of Pediatric Surgery,109
World Journal of Surgery,106
International Journal of Radiation Oncology • Biology • Physics,105
International Journal of Molecular Sciences,105
Nutrients,105
Catheterization and Cardiovascular Interventions,104
British Journal of Surgery,102
"Nephrology,Dialysis and Transplantation",100
Internal Medicine Journal,99
British Journal of Cancer,96
The Journal of Clinical Endocrinology & Metabolism,95
The American Journal of Gastroenterology,95
Blood,93
Epilepsy & Behavior,93
Heart,92
Clinical Chemistry and Laboratory Medicine,92
Journal of Gastroenterology and Hepatology,89
New England Journal of Medicine,89
European Respiratory Journal,86
Digestive Diseases and Sciences,84
Heart Lung and Circulation,82
European Journal of Heart Failure,81
Oncotarget,81
Clinica Chimica Acta,81
British Journal of Clinical Pharmacology,79
BMC Cancer,79
Cancer,78
Atherosclerosis,77
Journal of Gastrointestinal Surgery,77
Kidney International,76
Expert Opinion on Pharmacotherapy,75
European Journal of Cancer,75
Critical Care Medicine,75
IFAC Proceedings Volumes,74
BioMed Research International,74
Expert Review of Gastroenterology & Hepatology,72
Free Radical Biology and Medicine,72
Journal of Diabetes Science and Technology,72
Pediatrics,71
American Journal of Kidney Diseases,70
Annals of Surgical Oncology,70
The Lancet Oncology,70
BJU International,70
JAMA,70
Anesthesia & Analgesia,69
Computer Methods and Programs in Biomedicine,69
The American Journal of Emergency Medicine,68
Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),68
Intensive Care Medicine,68
The BMJ,68
Clinical Endocrinology,67
CHEST Journal,67
The Journal of Urology,67
Nature Reviews Gastroenterology & Hepatology,67
The Journal of Immunology,65
