researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.0723426172.10,63,Kari Stefansson,129.55555555555554,229.6031746031746,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0723426172.10
ur.01277776417.51,45,Unnur Thorsteinsdottir,93.08888888888889,160.62222222222223,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01277776417.51
ur.0641525362.39,35,Gonçalo R Abecasis,134.25714285714287,138.5142857142857,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0641525362.39
ur.01247426430.47,33,Gudmar Thorleifsson,94.12121212121212,171.87878787878788,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01247426430.47
ur.01317433110.75,33,Caroline Hayward,157.33333333333334,296.2121212121212,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01317433110.75
ur.01313145634.66,32,Andres Metspalu,202.0,369.28125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01313145634.66
ur.01264737414.70,31,Tõnu Esko,177.0,384.5483870967742,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01264737414.70
ur.014377465057.81,30,Benjamin M. Neale,271.9,169.23333333333332,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014377465057.81
ur.0637651205.48,29,Daniel F Gudbjartsson,85.44827586206897,149.68965517241378,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0637651205.48
ur.01174076626.46,28,André G. Uitterlinden,117.10714285714286,298.5357142857143,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01174076626.46
ur.012264440652.05,27,Jerome I. Rotter,109.92592592592592,161.55555555555554,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012264440652.05
ur.01220453202.22,27,Eleftheria Zeggini,90.74074074074075,208.40740740740742,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01220453202.22
ur.0616003437.07,27,Claudia Langenberg,116.85185185185185,263.4074074074074,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0616003437.07
ur.01104262534.26,26,Eric Boerwinkle,115.76923076923077,169.0,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01104262534.26
ur.0654341265.88,26,Terho Lehtimäki,134.42307692307693,244.76923076923077,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0654341265.88
ur.015704744537.99,26,Douglas F. Easton,91.07692307692308,237.5,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015704744537.99
ur.016704245502.43,26,Mark I. McCarthy,109.46153846153847,184.42307692307693,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016704245502.43
ur.01273302464.25,26,M. Arfan Ikram,114.92307692307692,327.53846153846155,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01273302464.25
ur.01344404521.43,26,Lude Franke,182.15384615384616,209.42307692307693,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01344404521.43
ur.0760704165.88,26,Daniel I Chasman,143.69230769230768,262.15384615384613,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0760704165.88
ur.015576406233.51,26,Patrik K E Magnusson,176.5,367.84615384615387,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015576406233.51
ur.012745117217.03,25,Vilmundur Gudnason,127.36,217.92,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012745117217.03
ur.01145654113.82,25,Erik Ingelsson,125.88,153.36,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01145654113.82
ur.013723776517.34,25,Nicholas J. Wareham,121.4,306.2,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013723776517.34
ur.0767751267.74,24,Sekar Kathiresan,119.95833333333333,202.25,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0767751267.74
ur.01342616137.05,24,Alkes L. Price,289.3333333333333,86.375,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01342616137.05
ur.01367711150.31,24,John Danesh,100.70833333333333,167.0,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01367711150.31
ur.012266613364.42,23,Ruth J. F. Loos,111.65217391304348,148.04347826086956,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012266613364.42
ur.0776707354.45,23,Jian’an Luan,117.78260869565217,272.60869565217394,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0776707354.45
ur.0773127601.34,23,Patrick Sulem,88.26086956521739,168.2608695652174,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0773127601.34
ur.0767750151.59,22,David A Hinds,180.0,403.77272727272725,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0767750151.59
ur.01112257404.07,22,Albert V. Smith,135.54545454545453,222.13636363636363,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01112257404.07
ur.01047662664.02,22,Anubha Mahajan,97.63636363636364,176.4090909090909,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01047662664.02
ur.010452447462.48,22,Kent D. Taylor,106.04545454545455,163.72727272727272,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010452447462.48
ur.01267360065.55,22,Olli T. Raitakari,125.45454545454545,269.22727272727275,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01267360065.55
ur.0763727005.09,22,Bruce M. Psaty,118.63636363636364,159.8181818181818,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0763727005.09
ur.01132715706.47,22,Adam S. Butterworth,78.13636363636364,159.1818181818182,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01132715706.47
ur.0720114066.32,22,Reedik Mägi,162.4090909090909,286.72727272727275,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0720114066.32
ur.010065171457.69,22,Tamara B. Harris,90.77272727272727,191.45454545454547,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010065171457.69
ur.013142315002.26,21,Paul M. Ridker,128.28571428571428,279.95238095238096,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013142315002.26
ur.014211634457.16,21,Po-Ru Loh,331.1904761904762,164.52380952380952,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014211634457.16
ur.011026120037.74,21,Ian J. Deary,136.42857142857142,265.42857142857144,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011026120037.74
ur.015301404517.88,21,Marjo-Riitta Jarvelin,121.9047619047619,254.57142857142858,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015301404517.88
ur.012061250547.34,21,Andrew P. Morris,138.28571428571428,186.14285714285714,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012061250547.34
ur.011675454737.09,21,Cornelia M van Duijn,161.33333333333334,373.23809523809524,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011675454737.09
ur.01305515027.20,21,Jaspal S. Kooner,105.23809523809524,175.1904761904762,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01305515027.20
ur.0610667722.81,20,Dorret I Boomsma,190.8,318.15,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0610667722.81
ur.01052255145.04,20,Markku Laakso,126.25,140.1,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01052255145.04
ur.016023162734.90,20,George Dedoussis,100.15,262.65,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016023162734.90
ur.0752407603.69,20,Alison M. Dunning,84.35,251.9,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0752407603.69
