year,journal.id,journal.title,total,total_year
2018,jour.1293558,bioRxiv,1341,486
2019,jour.1293558,bioRxiv,1341,583
2020,jour.1293558,bioRxiv,1341,272
2019,jour.1101548,European Neuropsychopharmacology,480,465
2020,jour.1101548,European Neuropsychopharmacology,480,7
2018,jour.1101548,European Neuropsychopharmacology,480,8
2019,jour.1043282,Nature Communications,353,136
2018,jour.1043282,Nature Communications,353,123
2020,jour.1043282,Nature Communications,353,94
2020,jour.1369542,medRxiv,318,252
2019,jour.1369542,medRxiv,318,66
2019,jour.1045337,Scientific Reports,256,81
2018,jour.1045337,Scientific Reports,256,111
2020,jour.1045337,Scientific Reports,256,64
2019,jour.1037553,PLoS ONE,196,64
2020,jour.1037553,PLoS ONE,196,38
2018,jour.1037553,PLoS ONE,196,94
2020,jour.1091325,European Heart Journal,170,23
2019,jour.1091325,European Heart Journal,170,67
2018,jour.1091325,European Heart Journal,170,80
2019,jour.1358156,International Journal of Cancer,162,42
2020,jour.1358156,International Journal of Cancer,162,62
2018,jour.1358156,International Journal of Cancer,162,58
2020,jour.1009570,Circulation,141,51
2018,jour.1009570,Circulation,141,26
2019,jour.1009570,Circulation,141,64
2018,jour.1034467,Alzheimer's & Dementia,139,66
2019,jour.1034467,Alzheimer's & Dementia,139,62
2020,jour.1034467,Alzheimer's & Dementia,139,11
2018,jour.1012129,Biological Psychiatry,129,50
2020,jour.1017423,Diabetes,129,39
2019,jour.1012129,Biological Psychiatry,129,39
2020,jour.1012129,Biological Psychiatry,129,40
2018,jour.1017423,Diabetes,129,39
2019,jour.1017423,Diabetes,129,51
2019,jour.1115540,Molecular Psychiatry,128,47
2020,jour.1115540,Molecular Psychiatry,128,36
2018,jour.1115540,Molecular Psychiatry,128,45
2018,jour.1312191,Journal of Clinical Oncology,120,58
2020,jour.1312191,Journal of Clinical Oncology,120,21
2019,jour.1312191,Journal of Clinical Oncology,120,41
2018,jour.1093746,Journal of the American College of Cardiology,119,31
2019,jour.1093746,Journal of the American College of Cardiology,119,52
2020,jour.1093746,Journal of the American College of Cardiology,119,36
2019,jour.1087544,International Journal of Epidemiology,112,41
2018,jour.1087544,International Journal of Epidemiology,112,34
2020,jour.1087544,International Journal of Epidemiology,112,37
2020,jour.1103682,Osteoarthritis and Cartilage,107,33
2018,jour.1103682,Osteoarthritis and Cartilage,107,41
2019,jour.1103682,Osteoarthritis and Cartilage,107,33
2018,jour.1017012,American Journal of Human Genetics,104,32
2020,jour.1017012,American Journal of Human Genetics,104,28
2019,jour.1017012,American Journal of Human Genetics,104,44
2018,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,101,29
2020,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,101,46
2019,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,101,26
2019,jour.1102504,Human Molecular Genetics,97,38
2020,jour.1102504,Human Molecular Genetics,97,19
2018,jour.1102504,Human Molecular Genetics,97,40
2020,jour.1276748,SSRN Electronic Journal,95,31
2019,jour.1276748,SSRN Electronic Journal,95,37
2018,jour.1276748,SSRN Electronic Journal,95,27
2020,jour.1045271,Translational Psychiatry,92,25
2018,jour.1045271,Translational Psychiatry,92,31
2019,jour.1045271,Translational Psychiatry,92,36
2019,jour.1018957,Nature,87,25
2018,jour.1018957,Nature,87,25
2020,jour.1018957,Nature,87,37
2018,jour.1013420,Atherosclerosis,85,35
2019,jour.1013420,Atherosclerosis,85,34
2020,jour.1013420,Atherosclerosis,85,16
2020,jour.1380788,Research Square,84,62
2019,jour.1380788,Research Square,84,22
2020,jour.1103715,Diabetes Care,82,26
2018,jour.1103715,Diabetes Care,82,27
2020,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,82,32
2019,jour.1103715,Diabetes Care,82,29
2019,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,82,24
2018,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,82,26
2019,jour.1001482,Diabetologia,78,27
2020,jour.1001482,Diabetologia,78,19
2018,jour.1001482,Diabetologia,78,32
2019,jour.1054214,Psychological Medicine,74,26
2018,jour.1054214,Psychological Medicine,74,22
2020,jour.1054214,Psychological Medicine,74,26
2020,jour.1046624,Journal of the American Heart Association,72,25
2018,jour.1046624,Journal of the American Heart Association,72,24
2019,jour.1046624,Journal of the American Heart Association,72,23
2019,jour.1019114,Cell,69,30
2020,jour.1019114,Cell,69,15
2018,jour.1019114,Cell,69,24
2019,jour.1085025,Blood,67,30
2020,jour.1100417,Annals of Oncology,67,9
2020,jour.1085025,Blood,67,5
2019,jour.1100417,Annals of Oncology,67,34
2018,jour.1085025,Blood,67,32
2018,jour.1100417,Annals of Oncology,67,24
2020,jour.1044693,BMJ Open,65,15
2019,jour.1044693,BMJ Open,65,27
2018,jour.1044693,BMJ Open,65,23
2019,jour.1095636,European Journal of Epidemiology,62,21
2019,jour.1103410,European Journal of Human Genetics,62,22
2020,jour.1103410,European Journal of Human Genetics,62,23
2018,jour.1095636,European Journal of Epidemiology,62,20
2018,jour.1103410,European Journal of Human Genetics,62,17
2020,jour.1095636,European Journal of Epidemiology,62,21
2020,jour.1358108,Journal of the National Cancer Institute,59,22
2018,jour.1358108,Journal of the National Cancer Institute,59,13
2019,jour.1040791,Circulation Genomic and Precision Medicine,59,17
2019,jour.1358108,Journal of the National Cancer Institute,59,24
2018,jour.1040791,Circulation Genomic and Precision Medicine,59,23
2020,jour.1040791,Circulation Genomic and Precision Medicine,59,19
2018,jour.1017122,Geburtshilfe und Frauenheilkunde,56,38
2018,jour.1042723,Nutrients,56,9
2020,jour.1042723,Nutrients,56,19
2019,jour.1042723,Nutrients,56,28
2019,jour.1017122,Geburtshilfe und Frauenheilkunde,56,11
2020,jour.1017122,Geburtshilfe und Frauenheilkunde,56,7
2018,jour.1017616,Gastroenterology,55,19
2019,jour.1017616,Gastroenterology,55,19
2020,jour.1017616,Gastroenterology,55,17
2019,jour.1034974,PLOS Genetics,54,17
2020,jour.1034974,PLOS Genetics,54,15
2018,jour.1034974,PLOS Genetics,54,22
2019,jour.1297397,Twin Research and Human Genetics,53,23
2020,jour.1094974,Genetic Epidemiology,53,17
2020,jour.1297397,Twin Research and Human Genetics,53,19
2019,jour.1094974,Genetic Epidemiology,53,20
2018,jour.1297397,Twin Research and Human Genetics,53,11
2018,jour.1094974,Genetic Epidemiology,53,16
2019,jour.1284430,Wellcome Open Research,51,20
2018,jour.1284430,Wellcome Open Research,51,21
2020,jour.1284430,Wellcome Open Research,51,10
2019,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,50,18
2019,jour.1119411,Genetics in Medicine,50,19
2018,jour.1017790,American Journal of Clinical Nutrition,50,11
2020,jour.1017790,American Journal of Clinical Nutrition,50,18
2020,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,50,10
