Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country,Dimensions ID
30410203277,疫苗－整体方案,1208.0,2004,2004,National Natural Science Foundation of China,China,grant.8172033
620792,Engineering Inhalable Vaccines,26956.0,2017,2018,Natural Sciences and Engineering Research Council,Canada,grant.7715379
599115,Engineering Inhalable Vaccines,26403.0,2016,2017,Natural Sciences and Engineering Research Council,Canada,grant.6962629
251564,HIV Vaccine research,442366.0,2003,2007,National Health and Medical Research Council,Australia,grant.6723913
334174,HIV Vaccine Development,236067.0,2005,2009,National Health and Medical Research Council,Australia,grant.6722306
910292,Dengue virus vaccine.,130890.0,1991,1993,National Health and Medical Research Council,Australia,grant.6716312
578221,Engineering Inhalable Vaccines,27386.0,2015,2016,Natural Sciences and Engineering Research Council,Canada,grant.5526688
IC18980360,Schistosomiasis Vaccine Network.,0.0,1998,2000,European Commission,Belgium,grant.3733803
7621798,Pneumococcal Ribosomal Vaccines,46000.0,1977,1980,Directorate for Biological Sciences,United States,grant.3274273
255890,Rational vaccine design,7138.0,2003,2004,Natural Sciences and Engineering Research Council,Canada,grant.2936015
275254,Rational vaccine design,13447.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2863615
280679,Aquaticulture vaccines,23051.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2815666
295878,Aquaticulture vaccines,24761.0,2005,2006,Natural Sciences and Engineering Research Council,Canada,grant.2807651
468513,Vaccines for aquaculture,4363.0,2010,2011,Natural Sciences and Engineering Research Council,Canada,grant.2800991
Z01BC010456,Cancer Vaccine Development,0.0,2002,2002,National Cancer Institute,United States,grant.2710461
R44AI033256,CRYPTOSPORIDIUM RECOMBINANT VACCINES,0.0,1992,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2657659
R43AI040514,ANTIRETROVIAL DNA VACCINE,0.0,1996,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2640369
R43AI036810,VACCINE FOR LEISHMANIASIS,0.0,1996,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2640228
