investigator_details,id,associated_grant_ids,title,active_years
"[['Beryl A Koblin', 'PhD', 'Principal Investigator', 'New York Blood Center', 'New York Blood Center', 'grid.250415.7']]",NCT00150098,['grant.2485747'],"Project UNITY - A Randomized Trial of Enhanced HIV Risk Reduction and Vaccine Education Interventions in Reducing Sexual Risk and Increasing Vaccine Trial Knowledge Among HIV-negative, High-risk Women Who Use Non-injection Drugs","[2005, 2006, 2007, 2008, 2009, 2010]"
"[['Emmanuel B Walter', 'MPH, MD', 'Principal Investigator', 'Duke University Health System', 'Duke University Health System', 'grid.412100.6']]",NCT00570037,['grant.2692202'],Prevention of Influenza in Infants by Immunization of Their Contacts in the Household,"[2007, 2008]"
"[['Paul Reiter', 'PhD', 'Principal Investigator', 'Ohio State University Comprehensive Cancer Center', 'The Ohio State University', 'grid.261331.4']]",NCT02835755,"['grant.2438819', 'grant.4103659']",Increasing HPV Vaccine Coverage Among Young Adult Gay and Bisexual Men,"[2016, 2017]"
"[['Giuseppe Pantaleo', '', 'Study Chair', 'CTU Lausanne', '', ''], ['Pierre-Alexandre Bart', 'MD', 'Study Chair', 'Lausanne CRS', '', '']]",NCT00961883,['grant.2687787'],"A Phase 1b Clinical Trial to Evaluate the Safety and Immunogenicity of Heterologous Prime/Boost Vaccine Regimens (NYVAC-B/rAd5 vs. rAd5/NYVAC-B) in Healthy, HIV-1 Uninfected, Ad5 Seronegative Adult Participants",
"[['Connie Celum', 'MD', 'Study Chair', 'University of Washington', 'University of Washington', 'grid.34477.33'], ['Scott Hammer', 'MD', 'Study Chair', 'Columbia University', 'Columbia University', 'grid.21729.3f']]",NCT00029913,['grant.2687787'],"A Multi-Site Evaluation of Virologic, Immunologic, and Clinical Natural History of Participants Enrolled in Phase I and Phase II HIV-1 Vaccine Protocols or HIV-1 Vaccine Preparedness Cohorts Who Develop HIV-1 Infection Subsequent to Trial Enrollment","[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]"
"[['Maharaj K Bhan', 'MD', 'Principal Investigator', 'All India Institute of Medical Sciences, New Delhi', 'All India Institute of Medical Sciences', 'grid.413618.9'], ['Pratima Ray', 'PhD', 'Principal Investigator', 'All India Institute of Medical Sciences, New Delhi', 'All India Institute of Medical Sciences', 'grid.413618.9']]",NCT00280111,['grant.2687567'],Reactogenicity and Immunogenicity of Live Attenuated Indian Rotavirus Vaccine Candidate Strains 116E and I321 in Healthy Non-Malnourished Infants 8-12 Weeks of Age,[2005]
"[['Robert Bednarczyk', 'PhD', 'Principal Investigator', 'Emory University', 'Emory University', 'grid.189967.8'], ['Daniel Salmon', 'PhD, MPH', 'Principal Investigator', 'Johns Hopkins Bloomberg School of Public Health', 'Johns Hopkins University', 'grid.21107.35']]",NCT02898688,['grant.3858813'],"A Comprehensive Pre-Natal Intervention to Increase Vaccine Coverage (P3+): Practice, Provider, Patient Level Interventions","[2017, 2018, 2019]"
,NCT00358332,"['grant.2695778', 'grant.2687750']","Randomized, Controlled, Dose Escalation Phase I Clinical Trial to Evaluate the Safety and Immunogenicity of WRAIR's AMA-1 Malaria Vaccine (FMP2.1) Adjuvanted in GSKBio's AS02A Vs. Rabies Vaccine in 1-6 Year Old Children in Bandiagara, Mali","[2006, 2007]"
"[['Patricia Flynn', 'MD', 'Principal Investigator', 'Associate Member', '', ''], ['Julia L. Hurwitz', 'PhD', 'Principal Investigator', 'Member', '', '']]",NCT00051922,['grant.2435034'],Evaluation of the Safety of a Polyvalent Vaccinia Virus HIV-1 Envelope Recombinant Vaccine (PolyEnv1) in Healthy Adults,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]"
"[['Bonnie A. McGregor', 'PhD', 'Principal Investigator', 'Fred Hutchinson Cancer Research Center', 'Fred Hutchinson Cancer Research Center', 'grid.270240.3']]",NCT01048528,['grant.2605071'],Phase II Study of Stress Management and Vaccine Response Among Women at Risk for Breast Cancer,"[2009, 2010, 2011, 2012]"
"[['Lupe Salazar', '', 'Principal Investigator', 'Fred Hutch/University of Washington Cancer Consortium', 'University of Washington', 'grid.34477.33']]",NCT01922921,"['grant.2438816', 'grant.2695923']",Phase I/II Randomized Study of Combination Immunotherapy With or Without Polysaccharide Krestin (PSK®) Concurrently With a HER2 ICD Peptide-Based Vaccine in Patients With Stage IV Breast Cancer Receiving HER2-Targeted Monoclonal Antibody Therapy,
