supporting_grant_ids,doi,year,title
"['grant.2692259', 'grant.2692263', 'grant.2692258', 'grant.2692262', 'grant.2692260', 'grant.2692257', 'grant.2692261', 'grant.6377213', 'grant.6377724', 'grant.6375638']",10.1093/jpids/piz004,2019,"Evidence for Household Transmission of Rotavirus in the United States, 2011-2016."
"['grant.2705238', 'grant.2439027', 'grant.2695888', 'grant.6375638', 'grant.3536102', 'grant.3932678', 'grant.2692263', 'grant.2404787']",10.1128/jvi.01476-18,2018,Multiple introductions and antigenic mismatch with vaccines may contribute to increased predominance of G12P[8] rotaviruses in the United States
['grant.2692263'],10.1093/jpids/piy044,2018,"Evaluating Previous Antibiotic Use as a Risk Factor for Acute Gastroenteritis Among Children in Davidson County, Tennessee, 2014-2015."
"['grant.2705238', 'grant.2459345', 'grant.2692263', 'grant.6375638']",10.1097/inf.0000000000001908,2018,"Diarrheagenic Escherichia coli and Acute Gastroenteritis in Children in Davidson County, Tennessee, United States"
"['grant.2601507', 'grant.2682007', 'grant.2417353', 'grant.2666832', 'grant.2452358', 'grant.3859506', 'grant.2463574', 'grant.2425010', 'grant.3481297', 'grant.2675058', 'grant.3805581']",10.4049/jimmunol.1701248,2018,IL-10 Deficiency Reveals a Role for TLR2-Dependent Bystander Activation of T Cells in Lyme Arthritis
['grant.7456676'],10.1038/s41598-017-08021-x,2017,Conformational modulation of influenza virus hemagglutinin: characterization and in vivo efficacy of monomeric form
['grant.2393802'],10.1177/0033354917702851,2017,"Capture-Recapture: Using Existing Data Sources to Improve Perinatal Hepatitis B Surveillance, Philadelphia, 2008-2014"
"['grant.2442097', 'grant.3805581', 'grant.2682007', 'grant.2439546', 'grant.2425010', 'grant.2601507', 'grant.2355202', 'grant.2683763', 'grant.2417353', 'grant.2438988', 'grant.3481297']",10.1126/scitranslmed.aaf9044,2017,A member of the gut mycobiota modulates host purine metabolism exacerbating colitis in mice
['grant.2986898'],10.1016/j.apergo.2016.06.011,2017,Evaluation of the vibration attenuation properties of an air-inflated cushion with two different heavy machinery seats in multi-axis vibration environments including jolts
['grant.7456676'],10.3390/v8060157,2016,Antiviral Effects of Black Raspberry (Rubus coreanus) Seed and Its Gallic Acid against Influenza Virus Infection
"['grant.2705189', 'grant.4242204', 'grant.2459458', 'grant.2438822', 'grant.2424826', 'grant.2457186']",10.1016/j.immuni.2016.04.013,2016,Store-Operated Ca2+ Entry in Follicular T Cells Controls Humoral Immune Responses and Autoimmunity
