,name,surname,frequency,search_url
0,,,382,
1,Jaakko,Tuomilehto,13,https://www.google.com/search?q=Jaakko+Tuomilehto
2,James G.,Wilson,12,https://www.google.com/search?q=James%20G.+Wilson
3,M. Arfan,Ikram,12,https://www.google.com/search?q=M.%20Arfan+Ikram
4,Wei,Zhao,12,https://www.google.com/search?q=Wei+Zhao
5,Olle,Melander,11,https://www.google.com/search?q=Olle+Melander
6,James P.,Cook,11,https://www.google.com/search?q=James%20P.+Cook
7,Jouke-Jan,Hottenga,10,https://www.google.com/search?q=Jouke-Jan+Hottenga
8,Brooke,LaFlamme,10,https://www.google.com/search?q=Brooke+LaFlamme
9,Qiong,Yang,10,https://www.google.com/search?q=Qiong+Yang
10,Jie,Huang,10,https://www.google.com/search?q=Jie+Huang
11,Aarno,Palotie,10,https://www.google.com/search?q=Aarno+Palotie
12,Tõnu,Esko,9,https://www.google.com/search?q=T%C3%B5nu+Esko
13,Kari,Stefansson,9,https://www.google.com/search?q=Kari+Stefansson
14,Andre,Franke,9,https://www.google.com/search?q=Andre+Franke
15,Najaf,Amin,9,https://www.google.com/search?q=Najaf+Amin
16,Andrew P.,Morris,9,https://www.google.com/search?q=Andrew%20P.+Morris
17,Christian,Gieger,9,https://www.google.com/search?q=Christian+Gieger
18,Daniela,Toniolo,9,https://www.google.com/search?q=Daniela+Toniolo
19,Lars,Lind,9,https://www.google.com/search?q=Lars+Lind
20,Ying,Wu,9,https://www.google.com/search?q=Ying+Wu
21,Wolfgang,Lieb,9,https://www.google.com/search?q=Wolfgang+Lieb
22,Joanna M. M.,Howson,9,https://www.google.com/search?q=Joanna%20M.%20M.+Howson
23,Ganesh,Chauhan,8,https://www.google.com/search?q=Ganesh+Chauhan
24,Weihua,Zhang,8,https://www.google.com/search?q=Weihua+Zhang
25,André G.,Uitterlinden,8,https://www.google.com/search?q=Andr%C3%A9%20G.+Uitterlinden
26,Grant W.,Montgomery,8,https://www.google.com/search?q=Grant%20W.+Montgomery
27,Charles,Kooperberg,8,https://www.google.com/search?q=Charles+Kooperberg
28,Nicholas G.,Martin,8,https://www.google.com/search?q=Nicholas%20G.+Martin
29,David,Ellinghaus,8,https://www.google.com/search?q=David+Ellinghaus
30,Albert V.,Smith,8,https://www.google.com/search?q=Albert%20V.+Smith
31,Albert,Hofman,8,https://www.google.com/search?q=Albert+Hofman
32,Peter,Almgren,8,https://www.google.com/search?q=Peter+Almgren
33,Peter,Vollenweider,8,https://www.google.com/search?q=Peter+Vollenweider
34,Manuel,Mattheisen,8,https://www.google.com/search?q=Manuel+Mattheisen
35,Yongmei,Liu,8,https://www.google.com/search?q=Yongmei+Liu
36,Leslie A.,Lange,7,https://www.google.com/search?q=Leslie%20A.+Lange
37,Jose C.,Florez,7,https://www.google.com/search?q=Jose%20C.+Florez
38,Jonathan,Marten,7,https://www.google.com/search?q=Jonathan+Marten
39,Andres,Metspalu,7,https://www.google.com/search?q=Andres+Metspalu
40,Matthias W,Beckmann,7,https://www.google.com/search?q=Matthias%20W+Beckmann
41,Patrick F.,Sullivan,7,https://www.google.com/search?q=Patrick%20F.+Sullivan
42,Jin,Li,7,https://www.google.com/search?q=Jin+Li
43,Jie Jin,Wang,7,https://www.google.com/search?q=Jie%20Jin+Wang
44,Yii-Der Ida,Chen,6,https://www.google.com/search?q=Yii-Der%20Ida+Chen
45,Pamela,Sklar,6,https://www.google.com/search?q=Pamela+Sklar
46,Hermann,Brenner,6,https://www.google.com/search?q=Hermann+Brenner
47,Hiroko,Tanaka,6,https://www.google.com/search?q=Hiroko+Tanaka
48,J. Wouter,Jukema,6,https://www.google.com/search?q=J.%20Wouter+Jukema
49,James J,Lee,6,https://www.google.com/search?q=James%20J+Lee
50,,EPIC-CVD Consortium,6,https://www.google.com/search?q=+EPIC-CVD%20Consortium
51,Jing Hua,Zhao,6,https://www.google.com/search?q=Jing%20Hua+Zhao
52,Jian’an,Luan,6,https://www.google.com/search?q=Jian%E2%80%99an+Luan
53,Stacy,Steinberg,6,https://www.google.com/search?q=Stacy+Steinberg
54,Stephan,Ripke,6,https://www.google.com/search?q=Stephan+Ripke
55,Jonathan,Beesley,6,https://www.google.com/search?q=Jonathan+Beesley
56,Jun,Wang,6,https://www.google.com/search?q=Jun+Wang
57,Kenneth,Rice,6,https://www.google.com/search?q=Kenneth+Rice
58,David,Torrents,6,https://www.google.com/search?q=David+Torrents
59,Antonietta,Robino,6,https://www.google.com/search?q=Antonietta+Robino
60,Graciela,Delgado,6,https://www.google.com/search?q=Graciela+Delgado
61,Rajesh,Rawal,6,https://www.google.com/search?q=Rajesh+Rawal
62,Scott D.,Gordon,6,https://www.google.com/search?q=Scott%20D.+Gordon
63,Cornelia M.,van Duijn,6,https://www.google.com/search?q=Cornelia%20M.+van%20Duijn
64,Erik,Ingelsson,6,https://www.google.com/search?q=Erik+Ingelsson
65,Emily,Niemitz,6,https://www.google.com/search?q=Emily+Niemitz
66,,23andMe Research Team,6,https://www.google.com/search?q=+23andMe%20Research%20Team
67,Frank,Kee,6,https://www.google.com/search?q=Frank+Kee
68,Xiuqing,Guo,6,https://www.google.com/search?q=Xiuqing+Guo
69,Yunpeng,Wang,5,https://www.google.com/search?q=Yunpeng+Wang
70,Ya Xing,Wang,5,https://www.google.com/search?q=Ya%20Xing+Wang
71,Jeffrey,Haessler,5,https://www.google.com/search?q=Jeffrey+Haessler
72,Shuo,Li,5,https://www.google.com/search?q=Shuo+Li
73,,ExomeBP Consortium,5,https://www.google.com/search?q=+ExomeBP%20Consortium
74,Michiaki,Kubo,5,https://www.google.com/search?q=Michiaki+Kubo
75,Michael J.,Owen,5,https://www.google.com/search?q=Michael%20J.+Owen
76,Jianjun,Liu,5,https://www.google.com/search?q=Jianjun+Liu
77,Jie,Yao,5,https://www.google.com/search?q=Jie+Yao
78,Erwin P.,Bottinger,5,https://www.google.com/search?q=Erwin%20P.+Bottinger
79,Michael,Stumvoll,5,https://www.google.com/search?q=Michael+Stumvoll
80,Yuri,Milaneschi,5,https://www.google.com/search?q=Yuri+Milaneschi
81,Jing,Ma,5,https://www.google.com/search?q=Jing+Ma
82,Michael,Boehnke,5,https://www.google.com/search?q=Michael+Boehnke
83,Robert A.,Scott,5,https://www.google.com/search?q=Robert%20A.+Scott
84,Andrew R.,Wood,5,https://www.google.com/search?q=Andrew%20R.+Wood
85,James F.,Wilson,5,https://www.google.com/search?q=James%20F.+Wilson
86,Yingchang,Lu,5,https://www.google.com/search?q=Yingchang+Lu
87,Anita L.,DeStefano,5,https://www.google.com/search?q=Anita%20L.+DeStefano
88,John C.,Chambers,5,https://www.google.com/search?q=John%20C.+Chambers
89,Thomas F.,Vogt,5,https://www.google.com/search?q=Thomas%20F.+Vogt
90,Mark J.,Daly,5,https://www.google.com/search?q=Mark%20J.+Daly
91,Mark J,Daly,5,https://www.google.com/search?q=Mark%20J+Daly
92,Mark,Walker,5,https://www.google.com/search?q=Mark+Walker
93,Rainer,Malik,5,https://www.google.com/search?q=Rainer+Malik
94,Terho,Lehtimäki,5,https://www.google.com/search?q=Terho+Lehtim%C3%A4ki
95,Xin,Wang,5,https://www.google.com/search?q=Xin+Wang
96,,Understanding Society Scientific Group,5,https://www.google.com/search?q=+Understanding%20Society%20Scientific%20Group
97,Linda,Broer,5,https://www.google.com/search?q=Linda+Broer
98,Laura M.,Yerges-Armstrong,5,https://www.google.com/search?q=Laura%20M.+Yerges-Armstrong
99,Nadine,Tung,5,https://www.google.com/search?q=Nadine+Tung
100,Shuai,Wang,5,https://www.google.com/search?q=Shuai+Wang
101,Peter,Hillemanns,5,https://www.google.com/search?q=Peter+Hillemanns
102,Gerome,Breen,5,https://www.google.com/search?q=Gerome+Breen
103,Helena,Schmidt,5,https://www.google.com/search?q=Helena+Schmidt
104,Nick,Orr,5,https://www.google.com/search?q=Nick+Orr
105,Wei,Huang,5,https://www.google.com/search?q=Wei+Huang
106,Ole A.,Andreassen,5,https://www.google.com/search?q=Ole%20A.+Andreassen
107,Chunyu,Liu,5,https://www.google.com/search?q=Chunyu+Liu
108,Wei-Yu,Lin,5,https://www.google.com/search?q=Wei-Yu+Lin
109,Wei,Zhou,5,https://www.google.com/search?q=Wei+Zhou
110,Sara M,Willems,5,https://www.google.com/search?q=Sara%20M+Willems
111,Hreinn,Stefansson,5,https://www.google.com/search?q=Hreinn+Stefansson
112,Alisa K.,Manning,5,https://www.google.com/search?q=Alisa%20K.+Manning
