Filter type,Group,Name,ID
Funder,NSF-mine,Directorate for Biological Sciences (NSF BIO),grid.457768.f
Funder,NSF-mine,Directorate for Computer & Information Science & Engineering (NSF CISE),grid.457785.c
Funder,NSF-mine,Directorate for Education & Human Resources (NSF EHR),grid.457799.1
Funder,NSF-mine,Directorate for Engineering (NSF ENG),grid.457810.f
Funder,NSF-mine,Directorate for Geosciences (NSF GEO),grid.457836.b
Funder,NSF-mine,Directorate for Mathematical & Physical Sciences (NSF MPS),grid.457875.c
Funder,NSF-mine,"Directorate for Social, Behavioral & Economic Sciences (NSF SBE)",grid.457916.8
Funder,NSF-mine,Division of Advanced Cyberinfrastructure (NSF ACI),grid.457789.0
Funder,NSF-mine,"Division of Chemical, Bioengineering, Environmental, and Transport Systems (NSF CBET)",grid.457813.c
Funder,NSF-mine,"Division of Civil, Mechanical & Manufacturing Innovation (NSF CMMI)",grid.457814.b
Funder,NSF-mine,Division of Earth Sciences (NSF EAR),grid.457842.8
Funder,NSF-mine,Division of Engineering Education & Centers (NSF EEC),grid.457821.d
Funder,NSF-mine,Division of Environmental Biology (NSF DEB),grid.457772.4
Funder,NSF-mine,Division of Graduate Education (NSF DGE),grid.457801.f
Funder,NSF-mine,Division of Materials Research (NSF DMR),grid.457891.6
Funder,NSF-mine,Division of Mathematical Sciences (NSF DMS),grid.457892.5
Funder,NSF-mine,Division of Ocean Sciences (NSF OCE),grid.457845.f
Funder,NSF-mine,Division of Social and Economic Sciences (NSF SES),grid.457922.f
Funder,NSF-mine,National Science Board (NSF NSB),grid.457896.1
Funder,NSF-mine,National Science Foundation (NSF),grid.431093.c
Funder,NSF-mine,"Office of Budget, Finance and Award Management (NSF BFA)",grid.457758.c
Funder,NSF-mine,Office of Information and Resource Management (NSF OIRM),grid.457907.8
Funder,NSF-mine,Office of Inspector General (OIG),grid.473792.c
Funder,NSF-mine,Office of Polar Programs (NSF PLR),grid.457846.c
Funder,NSF-mine,Office of the Director (NSF OD),grid.457898.f
