researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.0723426172.10,77,Kari Stefansson,201.4935064935065,248.8181818181818,2021,
ur.01277776417.51,51,Unnur Thorsteinsdottir,131.86274509803923,201.66666666666666,2021,
ur.0641525362.39,42,Gonçalo R. Abecasis,223.71428571428572,167.8095238095238,2021,
ur.011675454737.09,39,Cornelia M van Duijn,216.10256410256412,303.1794871794872,2021,
ur.01264737414.70,39,Tõnu Esko,244.56410256410257,339.9230769230769,2021,
ur.012264440652.05,36,Jerome I. Rotter,176.55555555555554,175.63888888888889,2021,
ur.01247426430.47,36,Gudmar Thorleifsson,142.80555555555554,164.69444444444446,2021,
ur.01317433110.75,36,Caroline Hayward,256.1666666666667,311.1666666666667,2021,
ur.0637651205.48,35,Daniel F Gudbjartsson,124.05714285714286,211.14285714285714,2021,
ur.01174076626.46,34,André G Uitterlinden,228.05882352941177,274.55882352941177,2021,
ur.012745117217.03,33,Vilmundur Gudnason,228.12121212121212,214.12121212121212,2021,
ur.0610667722.81,33,Dorret I. Boomsma,274.06060606060606,347.1515151515151,2021,
ur.01104262534.26,33,Eric Boerwinkle,213.54545454545453,182.6060606060606,2021,
ur.014377465057.81,33,Benjamin M. Neale,443.54545454545456,178.84848484848484,2021,
ur.010700366647.17,32,Nicholas G. Martin,285.09375,357.46875,2021,
ur.0616003437.07,32,Claudia Langenberg,186.5,267.59375,2021,
ur.012061250547.34,31,Andrew P. Morris,235.8709677419355,208.67741935483872,2021,
ur.01220453202.22,31,Eleftheria Zeggini,153.5483870967742,228.96774193548387,2021,
ur.01367711150.31,31,John Danesh,195.51612903225808,155.19354838709677,2021,
ur.010065171457.69,30,Tamara B. Harris,198.0,183.66666666666666,2021,
ur.0760704165.88,30,Daniel I. Chasman,252.83333333333334,279.0,2021,
ur.01145654113.82,29,Erik Ingelsson,238.3448275862069,182.75862068965517,2021,
ur.013723776517.34,29,Nicholas J. Wareham,195.68965517241378,280.2758620689655,2021,
ur.01344404521.43,29,Lude Franke,243.24137931034483,210.20689655172413,2021,
ur.0654341265.88,29,Terho Lehtimäki,255.0,236.41379310344828,2021,
ur.016704245502.43,28,Mark I. McCarthy,169.14285714285714,214.0,2021,
ur.0773127601.34,28,Patrick Sulem,111.25,245.46428571428572,2021,
ur.010452447462.48,28,Kent D. Taylor,160.17857142857142,177.21428571428572,2021,
ur.015704744537.99,28,Douglas F. Easton,134.85714285714286,232.21428571428572,2021,
ur.0763727005.09,28,Bruce M. Psaty,194.10714285714286,178.64285714285714,2021,
ur.012266613364.42,28,Ruth J. F. Loos,215.46428571428572,174.60714285714286,2021,
ur.0767751267.74,27,Sekar Kathiresan,236.25925925925927,192.07407407407408,2021,
ur.0776707354.45,27,Jian’an Luan,184.55555555555554,285.85185185185185,2021,
ur.01273302464.25,27,M. Arfan Ikram,213.37037037037038,355.0740740740741,2021,
ur.01112257404.07,27,Albert V. Smith,258.037037037037,195.14814814814815,2020,
ur.01342616137.05,27,Alkes L Price,412.18518518518516,83.18518518518519,2021,
ur.01313145634.66,27,Andres Metspalu,325.6296296296296,299.18518518518516,2021,
ur.01132715706.47,26,Adam S. Butterworth,133.65384615384616,148.15384615384616,2021,
ur.016023162734.90,25,George Dedoussis,206.44,275.84,2021,
ur.013142315002.26,25,Paul M Ridker,240.24,296.68,2021,
ur.01305515027.20,25,Jaspal S. Kooner,213.48,205.16,2021,
ur.011517303117.07,25,Mark J. Daly,483.6,165.24,2021,
ur.0657532321.26,25,Yoichiro Kamatani,175.04,146.28,2021,
ur.0720114066.32,25,Reedik Mägi,259.76,306.56,2021,
ur.011026120037.74,25,Ian J Deary,196.32,231.84,2021,
ur.0767750151.59,25,David A Hinds,286.36,388.6,2021,
ur.01133572106.62,24,Stephan Ripke,557.9583333333334,304.4583333333333,2021,
ur.016323146432.35,24,Michiaki Kubo,217.58333333333334,111.91666666666667,2021,
ur.01175557647.16,24,Cristen J. Willer,148.875,157.45833333333334,2021,
ur.0611467633.09,24,Hreinn Stefansson,318.625,317.75,2021,
ur.01061331247.57,24,Michael Boehnke,242.58333333333334,146.29166666666666,2021,
ur.010403073577.20,24,Stephen J. Chanock,143.16666666666666,178.75,2021,
ur.016350427407.47,24,Torben Hansen,146.91666666666666,225.70833333333334,2021,
ur.01267360065.55,24,Olli T. Raitakari,200.08333333333334,259.0416666666667,2021,
ur.0606704334.54,24,Nilesh J Samani,194.70833333333334,177.58333333333334,2021,
ur.015301404517.88,24,Marjo-Riitta Jarvelin,184.08333333333334,245.95833333333334,2021,
ur.01052255145.04,24,Markku Laakso,207.16666666666666,182.45833333333334,2021,
ur.01217411134.93,23,Hilary K. Finucane,454.0,160.8695652173913,2021,
ur.01301232211.13,23,Ozren Polasek,156.17391304347825,266.17391304347825,2021,
ur.01005203363.26,23,Erwin P. Bottinger,220.17391304347825,185.43478260869566,2021,
ur.013236063322.64,23,Lenore J. Launer,225.43478260869566,265.30434782608694,2021,
ur.0657037321.56,23,Yukinori Okada,216.91304347826087,126.0,2021,
ur.01250033404.09,23,Cecilia M Lindgren,231.95652173913044,210.7826086956522,2021,
ur.01366065163.97,22,Gisli Masson,89.9090909090909,261.1363636363636,2021,
ur.01033044533.08,22,Peter M. Visscher,345.54545454545456,355.3181818181818,2021,
ur.015565463537.09,22,Stephen S. Rich,156.0,164.45454545454547,2021,
ur.01022740164.96,22,Veikko Salomaa,255.22727272727272,236.0909090909091,2021,
ur.014211634457.16,22,Po-Ru Loh,519.3181818181819,162.27272727272728,2021,
ur.010663343457.34,22,George Davey Smith,187.45454545454547,310.8181818181818,2021,
ur.0752407603.69,22,Alison M. Dunning,128.86363636363637,243.86363636363637,2021,
ur.011673465237.05,22,Christian Gieger,294.04545454545456,219.45454545454547,2019,
ur.0770340363.50,21,Danish Saleheen,222.23809523809524,180.0952380952381,2021,
ur.01056637062.63,21,Sandosh Padmanabhan,147.76190476190476,216.61904761904762,2021,
ur.01335473265.62,21,Mika Kähönen,193.52380952380952,194.66666666666666,2021,
ur.016126404017.45,21,Xiuqing Guo,159.66666666666666,189.38095238095238,2021,
ur.07773763167.28,21,Joanna M. M. Howson,162.8095238095238,181.95238095238096,2021,
ur.01367042426.41,21,Martina Müller-Nurasyid,152.57142857142858,160.47619047619048,2021,
ur.01117072553.44,21,Annette Peters,258.14285714285717,212.0952380952381,2021,
ur.0664172257.33,20,Børge G. Nordestgaard,145.0,187.8,2021,
ur.012470551052.55,20,Robert A Scott,152.6,222.4,2020,
ur.01226311004.18,20,Olle Melander,261.4,158.2,2021,
