aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name
Milan,3173435.0,Italy,IT,,"CheckmAb Srl, Milan, Italy","CheckmAb Srl, Milan, Italy",Lombardy,,pub.1144719271,,Susanna,Campagnoli
,,,,,"Department of Medical Sciences, San Giuseppe Hospital MultiMedica IRCCS, Milan, Italy",,,,pub.1144719271,,Olga,Torre
,,,,,"Department of Medical Sciences, San Giuseppe Hospital MultiMedica IRCCS, Milan, Italy",,,,pub.1144719271,,Sergio,Harari
Milan,3173435.0,Italy,IT,,"CheckmAb Srl, Milan, Italy","CheckmAb Srl, Milan, Italy",Lombardy,,pub.1144719271,,Renata,Grifantini
Konan,1858836.0,Japan,JP,,"Takii & Co. Ltd, Plant Breeding and Experiment Station, Konan Shiga, Japan","Takii & Co. Ltd, Plant Breeding and Experiment Station, Konan Shiga, Japan",Aichi,,pub.1144463791,,Shunsuke,Okamoto
Wageningen,2745088.0,Netherlands,NL,,"National Reference Centre of Plant Health, National Plant Protection Organization, Wageningen, the Netherlands","National Reference Centre of Plant Health, National Plant Protection Organization, Wageningen, the Netherlands",Gelderland,,pub.1144463791,,Carla,Oplaat
Rockville,4367175.0,United States,US,,"Keygene Inc., Rockville, MD, USA","Keygene Inc., Rockville, MD, USA",Maryland,US-MD,pub.1144463791,,Stephen E.,Schauer
Central,8223932.0,China,CN,,"Neonate Department, Sanmenxia Central Hospital, Sanmenxia, China","Neonate Department, Sanmenxia Central Hospital, Sanmenxia, China",Central and Western,,pub.1144435478,,Xiaobing,Wang
,,China,CN,,"Department of Pediatrics, Lushi County Renmin Hospital, Sanmenxia, China","Department of Pediatrics, Lushi County Renmin Hospital, Sanmenxia, China",,,pub.1144435478,,Shuchao,Li
Budapest,3054643.0,Hungary,HU,,"National Institute of Hematology and Infectious Diseases, Department for Pediatric Hematology and Hemopoietic Stem Cell Transplantation, Central Hospital of Southern Pest, Budapest, Hungary","National Institute of Hematology and Infectious Diseases, Department for Pediatric Hematology and Hemopoietic Stem Cell Transplantation, Central Hospital of Southern Pest, Budapest, Hungary",Budapest,,pub.1144435478,,Gergely,Krivan
Budapest,3054643.0,Hungary,HU,,"National Institute of Hematology and Infectious Diseases, Department for Pediatric Hematology and Hemopoietic Stem Cell Transplantation, Central Hospital of Southern Pest, Budapest, Hungary","National Institute of Hematology and Infectious Diseases, Department for Pediatric Hematology and Hemopoietic Stem Cell Transplantation, Central Hospital of Southern Pest, Budapest, Hungary",Budapest,,pub.1144435478,,Vera,Goda
,,,,,"Institute of Human Genetics, Helmholtz Zentrum München, German Research Center for Environmental Health, Neuherberg, Germany",,,,pub.1144361580,,Thomas,Meitinger
,,,,,"China National Genebank, BGI-Shenzhen, Shenzhen, China",,,,pub.1144359241,,Haorong,Lu
Hannover,2910831.0,Germany,DE,,"REBIRTH Cluster of Excellence, Hannover, Germany","REBIRTH Cluster of Excellence, Hannover, Germany",Lower Saxony,,pub.1143833644,,Anja,Beckers
Bordeaux,3031582.0,France,FR,,"CPDPN, Pôle mère enfant, Maison de Santé Protestante Bordeaux Bagatelle, Talence, France","CPDPN, Pôle mère enfant, Maison de Santé Protestante Bordeaux Bagatelle, Talence, France",Nouvelle-Aquitaine,,pub.1143833644,ur.01126167123.25,Sébastien,Moutton
Oberschleissheim,2859147.0,Germany,DE,,"Praxis Dr Patric SCHÖN, Oberschleissheim, Germany","Praxis Dr Patric SCHÖN, Oberschleissheim, Germany",Bavaria,,pub.1143833644,,Patric,Schoen
,,,,,"Service de Génétique, University of Bordeaux, MRGM, INSERM U1211, CHU de Bordeaux, Bordeaux, France",,,,pub.1143833644,,Caroline,Rooryck
Hannover,2910831.0,Germany,DE,,"REBIRTH Cluster of Excellence, Hannover, Germany","REBIRTH Cluster of Excellence, Hannover, Germany",Lower Saxony,,pub.1143833644,ur.01064567032.77,Achim,Gossler
La Jolla,5363943.0,United States,US,,"Actio Biosciences, La Jolla, CA, USA","Actio Biosciences, La Jolla, CA, USA",California,US-CA,pub.1143654495,ur.0623202014.31,Sunil,Sahdeo
La Jolla,5363943.0,United States,US,,"Actio Biosciences, La Jolla, CA, USA","Actio Biosciences, La Jolla, CA, USA",California,US-CA,pub.1143654495,ur.016355442363.55,David B.,Goldstein
Edinburgh,2650225.0,United Kingdom,GB,,"Euan MacDonald Centre for Motor Neurone Disease Research, Edinburgh, UK","Euan MacDonald Centre for Motor Neurone Disease Research, Edinburgh, UK",Scotland,,pub.1143651563,ur.01072750773.10,Siddharthan,Chandran
Edinburgh,2650225.0,United Kingdom,GB,,"Euan MacDonald Centre for Motor Neurone Disease Research, Edinburgh, UK","Euan MacDonald Centre for Motor Neurone Disease Research, Edinburgh, UK",Scotland,,pub.1143651563,ur.013232270443.55,Suvankar,Pal
,,,,,"Laboratory of Neurological Diseases, Department of Neuroscience, Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Milan, Italy",,,,pub.1143651563,ur.01003553116.20,Ettore,Beghi
,,,,,"Laboratory of Neurological Diseases, Department of Neuroscience, Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Milan, Italy",,,,pub.1143651563,ur.01051666316.73,Elisabetta,Pupillo
,,,,,"UMR 1253, Université de Tours, Inserm, Tours, France",,,,pub.1143651563,ur.0746316115.49,Patrick,Vourc’h
,,,,,"UMR 1253, Université de Tours, Inserm, Tours, France",,,,pub.1143651563,ur.01006670621.10,Philippe,Corcia
Limoges,2998286.0,France,FR,,"Centre de référence sur la SLA, CHRU de Limoges, Limoges, France","Centre de référence sur la SLA, CHRU de Limoges, Limoges, France",Nouvelle-Aquitaine,,pub.1143651563,ur.01235521544.26,Philippe,Couratier
Madrid,3117735.0,Spain,ES,,"ALS Unit, Hospital San Rafael, Madrid, Spain","ALS Unit, Hospital San Rafael, Madrid, Spain",Madrid,,pub.1143651563,ur.014603703760.09,Jesus S. Mora,Pardina
Milan,3173435.0,Italy,IT,,"Casa di Cura del Policlinico, Milan, Italy","Casa di Cura del Policlinico, Milan, Italy",Lombardy,,pub.1143651563,ur.014170451002.23,Giancarlo,Comi
Brescia,3181554.0,Italy,IT,,"Neurology Unit, ASST Valcamonica, Esine, Brescia Italy","Neurology Unit, ASST Valcamonica, Esine, Brescia Italy",Lombardy,,pub.1143651563,,Maria Sofia,Cotelli
,,,,,"IRCCS Istituto Neurologico Nazionale ‘C. Mondino’, Pavia, Italy",,,,pub.1143651563,,Mauro,Ceroni
,,,,,"IRCCS Istituto Neurologico Nazionale ‘C. Mondino’, Pavia, Italy",,,,pub.1143651563,,Luca,Diamanti
,,,,,"AO ‘San Gerardo’ di Monza and University of Milano-Bicocca, Milano-Bicocca, Italy",,,,pub.1143651563,,Carlo,Ferrarese
,,,,,"AO ‘San Gerardo’ di Monza and University of Milano-Bicocca, Milano-Bicocca, Italy",,,,pub.1143651563,ur.0777432016.22,Lucio,Tremolizzo
Orbassano,3171986.0,Italy,IT,,"Department of Neurology and Multiple Sclerosis Center, Azienda Ospedaliero Universitaria San Luigi, Orbassano, Italy","Department of Neurology and Multiple Sclerosis Center, Azienda Ospedaliero Universitaria San Luigi, Orbassano, Italy",Piedmont,,pub.1143651563,,Antonio,Bertolotto
,,,,,"Department of Neurology, Ospedale ‘Santa Croce’ di Moncalieri, ASL Torino 5, Moncaliari, Italy",,,,pub.1143651563,,Marco,De Mattei
Cirie,3178650.0,Italy,IT,,"Department of Neurology, Presidio Ospedaliero di Ciriè, ASL Torino 4, Ciriè, Italy","Department of Neurology, Presidio Ospedaliero di Ciriè, ASL Torino 4, Ciriè, Italy",Piedmont,,pub.1143651563,ur.010263661320.66,Diego Maria,Papurello
,,,,,"Department of Neurology, Ospedale ‘Sant’Andrea’ di Vercelli, ASL Vercelli, Vercelli, Italy",,,,pub.1143651563,ur.01165766340.84,Cristoforo,Comi
Alessandria,3183299.0,Italy,IT,,"Department of Neurology, Azienda Ospedaliera ‘Santi Antonio e Biagio’ di Alesssandria, Alessandria, Italy","Department of Neurology, Azienda Ospedaliera ‘Santi Antonio e Biagio’ di Alesssandria, Alessandria, Italy",Piedmont,,pub.1143651563,,Luigi,Ruiz
,,,,,"Department of Neurology, Ospedale ‘San Giacomo’ di Novi Ligure, ASL Alesssandria, Novi Ligure, Italy",,,,pub.1143651563,,Eugenia,Rota
,,,,,"Department of Neurology, Ospedale ‘Cardinal Massia’ di Asti, ASL Asti, Asti, Italy",,,,pub.1143651563,,Marco,Aguggia
,,,,,"Department of Neurology, Ospedale ‘Cardinal Massia’ di Asti, ASL Asti, Asti, Italy",,,,pub.1143651563,,Nicoletta,Di Vito
Cuneo,3177700.0,Italy,IT,,"Department of Neurology, Azienda Ospedaliera ‘Santa Croce e Carle’ di Cuneo, Cuneo, Italy","Department of Neurology, Azienda Ospedaliera ‘Santa Croce e Carle’ di Cuneo, Cuneo, Italy",Piedmont,,pub.1143651563,,Piero,Meineri
,,Italy,IT,,"Department of Neurology, Ospedale ‘Maggiore Santissima Annuziata’ di Savigliano, ASL Cuneo 1, Savigliano, Italy","Department of Neurology, Ospedale ‘Maggiore Santissima Annuziata’ di Savigliano, ASL Cuneo 1, Savigliano, Italy",,,pub.1143651563,,Paolo,Ghiglione
,,Italy,IT,,"Department of Anesthesiology, Ospedale ‘Maggiore Santissima Annuziata’ di Savigliano, ASL Cuneo 1, Savigliano, Italy","Department of Anesthesiology, Ospedale ‘Maggiore Santissima Annuziata’ di Savigliano, ASL Cuneo 1, Savigliano, Italy",,,pub.1143651563,,Nicola,Launaro
Cuneo,3177700.0,Italy,IT,,"Department of Neurology, Ospedale ‘Michele e Pietro Ferrero’ di Verduno, ASL Cuneo 2, Verduno, Italy","Department of Neurology, Ospedale ‘Michele e Pietro Ferrero’ di Verduno, ASL Cuneo 2, Verduno, Italy",Piedmont,,pub.1143651563,,Michele,Dotta
,,Italy,IT,,"Department of Neurology, Ospedale ‘Regina Montis Regalis’ di Mondovì, ASL Cuneo 1, Aosta, Italy","Department of Neurology, Ospedale ‘Regina Montis Regalis’ di Mondovì, ASL Cuneo 1, Aosta, Italy",,,pub.1143651563,,Alessia,Di Sapio
Aosta,3182997.0,Italy,IT,,"Department of Neurology, Ospedale Regionale ‘Umberto Parini’ di Aosta, Aosta, Italy","Department of Neurology, Ospedale Regionale ‘Umberto Parini’ di Aosta, Aosta, Italy",Aosta Valley,,pub.1143651563,,Guido,Giardini
Brindisi,3181528.0,Italy,IT,,"Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy","Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy",Apulia,,pub.1143651563,,Bruno,Passarella
Bari,3182351.0,Italy,IT,,"ASL Bari, San Paolo Hospital, Bari, Italy","ASL Bari, San Paolo Hospital, Bari, Italy",Apulia,,pub.1143651563,ur.01251300663.99,Stefano,Zoccolella
Brindisi,3181528.0,Italy,IT,,"Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy","Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy",Apulia,,pub.1143651563,,Cecilia,Nozzoli
Foggia,3176885.0,Italy,IT,,"Department of Neuroscience, United Hospital of Foggia, Foggia, Italy","Department of Neuroscience, United Hospital of Foggia, Foggia, Italy",Apulia,,pub.1143651563,ur.0620406012.77,Ciro,Mundi
Acquaviva delle Fonti,3183494.0,Italy,IT,,"Neurology Unit, Miulli Hospital, Acquaviva delle Fonti, Italy","Neurology Unit, Miulli Hospital, Acquaviva delle Fonti, Italy",Apulia,,pub.1143651563,ur.0612047227.34,Filippo,Tamma
Bari,3182351.0,Italy,IT,,"Unit of Neurology, ‘S. Giacomo’ Hospital, Bari, Italy","Unit of Neurology, ‘S. Giacomo’ Hospital, Bari, Italy",Apulia,,pub.1143651563,,Francesco,Valluzzi
Taranto,3165926.0,Italy,IT,,"Department of Neurology, ASL (Local Health Authority) at the ‘SS Annunziata’ Hospital, Taranto, Italy","Department of Neurology, ASL (Local Health Authority) at the ‘SS Annunziata’ Hospital, Taranto, Italy",Apulia,,pub.1143651563,,Giovanni,Boero
Brindisi,3181528.0,Italy,IT,,"Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy","Neurological Department, Antonio Perrino’s Hospital, Brindisi, Italy",Apulia,,pub.1143651563,,Augusto,Rini
Moscow,524901.0,Russia,RU,,"Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia","Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia",Moscow,,pub.1143651563,ur.01206476673.45,Lev,Brylev
Moscow,524901.0,Russia,RU,,"Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia","Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia",Moscow,,pub.1143651563,ur.0742114725.56,Vera,Fominykh
Saint Petersburg,498817.0,Russia,RU,,"ALS-Care Center, ‘GAOORDI’, Medical Clinic of the St. Petersburg, St. Petersburg, Russia","ALS-Care Center, ‘GAOORDI’, Medical Clinic of the St. Petersburg, St. Petersburg, Russia",St.-Petersburg,,pub.1143651563,ur.010040646175.00,Vera,Demeshonok
