year,journal.id,journal.title,total,total_year
2021,jour.1293558,bioRxiv,1811,320
2018,jour.1293558,bioRxiv,1811,497
2020,jour.1293558,bioRxiv,1811,403
2019,jour.1293558,bioRxiv,1811,591
2019,jour.1369542,medRxiv,994,65
2020,jour.1369542,medRxiv,994,442
2021,jour.1369542,medRxiv,994,487
2021,jour.1043282,Nature Communications,566,132
2020,jour.1043282,Nature Communications,566,166
2018,jour.1043282,Nature Communications,566,130
2019,jour.1043282,Nature Communications,566,138
2020,jour.1101548,European Neuropsychopharmacology,555,9
2018,jour.1101548,European Neuropsychopharmacology,555,6
2021,jour.1101548,European Neuropsychopharmacology,555,88
2019,jour.1101548,European Neuropsychopharmacology,555,452
2020,jour.1045337,Scientific Reports,455,118
2019,jour.1045337,Scientific Reports,455,109
2018,jour.1045337,Scientific Reports,455,110
2021,jour.1045337,Scientific Reports,455,118
2018,jour.1037553,PLOS ONE,344,120
2020,jour.1037553,PLOS ONE,344,72
2021,jour.1037553,PLOS ONE,344,72
2019,jour.1037553,PLOS ONE,344,80
2021,jour.1091325,European Heart Journal,306,50
2020,jour.1091325,European Heart Journal,306,84
2019,jour.1091325,European Heart Journal,306,81
2018,jour.1091325,European Heart Journal,306,91
2019,jour.1009570,Circulation,297,76
2021,jour.1009570,Circulation,297,43
2018,jour.1009570,Circulation,297,72
2020,jour.1009570,Circulation,297,106
2018,jour.1034467,Alzheimer's & Dementia,278,18
2020,jour.1034467,Alzheimer's & Dementia,278,129
2021,jour.1034467,Alzheimer's & Dementia,278,54
2019,jour.1034467,Alzheimer's & Dementia,278,77
2021,jour.1017423,Diabetes,178,41
2018,jour.1017423,Diabetes,178,44
2019,jour.1017423,Diabetes,178,47
2020,jour.1017423,Diabetes,178,46
2020,jour.1087544,International Journal of Epidemiology,174,36
2021,jour.1087544,International Journal of Epidemiology,174,54
2019,jour.1087544,International Journal of Epidemiology,174,44
2018,jour.1087544,International Journal of Epidemiology,174,40
2020,jour.1358156,International Journal of Cancer,171,34
2021,jour.1358156,International Journal of Cancer,171,25
2018,jour.1358156,International Journal of Cancer,171,46
2019,jour.1358156,International Journal of Cancer,171,66
2018,jour.1093746,Journal of the American College of Cardiology,170,35
2019,jour.1093746,Journal of the American College of Cardiology,170,53
2021,jour.1093746,Journal of the American College of Cardiology,170,32
2020,jour.1093746,Journal of the American College of Cardiology,170,50
2018,jour.1045271,Translational Psychiatry,165,32
2020,jour.1045271,Translational Psychiatry,165,38
2021,jour.1045271,Translational Psychiatry,165,56
2019,jour.1045271,Translational Psychiatry,165,39
2019,jour.1017012,American Journal of Human Genetics,163,49
2020,jour.1017012,American Journal of Human Genetics,163,41
2021,jour.1017012,American Journal of Human Genetics,163,41
2018,jour.1017012,American Journal of Human Genetics,163,32
2018,jour.1017122,Geburtshilfe und Frauenheilkunde,159,66
2019,jour.1017122,Geburtshilfe und Frauenheilkunde,159,24
2020,jour.1017122,Geburtshilfe und Frauenheilkunde,159,53
2021,jour.1017122,Geburtshilfe und Frauenheilkunde,159,16
2021,jour.1276748,SSRN Electronic Journal,158,52
2019,jour.1276748,SSRN Electronic Journal,158,37
2018,jour.1276748,SSRN Electronic Journal,158,27
2020,jour.1276748,SSRN Electronic Journal,158,42
2018,jour.1399744,Biological Psychiatry,156,45
2019,jour.1399744,Biological Psychiatry,156,38
2020,jour.1399744,Biological Psychiatry,156,36
2021,jour.1399744,Biological Psychiatry,156,37
2019,jour.1013420,Atherosclerosis,155,46
2021,jour.1013420,Atherosclerosis,155,42
2018,jour.1013420,Atherosclerosis,155,36
2020,jour.1013420,Atherosclerosis,155,31
2019,jour.1018957,Nature,151,29
2021,jour.1018957,Nature,151,43
2018,jour.1018957,Nature,151,30
2020,jour.1018957,Nature,151,49
2021,jour.1102504,Human Molecular Genetics,140,44
2019,jour.1102504,Human Molecular Genetics,140,30
2021,jour.1380788,Research Square,140,33
2020,jour.1380788,Research Square,140,90
