,name,position,score,frequency,pubid,title,year
0,damage,1,1.0,8,pub.1052975254,,2016
0,CORRECTION OF DEFLECTIONS,1,1.0,1,pub.1052519447,,2016
1,weight,2,0.5,1,pub.1052519447,,2016
0,pneumatic actuators,1,1.0,1,pub.1094181769,,2016
1,actuators,2,0.97,6,pub.1094181769,,2016
2,advantages,3,0.95,17,pub.1094181769,,2016
3,low heat generation,4,0.92,1,pub.1094181769,,2016
4,heat generation,5,0.89,1,pub.1094181769,,2016
5,generation,6,0.86,14,pub.1094181769,,2016
6,power ratio,7,0.84,1,pub.1094181769,,2016
7,ratio,8,0.81,10,pub.1094181769,,2016
8,low cost,9,0.78,2,pub.1094181769,,2016
9,cost,10,0.76,5,pub.1094181769,,2016
10,disadvantages,11,0.73,2,pub.1094181769,,2016
11,time delay,12,0.7,1,pub.1094181769,,2016
12,delay,13,0.68,1,pub.1094181769,,2016
13,nonlinearity,14,0.65,4,pub.1094181769,,2016
14,pressure,15,0.62,7,pub.1094181769,,2016
15,feedback bandwidth,16,0.59,1,pub.1094181769,,2016
16,bandwidth,17,0.57,1,pub.1094181769,,2016
17,time delay problem,18,0.54,1,pub.1094181769,,2016
18,delay problem,19,0.51,1,pub.1094181769,,2016
19,problem,20,0.49,13,pub.1094181769,,2016
20,paper,21,0.46,30,pub.1094181769,,2016
21,Smith predictor,22,0.43,1,pub.1094181769,,2016
22,implements,23,0.41,1,pub.1094181769,,2016
23,effectiveness,24,0.38,8,pub.1094181769,,2016
24,control system,25,0.35,8,pub.1094181769,,2016
26,frequency,27,0.3,10,pub.1094181769,,2016
27,time domain experiments,28,0.27,1,pub.1094181769,,2016
28,domain experiments,29,0.24,1,pub.1094181769,,2016
29,experiments,30,0.22,31,pub.1094181769,,2016
30,trajectory tracking control,31,0.19,1,pub.1094181769,,2016
31,tracking control,32,0.16,5,pub.1094181769,,2016
32,control,33,0.14,39,pub.1094181769,,2016
33,pneumatics,34,0.11,1,pub.1094181769,,2016
34,time delay compensation,35,0.08,1,pub.1094181769,,2016
35,delay compensation,36,0.05,1,pub.1094181769,,2016
36,compensation,37,0.03,1,pub.1094181769,,2016
0,difficulties,1,1.0,3,pub.1045326416,,2016
1,criteria,2,0.94,5,pub.1045326416,,2016
2,expansion,3,0.89,2,pub.1045326416,,2016
3,important criteria,4,0.83,1,pub.1045326416,,2016
4,method,5,0.78,84,pub.1045326416,,2016
5,implementation,6,0.72,4,pub.1045326416,,2016
6,analysis,7,0.67,19,pub.1045326416,,2016
7,multiple parameters,8,0.61,1,pub.1045326416,,2016
8,parameters,9,0.56,9,pub.1045326416,,2016
9,utility,10,0.5,1,pub.1045326416,,2016
10,evaluation method,11,0.44,1,pub.1045326416,,2016
11,model,12,0.39,23,pub.1045326416,,2016
12,clusters,13,0.33,1,pub.1045326416,,2016
13,results,14,0.28,56,pub.1045326416,,2016
14,definition,15,0.22,1,pub.1045326416,,2016
15,conditions,16,0.17,25,pub.1045326416,,2016
16,parametric analysis,17,0.11,1,pub.1045326416,,2016
17,control,18,0.06,39,pub.1045326416,,2016
0,treatment,1,1.0,2,pub.1053677470,,2016
1,blood clot formation,2,0.97,1,pub.1053677470,,2016
2,clot formation,3,0.94,1,pub.1053677470,,2016
3,stimulation,4,0.9,3,pub.1053677470,,2016
4,platelet aggregation,5,0.87,1,pub.1053677470,,2016
5,coagulation factors,6,0.84,1,pub.1053677470,,2016
6,factors,7,0.81,2,pub.1053677470,,2016
7,appearance,8,0.77,1,pub.1053677470,,2016
8,membrane-like structure,9,0.74,1,pub.1053677470,,2016
9,clots,10,0.71,1,pub.1053677470,,2016
10,previous reports,11,0.68,1,pub.1053677470,,2016
11,report,12,0.65,2,pub.1053677470,,2016
12,coagulation,13,0.61,1,pub.1053677470,,2016
13,LTP treatment,14,0.58,1,pub.1053677470,,2016
14,instrument,15,0.55,3,pub.1053677470,,2016
15,red blood cells,16,0.52,1,pub.1053677470,,2016
16,blood cells,17,0.48,1,pub.1053677470,,2016
17,cells,18,0.45,5,pub.1053677470,,2016
18,whole blood,19,0.42,1,pub.1053677470,,2016
19,blood,20,0.39,1,pub.1053677470,,2016
20,phosphate-buffered saline,21,0.35,1,pub.1053677470,,2016
21,saline,22,0.32,1,pub.1053677470,,2016
22,hemolysis,23,0.29,1,pub.1053677470,,2016
23,decrease,24,0.26,4,pub.1053677470,,2016
24,target,25,0.23,3,pub.1053677470,,2016
25,plasma flares,26,0.19,1,pub.1053677470,,2016
26,flares,27,0.16,3,pub.1053677470,,2016
27,earlier studies,28,0.13,1,pub.1053677470,,2016
28,study,29,0.1,22,pub.1053677470,,2016
29,presence,30,0.06,4,pub.1053677470,,2016
30,absence,31,0.03,1,pub.1053677470,,2016
0,three-dimensional structured illumination microscopy,1,1.0,1,pub.1040959371,,2016
1,structured illumination microscopy,2,0.97,2,pub.1040959371,,2016
2,illumination microscopy,3,0.94,2,pub.1040959371,,2016
3,microscopy,4,0.92,22,pub.1040959371,,2016
4,frequency cutoff,5,0.89,1,pub.1040959371,,2016
5,cutoff,6,0.86,1,pub.1040959371,,2016
6,conventional microscopy,7,0.83,1,pub.1040959371,,2016
7,optical resolution,8,0.81,5,pub.1040959371,,2016
8,resolution,9,0.78,18,pub.1040959371,,2016
9,nonlinearity,10,0.75,4,pub.1040959371,,2016
10,nonlinear structured illumination microscopy,11,0.72,2,pub.1040959371,,2016
11,depletion effect,12,0.69,1,pub.1040959371,,2016
12,effect,13,0.67,49,pub.1040959371,,2016
13,excitation patterns,14,0.64,1,pub.1040959371,,2016
14,illumination pattern,15,0.61,1,pub.1040959371,,2016
15,lateral pitch,16,0.58,1,pub.1040959371,,2016
16,pitch,17,0.56,5,pub.1040959371,,2016
17,orientation,18,0.53,5,pub.1040959371,,2016
18,theoretical analysis,19,0.5,4,pub.1040959371,,2016
19,STED effect,20,0.47,2,pub.1040959371,,2016
20,harmonics,21,0.44,5,pub.1040959371,,2016
21,phase difference,22,0.42,3,pub.1040959371,,2016
22,structured illumination,23,0.39,2,pub.1040959371,,2016
23,illumination,24,0.36,5,pub.1040959371,,2016
24,background fluorescence,25,0.33,1,pub.1040959371,,2016
25,fluorescence,26,0.31,2,pub.1040959371,,2016
26,contrast,27,0.28,7,pub.1040959371,,2016
27,resolution improvement,28,0.25,1,pub.1040959371,,2016
28,fluorescence reduction,29,0.22,1,pub.1040959371,,2016
29,feasibility study,30,0.19,5,pub.1040959371,,2016
30,available lasers,31,0.17,2,pub.1040959371,,2016
31,laser,32,0.14,16,pub.1040959371,,2016
32,theoretical assessment,33,0.11,2,pub.1040959371,,2016
33,resolution enhancement,34,0.08,1,pub.1040959371,,2016
34,enhancement,35,0.06,7,pub.1040959371,,2016
35,emission depletion,36,0.03,2,pub.1040959371,,2016
0,reconstruction,1,1.0,2,pub.1007649719,,2016
0,high-precision stage,1,1.0,7,pub.1003859250,,2016
1,high-precision control,2,0.97,1,pub.1003859250,,2016
2,control,3,0.95,39,pub.1003859250,,2016
3,production throughput,4,0.92,1,pub.1003859250,,2016
4,throughput,5,0.9,6,pub.1003859250,,2016
5,quality,6,0.87,7,pub.1003859250,,2016
6,motion speed,7,0.85,1,pub.1003859250,,2016
7,speed,8,0.82,6,pub.1003859250,,2016
8,accuracy,9,0.79,31,pub.1003859250,,2016
9,limit,10,0.77,5,pub.1003859250,,2016
10,near future,11,0.74,1,pub.1003859250,,2016
11,structure,12,0.72,33,pub.1003859250,,2016
12,fine stage,13,0.69,2,pub.1003859250,,2016
13,coarse stage,14,0.67,2,pub.1003859250,,2016
14,dual stage,15,0.64,1,pub.1003859250,,2016
15,paper,16,0.62,30,pub.1003859250,,2016
16,novel control system design,17,0.59,1,pub.1003859250,,2016
17,control system design,18,0.56,1,pub.1003859250,,2016
18,system design,19,0.54,1,pub.1003859250,,2016
19,design,20,0.51,13,pub.1003859250,,2016
20,control method,21,0.49,6,pub.1003859250,,2016
21,method,22,0.46,84,pub.1003859250,,2016
22,time,23,0.44,22,pub.1003859250,,2016
23,final state control,24,0.41,1,pub.1003859250,,2016
24,applications,25,0.38,27,pub.1003859250,,2016
25,hard disk drives,26,0.36,3,pub.1003859250,,2016
26,disk drives,27,0.33,4,pub.1003859250,,2016
27,drive,28,0.31,6,pub.1003859250,,2016
28,initial state,29,0.28,1,pub.1003859250,,2016
29,initial position,30,0.26,2,pub.1003859250,,2016
30,position,31,0.23,12,pub.1003859250,,2016
31,velocity,32,0.21,2,pub.1003859250,,2016
32,acceleration,33,0.18,1,pub.1003859250,,2016
33,simulations,34,0.15,26,pub.1003859250,,2016
34,experiments,35,0.13,31,pub.1003859250,,2016
35,effectiveness,36,0.1,8,pub.1003859250,,2016
36,settling time,37,0.08,1,pub.1003859250,,2016
37,fines,38,0.05,1,pub.1003859250,,2016
38,coarse part,39,0.03,2,pub.1003859250,,2016
0,paper,1,1.0,30,pub.1005098094,,2016
1,use,2,0.94,3,pub.1005098094,,2016
2,environment map,3,0.88,1,pub.1005098094,,2016
3,maps,4,0.82,1,pub.1005098094,,2016
4,support tool,5,0.76,1,pub.1005098094,,2016
5,tool,6,0.71,11,pub.1005098094,,2016
6,target object,7,0.65,1,pub.1005098094,,2016
7,objects,8,0.59,9,pub.1005098094,,2016
8,method,9,0.53,84,pub.1005098094,,2016
9,indoor scenes,10,0.47,1,pub.1005098094,,2016
10,scene,11,0.41,2,pub.1005098094,,2016
11,mapping,12,0.35,3,pub.1005098094,,2016
12,information,13,0.29,6,pub.1005098094,,2016
13,room,14,0.24,3,pub.1005098094,,2016
14,target position,15,0.18,1,pub.1005098094,,2016
15,environment,16,0.12,8,pub.1005098094,,2016
16,ground truth,17,0.06,1,pub.1005098094,,2016
0,bonding systems,1,1.0,5,pub.1093930512,,2016
2,circuit fabrication,3,0.95,4,pub.1093930512,,2016
3,fabrication,4,0.92,23,pub.1093930512,,2016
4,methodology,5,0.89,7,pub.1093930512,,2016
5,Cu-Cu bonding,6,0.86,1,pub.1093930512,,2016
6,bonding,7,0.84,6,pub.1093930512,,2016
7,temperature,8,0.81,14,pub.1093930512,,2016
8,pressure controllability,9,0.78,1,pub.1093930512,,2016
9,controllability,10,0.76,1,pub.1093930512,,2016
10,key factor,11,0.73,2,pub.1093930512,,2016
11,overlay accuracy,12,0.7,4,pub.1093930512,,2016
12,accuracy,13,0.68,31,pub.1093930512,,2016
13,bonding quality,14,0.65,1,pub.1093930512,,2016
14,quality,15,0.62,7,pub.1093930512,,2016
15,profile control system,16,0.59,3,pub.1093930512,,2016
16,control system,17,0.57,8,pub.1093930512,,2016
17,thermocompression bonding process,18,0.54,3,pub.1093930512,,2016
18,bonding process,19,0.51,4,pub.1093930512,,2016
20,temperature characteristics,21,0.46,1,pub.1093930512,,2016
21,characteristics,22,0.43,11,pub.1093930512,,2016
22,units,23,0.41,2,pub.1093930512,,2016
23,loop model,24,0.38,1,pub.1093930512,,2016
24,model,25,0.35,23,pub.1093930512,,2016
25,module,26,0.32,2,pub.1093930512,,2016
26,temperature control circuit,27,0.3,1,pub.1093930512,,2016
27,control circuit,28,0.27,1,pub.1093930512,,2016
28,circuit,29,0.24,8,pub.1093930512,,2016
29,control algorithm,30,0.22,1,pub.1093930512,,2016
30,algorithm,31,0.19,8,pub.1093930512,,2016
31,bonding tool,32,0.16,1,pub.1093930512,,2016
32,tool,33,0.14,11,pub.1093930512,,2016
33,experimental results,34,0.11,20,pub.1093930512,,2016
34,results,35,0.08,56,pub.1093930512,,2016
35,permanent bonding,36,0.05,4,pub.1093930512,,2016
36,bonding methodology,37,0.03,1,pub.1093930512,,2016
0,control,1,1.0,39,pub.1051820596,,2016
1,exposure,2,0.5,8,pub.1051820596,,2016
0,study,1,1.0,22,pub.1032704105,,2016
1,scanner,2,0.5,26,pub.1032704105,,2016
0,years,1,1.0,3,pub.1029654537,,2016
0,optical lithography,1,1.0,4,pub.1048313305,,2016
1,lithography,2,0.97,36,pub.1048313305,,2016
2,exposure tool,3,0.94,7,pub.1048313305,,2016
3,fine patterns,4,0.91,3,pub.1048313305,,2016
4,pattern width,5,0.88,2,pub.1048313305,,2016
5,width,6,0.84,5,pub.1048313305,,2016
6,accurate theoretical methods,7,0.81,1,pub.1048313305,,2016
7,theoretical methods,8,0.78,1,pub.1048313305,,2016
8,method,9,0.75,84,pub.1048313305,,2016
9,values,10,0.72,13,pub.1048313305,,2016
10,diffraction,11,0.69,5,pub.1048313305,,2016
11,objects,12,0.66,9,pub.1048313305,,2016
12,image plane,13,0.62,2,pub.1048313305,,2016
13,plane,14,0.59,6,pub.1048313305,,2016
14,imaging theory,15,0.56,1,pub.1048313305,,2016
15,theory,16,0.53,2,pub.1048313305,,2016
16,phenomenon,17,0.5,6,pub.1048313305,,2016
17,plane wave,18,0.47,1,pub.1048313305,,2016
18,waves,19,0.44,6,pub.1048313305,,2016
19,images,20,0.41,28,pub.1048313305,,2016
20,detail,21,0.38,2,pub.1048313305,,2016
21,aerial image intensity,22,0.34,1,pub.1048313305,,2016
22,image intensity,23,0.31,1,pub.1048313305,,2016
23,intensity,24,0.28,3,pub.1048313305,,2016
24,one-dimensional patterns,25,0.25,1,pub.1048313305,,2016
25,theoretical considerations,26,0.22,1,pub.1048313305,,2016
26,theoretical study,27,0.19,1,pub.1048313305,,2016
27,resist,28,0.16,6,pub.1048313305,,2016
28,projection optics,29,0.12,5,pub.1048313305,,2016
29,optics,30,0.09,30,pub.1048313305,,2016
30,experimental verification,31,0.06,2,pub.1048313305,,2016
31,verification,32,0.03,2,pub.1048313305,,2016
0,tumor invasion,1,1.0,1,pub.1015368898,,2016
1,invasion,2,0.97,1,pub.1015368898,,2016
2,cancer cells,3,0.94,2,pub.1015368898,,2016
3,cells,4,0.91,5,pub.1015368898,,2016
4,extracellular matrix,5,0.88,1,pub.1015368898,,2016
5,cancer-associated fibroblasts,6,0.85,1,pub.1015368898,,2016
6,fibroblasts,7,0.82,1,pub.1015368898,,2016
7,heterogeneous population,8,0.79,1,pub.1015368898,,2016
8,population,9,0.76,2,pub.1015368898,,2016
9,study,10,0.74,22,pub.1015368898,,2016
10,cancer cell invasion,11,0.71,1,pub.1015368898,,2016
11,cell invasion,12,0.68,1,pub.1015368898,,2016
12,clones,13,0.65,1,pub.1015368898,,2016
13,primary cultures,14,0.62,1,pub.1015368898,,2016
14,culture,15,0.59,4,pub.1015368898,,2016
15,lung adenocarcinoma patients,16,0.56,1,pub.1015368898,,2016
16,adenocarcinoma patients,17,0.53,1,pub.1015368898,,2016
17,patients,18,0.5,1,pub.1015368898,,2016
18,co-culture model,19,0.47,1,pub.1015368898,,2016
19,correlation,20,0.44,5,pub.1015368898,,2016
20,number,21,0.41,6,pub.1015368898,,2016
21,remodeling areas,22,0.38,1,pub.1015368898,,2016
22,A549 lung adenocarcinoma cells,23,0.35,1,pub.1015368898,,2016
23,lung adenocarcinoma cells,24,0.32,1,pub.1015368898,,2016
24,adenocarcinoma cells,25,0.29,1,pub.1015368898,,2016
25,Case 1,26,0.26,1,pub.1015368898,,2016
26,contrast,27,0.24,7,pub.1015368898,,2016
27,Case 3,28,0.21,1,pub.1015368898,,2016
28,factors,29,0.18,2,pub.1015368898,,2016
29,findings,30,0.15,1,pub.1015368898,,2016
30,types,31,0.12,1,pub.1015368898,,2016
31,extracellular matrix remodeling,32,0.09,1,pub.1015368898,,2016
32,matrix remodeling,33,0.06,1,pub.1015368898,,2016
33,remodeling,34,0.03,1,pub.1015368898,,2016
0,conventional rotary kiln,1,1.0,1,pub.1047874733,,2016
1,rotary kiln,2,0.96,1,pub.1047874733,,2016
2,kiln,3,0.93,1,pub.1047874733,,2016
3,sandy alumina,4,0.89,1,pub.1047874733,,2016
4,alumina,5,0.85,2,pub.1047874733,,2016
5,potlines,6,0.81,1,pub.1047874733,,2016
6,oil,7,0.78,4,pub.1047874733,,2016
7,ton of alumina,8,0.74,1,pub.1047874733,,2016
8,tons,9,0.7,1,pub.1047874733,,2016
9,work,10,0.67,4,pub.1047874733,,2016
10,flash dryer,11,0.63,1,pub.1047874733,,2016
11,dryer,12,0.59,1,pub.1047874733,,2016
12,planetary coolers,13,0.56,1,pub.1047874733,,2016
13,cooler,14,0.52,2,pub.1047874733,,2016
14,improvement,15,0.48,14,pub.1047874733,,2016
15,capacity,16,0.44,2,pub.1047874733,,2016
16,oil consumption,17,0.41,1,pub.1047874733,,2016
17,consumption,18,0.37,2,pub.1047874733,,2016
18,flame,19,0.33,1,pub.1047874733,,2016
19,special burner,20,0.3,1,pub.1047874733,,2016
20,burner,21,0.26,1,pub.1047874733,,2016
21,effective heat recovery,22,0.22,1,pub.1047874733,,2016
22,heat recovery,23,0.19,1,pub.1047874733,,2016
23,recovery,24,0.15,2,pub.1047874733,,2016
24,quality,25,0.11,7,pub.1047874733,,2016
25,conversion,26,0.07,3,pub.1047874733,,2016
26,calciner,27,0.04,1,pub.1047874733,,2016
0,project,1,1.0,1,pub.1007545359,,2016
1,technique,2,0.94,39,pub.1007545359,,2016
2,D.C. Casting,3,0.88,1,pub.1007545359,,2016
3,casting,4,0.82,1,pub.1007545359,,2016
4,extrusion billets,5,0.76,1,pub.1007545359,,2016
5,billet,6,0.71,1,pub.1007545359,,2016
6,productivity,7,0.65,1,pub.1007545359,,2016
7,respect,8,0.59,5,pub.1007545359,,2016
8,large demand,9,0.53,1,pub.1007545359,,2016
9,demand,10,0.47,3,pub.1007545359,,2016
10,extruded material,11,0.41,1,pub.1007545359,,2016
11,materials,12,0.35,15,pub.1007545359,,2016
12,anticipated increase,13,0.29,1,pub.1007545359,,2016
13,increase,14,0.24,5,pub.1007545359,,2016
14,expense,15,0.18,1,pub.1007545359,,2016
15,extrusion ingots,16,0.12,1,pub.1007545359,,2016
16,ingots,17,0.06,1,pub.1007545359,,2016
0,screen,1,1.0,3,pub.1013098980,,2016
1,humans,2,0.83,3,pub.1013098980,,2016
2,touching,3,0.67,1,pub.1013098980,,2016
3,people,4,0.5,1,pub.1013098980,,2016
4,disability,5,0.33,1,pub.1013098980,,2016
5,weakness,6,0.17,1,pub.1013098980,,2016
0,bonding systems,1,1.0,5,pub.1061597118,,2015
2,IC fabrication,3,0.9,1,pub.1061597118,,2015
