,geonamesId,name,count,lat,lng,countryCode,countryName
0,2643743,London,468,51.50853,-0.12574,GB,United Kingdom
1,2988507,Paris,293,48.85341,2.3488,FR,France
2,3128760,Barcelona,176,41.38879,2.15899,ES,Spain
3,2759794,Amsterdam,172,52.37403,4.88969,NL,Netherlands
4,3117735,Madrid,171,40.4165,-3.70256,ES,Spain
5,3173435,Milan,163,45.46427,9.18951,IT,Italy
6,3169070,Rome,154,41.89193,12.51133,IT,Italy
7,2657896,Zürich,147,47.36667,8.55,CH,Switzerland
8,2950159,Berlin,135,52.52437,13.41053,DE,Germany
9,2673730,Stockholm,126,59.33258,18.0649,SE,Sweden
10,2640729,Oxford,120,51.75222,-1.25596,GB,United Kingdom
11,2867714,Munich,115,48.13743,11.57549,DE,Germany
12,2659994,Lausanne,114,46.516,6.63282,CH,Switzerland
13,3143244,Oslo,108,59.91273,10.74609,NO,Norway
15,2907911,Heidelberg,106,49.40768,8.69079,DE,Germany
16,2792482,Leuven,101,50.87959,4.70093,BE,Belgium
17,2653941,Cambridge,101,52.2,0.11667,GB,United Kingdom
18,2797656,Gent,100,51.05,3.71667,BE,Belgium
19,2624652,Århus,96,56.15674,10.21076,DK,Denmark
20,2267057,Lisbon,94,38.71667,-9.13333,PT,Portugal
21,658225,Helsinki,91,60.16952,24.93545,FI,Finland
22,524901,Moscow,90,55.75222,37.61556,RU,Russia
24,2911298,Hamburg,89,53.57532,10.01534,DE,Germany
25,2643123,Manchester,88,53.48095,-2.23743,GB,United Kingdom
26,2711537,Göteborg,87,57.70716,11.96679,SE,Sweden
27,2618425,Copenhagen,86,55.67594,12.56553,DK,Denmark
28,2660646,Genève,84,46.20222,6.14569,CH,Switzerland
29,2800866,Brussels,84,50.85045,4.34878,BE,Belgium
31,2751773,Leiden,82,52.15833,4.49306,NL,Netherlands
32,264371,Athens,79,37.98376,23.72784,GR,Greece
33,3067696,Prague,76,50.08804,14.42076,CZ,Czechia
34,2751283,Maastricht,75,50.84833,5.68889,NL,Netherlands
39,2879139,Leipzig,69,51.33962,12.37129,DE,Germany
40,2509954,Valencia,69,39.46975,-0.37739,ES,Spain
41,756135,Warsaw,69,52.22977,21.01178,PL,Poland
42,2693678,Lund,68,55.70584,13.19321,SE,Sweden
45,2996944,Lyon,67,45.74846,4.84671,FR,France
46,2650225,Edinburgh,67,55.95206,-3.19648,GB,United Kingdom
48,2745912,Utrecht,63,52.09083,5.12222,NL,Netherlands
49,2747891,Rotterdam,60,51.9225,4.47917,NL,Netherlands
50,2968705,Villejuif,60,48.7939,2.35992,FR,France
51,2666199,Uppsala,60,59.85882,17.63889,SE,Sweden
53,2641673,Newcastle upon Tyne,58,54.97328,-1.61396,GB,United Kingdom
55,2925177,Freiburg,57,47.9959,7.85222,DE,Germany
56,2886242,Köln,57,50.93333,6.95,DE,Germany
57,2655603,Birmingham,56,52.48142,-1.89983,GB,United Kingdom
58,2803138,Antwerpen,56,51.21989,4.40346,BE,Belgium
59,2661604,Basel,55,47.55839,7.57327,CH,Switzerland
61,2918632,Göttingen,54,51.53443,9.93228,DE,Germany
62,3176959,Florence,54,43.77925,11.24626,IT,Italy
